admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Mueang Tak,TH6301,2018,1.230425204335778,1.44543593297719,1.6664775188108538,1.7791688949305375,1.6713726366167083,1.7975963013493677,1.7346909298878879,1.3226987121250355,1.5468198584559478
Ban Tak,TH6302,2018,1.4683719232914845,1.6360989780920518,1.3154992638947234,,1.7306813494390882,1.9018152002507636,1.8166276835884654,1.3700766644715607,1.6573843002776656
Sam Ngao,TH6303,2018,1.4388318040876638,1.6486322545887,1.763635423013499,,1.5937821318497136,1.737099617597507,1.7421471290314465,1.5476455519100472,1.6195791619024302
Mae Ramat,TH6304,2018,0.6967519344391789,1.1332686784992225,,,1.644479839606598,1.788258628074242,1.6079621609320833,1.1305874605631976,1.46983864066718
Tha Song Yang,TH6305,2018,1.0064508560676517,1.3489074403946444,1.7977377521864102,,1.9480967708151842,2.053838085538627,1.7789757979995047,1.329506044818086,1.6429847123558259
Mae Sot,TH6306,2018,1.181208335412696,0.9740217703566315,,,1.5080297588905824,1.665401191680957,1.6006431379903172,1.1166448735354089,1.4191186065143422
Phop Phra,TH6307,2018,0.894495845685834,1.1150064804004118,,,1.408457331672271,1.6435612497362677,1.7409066063889844,1.4505095888432695,1.4223391167844237
Umphang,TH6308,2018,1.093824883698685,1.1734957896684228,,3.04884934101844,1.916681941695561,1.785024489882313,1.5321027449522422,1.316759139602039,1.494055025370817
Wang Chao,TH6309,2018,1.1995466600744296,1.414941764184395,,,1.7086037303219785,1.8668388298991916,1.8207203691327478,1.5398068898925577,1.6125158238268387
Mueang Loei,TH4201,2018,1.392290613821827,1.4457148967608646,1.6078317192708769,1.6811725229620025,1.8117377355962836,1.8316193873056277,1.57554737821762,1.335708189842409,1.5931116714989035
Na Duang,TH4202,2018,1.3758763331800787,1.4675165645044834,1.6318905909946746,1.7329061498676623,1.902240145574871,1.876162004515215,1.6444312929173366,1.338471921568135,1.6213512055777006
Chiang Khan,TH4203,2018,1.350447043370441,2.055070167188884,1.4570121453407046,1.6165697401272088,1.744562492045761,1.809338016459174,1.5049385347853683,1.2431468008367172,1.5360746971403318
Pak Chom,TH4204,2018,1.4525032393386137,1.5490551994676907,1.7780644629494244,1.7217341028869746,1.7307236215119697,1.722388219836537,1.4982584772694607,1.3196353049642295,1.5566757392954707
Dan Sai,TH4205,2018,1.3905783386022157,1.570842150604137,1.7439975256740834,1.7734761592790615,1.968282475937379,1.8764329545098468,1.6232226582177651,1.34081138276227,1.632517830656209
Na Haeo,TH4206,2018,1.6953577693823283,1.5329867858177275,,2.0006273968466073,2.1099329164011476,1.9561944903604371,1.6596843428554495,1.460206921145357,1.724130633734886
Phu Ruea,TH4207,2018,1.443450286723807,1.6075079530869927,1.7324395505731258,1.7361354408285565,1.9161766890413643,1.886794412937898,1.5674959754589617,1.3144304641907627,1.6288969276971017
