admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Mueang Tak,TH6301,2015,0.45293782491333695,0.44382275564837903,0.46568258047613725,0.6145913735380697,0.6724291225577395,0.7566738861348472,0.7225853063033458,0.6448812269808097,0.18225376316068995,0.18344157385329546,0.2546428744808008,0.39427144759522725,0.48627136173089747,0.5709213664634906,0.5275518621051364,0.40193530853374554,0.6008431723901084,0.37141122552228784
Ban Tak,TH6302,2015,0.500978512871022,0.4860551720185813,0.45669459463745943,0.5499421373832059,0.7068290161580747,0.7929446034838624,0.7488926625258812,0.5992581825063065,0.2530699342794141,0.24329271875990519,0.21078708966056378,0.32568753929997346,0.507441378811271,0.6114228257098949,0.5834051388334295,0.3755675205786498,0.6111936836064354,0.3929156145773757
Sam Ngao,TH6303,2015,0.5035444021040772,0.5402751415341578,0.5001519906053649,0.5757822961649308,0.6821742815625949,0.7403527029061386,0.6863582630064397,0.6232461824372062,0.26168137841029276,0.30753830246771724,0.2756957741590568,0.36304703150497797,0.47985484731657746,0.5491260641039265,0.5026333478103567,0.3922183321548078,0.6093337030608268,0.3939990520734246
Mae Ramat,TH6304,2015,0.367011696601731,0.4854155233831261,0.7051718605072277,0.6648186562684033,0.7235828394475096,0.7691001875148225,0.6925871277093479,0.5741391753557241,0.0899789404743815,0.21885999391483496,0.4805459422252903,0.6007802668282678,0.5417509124671964,0.5607535808465348,0.48671804089163156,0.3192851613687241,0.5833232118028164,0.3442457838104871
Tha Song Yang,TH6305,2015,0.5212364363499437,0.5903196108541315,0.6363288906319272,0.6041724202538092,0.7373156331061326,0.794903146235173,0.7459935075063597,0.6560969297248418,0.24617531687793534,0.3924172313680053,0.4033041324427605,0.6472527934954717,0.5488619461863427,0.5969469189259093,0.553399559173938,0.40351201001630393,0.6744288902781104,0.44825114587749454
Mae Sot,TH6306,2015,0.33808236028498695,0.4781184149917008,0.8043028388704573,0.6133688790267738,0.7303149393193297,0.7466866716587429,0.6061184529960663,0.5349160875897484,0.05588538278901856,0.2015879567286092,0.5858587494918278,0.5411939307292138,0.5456698593710803,0.5339783537299451,0.40270929322798366,0.2729892045880754,0.5507052303399165,0.3083268658586236
Phop Phra,TH6307,2015,0.41061481992557175,0.46997534187579987,0.7068952277123209,0.7017061616813703,0.6771751564606066,0.698459228039578,0.682239507903054,0.64134587025849,0.11456023683036268,0.18348202618668638,0.5085567787412204,0.5292658284304039,0.48900793133561987,0.4490142136670904,0.4563102216242711,0.37695747304476385,0.5794326440153502,0.31532726269662414
Umphang,TH6308,2015,0.440379646421636,0.5125571303638994,0.41594834231938105,0.8062672043756168,0.8009129993703393,0.7107322393546971,0.668264326660473,0.62272035076425,0.1341248804343993,0.2309774401333475,0.4056554171682124,0.6187969997685439,0.6254190497028942,0.49361114991305455,0.45259900061428804,0.37437465563151245,0.5974193445063185,0.34588862726560665
Wang Chao,TH6309,2015,0.4606236416472841,0.5005431210981454,0.4168959961838772,0.6743713483918095,0.7266318588314421,0.75701733918984,0.7010437862784908,0.7019669624314404,0.14941997335785026,0.23147316557394462,0.2897313911973672,0.414389779876117,0.49770527665065495,0.5343700452860353,0.4804477115487996,0.44609548216300804,0.636942852554768,0.38368736869149783
Mueang Loei,TH4201,2015,0.5498950259151512,0.5585413068066306,,0.7098384287337778,0.6819148642361803,0.7924565923393228,0.7499510986470699,0.6587748946845141,0.30858387478818106,0.3426445276803437,,0.5433930645610813,0.5663665335208925,0.5937021254602011,0.5494759439835784,0.42924173966257356,0.6688771509721815,0.46307113978443115
Na Duang,TH4202,2015,0.575074105865347,0.5951994902820216,0.3887155279517174,0.7365097446662998,0.4590697058733034,0.7891164041980271,0.7625369404667074,0.6885958583887638,0.3260590211483282,0.36269184711575786,0.24018214363604784,0.5565769027732548,0.39318655176346523,0.605865228308681,0.5721632324572143,0.4743408354527896,0.6872542822544928,0.47798245729746086
Chiang Khan,TH4203,2015,0.5171355614172501,0.5792060366239046,,0.6589634472798002,0.662124849987063,0.7850740037982233,0.725439919780365,0.6223281957877637,0.24925459219477264,0.38169504038811136,,0.5715532054837178,0.562425386472925,0.5899352378209411,0.524249756003681,0.3800228848257885,0.646452759003726,0.43697290125731003
Pak Chom,TH4204,2015,0.560119925567614,0.613737685741619,,0.7136204216442308,0.6772736104485888,0.768058234553087,0.7324581006828018,0.6530877160478862,0.303320609316679,0.399861327505327,,0.5657376888126181,0.5929045874309183,0.5585126259026377,0.5171761225478541,0.40251400340980226,0.6720872495738972,0.458922930674091
Dan Sai,TH4205,2015,0.49090687654335496,0.4615135998404949,0.8096238374710083,0.6927562413267218,0.6867350586975215,0.7358551939174415,0.6954268981706313,0.6262933137306224,0.26250292834689465,0.27180807525351813,0.6790671944618225,0.5363545625081083,0.5302779106531815,0.516678149808509,0.48507612526909444,0.38818299307597826,0.6221409801472446,0.4191208511905943
Na Haeo,TH4206,2015,0.5371572299488608,0.49348489594020783,0.6122548918557221,0.6750264823255292,0.6775338025616235,0.7349765169472232,0.7030309186376175,0.6259425980655242,0.3243126875695461,0.322255642454129,0.48337592884033914,0.579175575897615,0.5509044600259482,0.5322100919454961,0.5147813349080574,0.4095563345617327,0.6255835138629235,0.44259793690412363
