admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2015,74.13793281202958,63.60105032725517,91.91463338844504,118.42289820020882,230.15719275363162,131.44796488215655,18.664476276331843,4.858177479974467,733.2043261200331
Ban Tak,TH6302,2015,72.31441238373743,49.19845683203162,82.23434401640553,116.31638391277613,219.21909949656873,110.96243923947598,14.294905889412998,0.9718576501970392,665.5118994206056
Sam Ngao,TH6303,2015,81.90215811416574,38.757325147072116,80.09030366483317,131.3300476786238,219.7508542785817,99.6554143342497,15.519114538015824,4.4662371048560505,671.4714548603981
Mae Ramat,TH6304,2015,81.81917415109335,167.07157107801999,212.93080897144245,290.12946917917213,220.84268381876106,96.20596129941006,71.49747604388817,0.0,1140.4971445417873
Tha Song Yang,TH6305,2015,113.54430103302002,226.05358219146729,246.80699062347412,348.22639656066895,227.96193599700928,105.39591979980469,67.03433609008789,0.0,1335.0234622955322
Mae Sot,TH6306,2015,62.21454425283991,154.7171398766613,271.8909395590532,304.99226959022155,203.6529054683014,120.92759701606714,60.12997222030226,0.0,1178.5253679834468
Phop Phra,TH6307,2015,88.76033828212493,167.47737973429895,290.818421371097,286.5958323585272,243.51673467547621,138.7894521094644,58.301147449553476,1.1938258929047552,1275.453131873447
Umphang,TH6308,2015,121.9758883549617,229.87858232718247,320.0570811565106,284.70490341186525,260.6074667362067,159.30686819736775,73.18475187374996,7.476398064539984,1457.1919401223843
Wang Chao,TH6309,2015,71.3448629272624,70.88854677207901,138.16454497838822,129.20527252572668,248.14159536468344,187.07610726617204,20.636146347517997,9.604223561571324,875.061299743401
Mueang Loei,TH4201,2015,141.98024000921052,95.76056952810963,163.8714863427562,221.59302045684268,282.3161780946708,136.11779332048442,9.005837167296376,1.0782111569670125,1051.7233360763375
Na Duang,TH4202,2015,143.96647304503213,104.46325231683736,184.80515566692188,295.7184817666952,310.01911605024617,143.30149003949467,8.477957558769711,0.0,1190.751926443997
Chiang Khan,TH4203,2015,153.61978323543562,112.36710147887158,176.32427017491392,244.7271100358664,346.64886292767005,101.15018320854907,11.64480710687465,1.6830602410177637,1148.1651784091991
Pak Chom,TH4204,2015,,,,,,,,,
Dan Sai,TH4205,2015,125.86446885547005,105.3284225003336,85.56313738838364,187.73372513727873,228.49525227696535,125.5714622478168,10.542457281110911,2.6252190716385626,871.7241447589976
Na Haeo,TH4206,2015,,,,,,,,,
