admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2012,322.6403415240222,147.6667118902213,134.1774342585514,81.38904494333687,356.5890987103423,135.51210327687582,72.90550483798529,26.99995050134898,1277.880189942684
Ban Tak,TH6302,2012,319.02325932341154,133.7272949334172,112.15967692712071,66.28712128222259,331.9565181517565,144.73749892686388,95.44695221728529,24.669819466826052,1228.0081412289035
Sam Ngao,TH6303,2012,319.8423772408412,111.60772993499877,100.90766448753452,75.89324200584878,321.5981875911557,158.8031220500825,125.69136023737187,19.22468706924991,1233.5683706170832
Mae Ramat,TH6304,2012,284.2231384699251,299.99079682289386,288.15638621881897,194.04377259319904,246.02711194227723,176.73191643439088,65.79158628302461,12.739448264884015,1567.7041570294136
Tha Song Yang,TH6305,2012,308.5443959236145,342.51808738708496,298.5825276374817,298.23791885375977,222.3974471092224,175.66565895080566,78.90760612487793,21.178485870361328,1746.0321278572083
Mae Sot,TH6306,2012,250.42500349802137,243.37118236729552,383.8796397848662,228.67684157049177,264.28575762581517,147.0655842564593,50.442567160886234,8.05444103758909,1576.2010173014244
Phop Phra,TH6307,2012,273.6349032284484,217.2701171709649,447.36741898627434,228.44248516520042,311.13093707095635,134.5529299026984,38.79707482468262,10.719616992470373,1661.9154833416958
Umphang,TH6308,2012,282.5889478793511,272.34626243297873,454.0816142192254,276.05769395828247,377.8848947891823,148.56195088533255,71.08977735317671,14.44590579729814,1897.0570473148275
Wang Chao,TH6309,2012,240.005449185907,145.77284078119288,242.67897544821972,100.21601378953244,328.469258908012,153.3466988889645,98.0719442569001,35.79704975714503,1344.358231015874
Mueang Loei,TH4201,2012,290.50899024339054,159.76909002409838,149.87253738436664,130.66975002603846,250.93665755147944,104.66890424599929,14.445199915494392,6.1088239164477205,1106.9799533073149
Na Duang,TH4202,2012,265.67316229391645,194.80577420843818,164.46974643358604,155.91118509438684,262.9833302098202,100.1237699186182,7.2598197584207345,0.6110632078496018,1151.8378511250362
Chiang Khan,TH4203,2012,327.92626810209964,188.7240926831479,168.7829887780771,144.7923760949488,277.2261028199055,101.81541783144995,15.613922991376059,10.774164349776466,1235.6553336507816
Pak Chom,TH4204,2012,,,,,,,,,
Dan Sai,TH4205,2012,301.0124278319742,138.94511123593767,130.93575795498884,150.91604409949397,354.56444611611084,70.52045929321741,23.1318951577444,5.992198975161132,1176.0183406646286
Na Haeo,TH4206,2012,,,,,,,,,
Phu Ruea,TH4207,2012,283.1869091306414,137.44981949669975,106.08524203300476,125.77199830327716,301.4840018408639,87.93138667515346,17.533780574798588,6.542634453092303,1065.9857725075315
Tha Li,TH4208,2012,351.3253870005696,177.48791020751818,150.24644075291664,127.33450889610799,325.50880705222295,85.67172747341527,28.542215271950706,9.156934838533635,1255.2739314932348
Wang Saphung,TH4209,2012,253.67970989851787,130.3360877837692,152.57233016473688,141.35507174741957,278.53348978972326,95.20650003373187,11.933131007197963,0.8529519059274205,1064.469272331024
Phu Kradueng,TH4210,2012,238.50127263039897,105.32978448034063,144.65029282950184,175.68266069172347,296.7233661809581,70.3817066637285,24.898699297056606,10.778061425027671,1066.9458441987358
Phu Luang,TH4211,2012,256.8125240892067,114.93752041065234,152.6640857689794,156.4395882475924,322.6456839409819,99.52358927372912,12.72399400788567,3.2977884623692657,1119.0447742013969
Pha Khao,TH4212,2012,219.39000366793738,111.26858317538577,137.89486855627422,164.1802544838498,280.4350863477756,87.82223937913862,9.196171072805402,1.0325207418309517,1011.219727424998
Erawan,TH4213,2012,241.80415100307877,157.57247496193557,159.13018704712934,155.7318831930189,272.2365983867566,94.86409038231334,6.411572127868758,0.9711896526427731,1088.722146754744
Nong Hin,TH4214,2012,244.33446814545314,114.31564576736072,146.213365898656,174.67685293944584,320.2588295942096,81.80014475397982,16.083401821769044,4.914493477206698,1102.597202398081
Mueang Satun,TH9101,2012,153.99285995960236,114.75897288322449,185.19334650039673,165.03706789016724,333.4667431116104,334.2070653438568,217.29572796821594,183.40809667110443,1687.3598803281784
Khuan Don,TH9102,2012,143.07176280021667,100.62012720108032,153.8316888809204,123.07490396499634,269.51491928100586,292.64723229408264,223.07449340820312,236.95771622657776,1542.7928440570831
Khuan Kalong,TH9103,2012,136.83548306150172,109.43499033691687,143.86622811326194,125.69813488514052,266.170407553769,274.03187980608106,234.07831695976608,246.65031322033036,1536.7657539367676
Tha Phae,TH9104,2012,141.65176015846,103.97070443306511,155.01014759239368,127.03543206032504,295.5395688647503,280.8415696826426,222.2147700018134,217.35210741312193,1543.6160602065722
