,admin2Pcode,year,district,area_planted_rai,area_harvested_rai,production_ton,yield_planted_kg_rai,yield_harvest_kg_rai
0,TH1003,2012,หนองจอก,66777,66521,45101,675,678
1,TH1003,2013,หนองจอก,66490,66174,44800,674,677
2,TH1003,2014,หนองจอก,59422,59395,39438,664,664
3,TH1003,2015,หนองจอก,51256,49434,33467,653,677
4,TH1003,2016,หนองจอก,53404,52884,34903,654,660
5,TH1003,2017,หนองจอก,51952,51432,34511,664,671
6,TH1003,2018,หนองจอก,50043,49834,33189,663,666
7,TH1003,2020,หนองจอก,51120,51100,34850,682,682
8,TH1005,2012,บางเขน,915,897,509,556,567
9,TH1005,2013,บางเขน,1022,1022,585,572,572
10,TH1005,2014,บางเขน,743,743,418,563,563
11,TH1005,2015,บางเขน,662,662,371,560,560
12,TH1005,2016,บางเขน,743,743,461,620,620
13,TH1005,2017,บางเขน,635,635,409,644,644
14,TH1005,2018,บางเขน,544,544,325,597,597
15,TH1005,2020,บางเขน,470,470,320,681,681
16,TH1010,2012,มีนบุรี,4135,4063,2917,705,718
17,TH1010,2013,มีนบุรี,3873,3805,2721,703,715
18,TH1010,2014,มีนบุรี,3332,3326,2358,708,709
19,TH1010,2015,มีนบุรี,2745,2745,1916,698,698
20,TH1010,2016,มีนบุรี,2976,2956,2031,682,687
21,TH1010,2017,มีนบุรี,2810,2790,1947,693,698
22,TH1010,2018,มีนบุรี,2034,2029,1428,702,704
23,TH1010,2020,มีนบุรี,2795,2795,1937,693,693
24,TH1011,2012,ลาดกระบัง,15863,15689,10261,647,654
25,TH1011,2013,ลาดกระบัง,15638,15599,10171,650,652
26,TH1011,2014,ลาดกระบัง,12582,12582,8090,643,643
27,TH1011,2015,ลาดกระบัง,9256,9238,6005,649,650
28,TH1011,2016,ลาดกระบัง,12302,12246,7911,643,646
29,TH1011,2017,ลาดกระบัง,12168,12168,8359,687,687
30,TH1011,2018,ลาดกระบัง,11158,11158,7710,691,691
31,TH1011,2020,ลาดกระบัง,11690,11685,8121,695,695
32,TH1023,2013,หนองแขม,117,117,79,678,678
33,TH1023,2014,หนองแขม,136,136,89,654,654
34,TH1023,2015,หนองแขม,80,80,52,650,650
35,TH1023,2016,หนองแขม,73,73,47,644,644
36,TH1023,2018,หนองแขม,54,54,34,630,630
37,TH1023,2020,หนองแขม,106,106,58,547,547
38,TH1027,2016,บึงกุ่ม,10,10,7,700,700
39,TH1027,2017,บึงกุ่ม,20,20,14,700,700
40,TH1032,2013,ประเวศ,62,62,40,651,651
41,TH1032,2014,ประเวศ,62,62,39,629,629
42,TH1032,2015,ประเวศ,62,62,38,613,613
43,TH1032,2016,ประเวศ,62,62,38,613,613
44,TH1032,2017,ประเวศ,62,62,39,629,629
45,TH1032,2018,ประเวศ,62,62,36,581,581
46,TH1032,2020,ประเวศ,90,90,62,689,689
47,TH1035,2012,จอมทอง,20987,20060,12598,600,628
48,TH1035,2013,จอมทอง,19164,18187,11531,602,634
49,TH1035,2014,จอมทอง,14827,14827,9015,608,608
50,TH1035,2015,จอมทอง,14518,14425,8727,601,605
51,TH1035,2016,จอมทอง,12149,12056,7306,601,606
52,TH1035,2017,จอมทอง,12235,12154,7487,612,616
53,TH1035,2018,จอมทอง,13003,12929,7822,602,605
54,TH1035,2020,จอมทอง,16614,16546,9845,593,595
55,TH1040,2013,บางแค,36,36,24,679,679
56,TH1040,2014,บางแค,36,36,24,667,667
57,TH1040,2016,บางแค,43,43,28,651,651
58,TH1042,2012,สายไหม,2248,2225,1540,685,692
59,TH1042,2013,สายไหม,2019,1963,1353,670,689
60,TH1042,2014,สายไหม,2000,2000,1310,655,655
61,TH1042,2015,สายไหม,1523,1469,1002,658,682
62,TH1042,2016,สายไหม,1346,1330,876,651,659
63,TH1042,2017,สายไหม,1120,1120,703,628,628
64,TH1042,2018,สายไหม,931,931,596,640,640
65,TH1042,2020,สายไหม,1090,1090,732,672,672
66,TH1043,2012,คันนายาว,392,385,275,702,714
67,TH1043,2013,คันนายาว,325,325,231,711,711
68,TH1043,2014,คันนายาว,367,367,252,687,687
69,TH1043,2015,คันนายาว,108,108,75,694,694
70,TH1043,2016,คันนายาว,173,173,119,688,688
71,TH1043,2017,คันนายาว,218,218,146,670,670
72,TH1043,2018,คันนายาว,240,240,163,679,679
73,TH1043,2020,คันนายาว,45,45,31,689,689
74,TH1044,2012,สะพานสูง,385,378,263,683,696
75,TH1044,2013,สะพานสูง,397,397,277,698,698
76,TH1044,2014,สะพานสูง,251,251,171,681,681
77,TH1044,2015,สะพานสูง,189,189,124,656,656
78,TH1044,2016,สะพานสูง,155,155,101,652,652
79,TH1044,2017,สะพานสูง,59,59,39,661,661
80,TH1044,2018,สะพานสูง,104,104,69,663,663
81,TH1044,2020,สะพานสูง,90,90,63,700,700
82,TH1046,2012,คลองสามวา,21785,21572,14971,687,694
83,TH1046,2013,คลองสามวา,18187,17856,12499,687,700
84,TH1046,2014,คลองสามวา,16694,16688,11615,696,696
85,TH1046,2015,คลองสามวา,14277,14189,9734,682,686
86,TH1046,2016,คลองสามวา,16714,16509,11127,666,674
87,TH1046,2017,คลองสามวา,15383,15383,10260,667,667
88,TH1046,2018,คลองสามวา,15475,15443,10347,669,670
89,TH1046,2020,คลองสามวา,15110,15090,10276,680,681
90,TH1048,2012,ทวีวัฒนา,802,790,525,655,665
91,TH1048,2013,ทวีวัฒนา,1282,1282,873,681,681
92,TH1048,2014,ทวีวัฒนา,884,884,576,652,652
93,TH1048,2015,ทวีวัฒนา,624,624,412,660,660
94,TH1048,2016,ทวีวัฒนา,885,885,582,658,658
95,TH1048,2017,ทวีวัฒนา,836,836,556,665,665
96,TH1048,2018,ทวีวัฒนา,497,497,308,620,620
97,TH1048,2020,ทวีวัฒนา,495,495,331,669,669
98,TH1050,2013,บางบอน,33,33,22,677,677
99,TH1102,2012,บางบ่อ,36975,36829,29426,796,799
100,TH1102,2013,บางบ่อ,24585,24435,19597,797,802
101,TH1102,2014,บางบ่อ,28669,28594,22932,800,802
102,TH1102,2015,บางบ่อ,15802,15733,11611,735,738
103,TH1102,2016,บางบ่อ,14112,14009,10787,764,770
104,TH1102,2017,บางบ่อ,15283,15226,11450,749,752
105,TH1102,2018,บางบ่อ,14352,14331,10333,720,721
106,TH1103,2012,บางพลี,210,210,176,838,838
107,TH1103,2013,บางกลํคglyphูํภา,1873,1850,797,426,431
108,TH1103,2014,บางกลํคglyphูํภา,1973,1973,805,408,408
109,TH1103,2015,บางกลํคglyphูํภา,1785,1745,715,401,410
110,TH1103,2016,บางกลํคglyphูํภา,1861,1846,803,431,435
111,TH1103,2017,บางกลํคglyphูํภา,1464,1439,619,423,430
112,TH1103,2018,บางกลํคglyphูํภา,1671,1671,752,450,450
113,TH1106,2012,บางเสาธง,7954,7954,6443,810,810
114,TH1106,2013,บางเสาธง,7953,7913,6425,808,812
115,TH1106,2014,บางเสาธง,9720,9693,7590,781,783
116,TH1106,2015,บางเสาธง,5688,5536,4235,745,765
117,TH1106,2016,บางเสาธง,4656,4650,3501,752,753
118,TH1106,2017,บางเสาธง,5040,5033,3800,754,755
119,TH1106,2018,บางเสาธง,4149,4140,2915,703,704
120,TH1106,2020,บางเสาธง,4166,4158,3044,731,732
121,TH1201,2012,เมืองนนทบุรี,25,25,19,760,760
122,TH1201,2013,เมืองนนทบุรี,25,25,19,760,760
123,TH1201,2014,เมืองนนทบุรี,25,25,18,720,720
124,TH1201,2015,เมืองนนทบุรี,25,25,18,720,720
125,TH1201,2016,เมืองนนทบุรี,25,25,18,720,720
126,TH1201,2017,เมืองนนทบุรี,25,25,18,720,720
127,TH1201,2018,เมืองนนทบุรี,25,25,18,720,720
128,TH1201,2020,เมืองนนทบุรี,25,25,18,720,720
129,TH1202,2012,บางกรวย,1699,1695,1219,717,719
130,TH1202,2013,บางกรวย,1339,1339,969,724,724
131,TH1202,2014,บางกรวย,1223,1223,857,701,701
132,TH1202,2015,บางกรวย,1100,1100,750,682,682
133,TH1202,2016,บางกรวย,1174,1174,790,673,673
134,TH1202,2017,บางกรวย,1300,1300,896,689,689
135,TH1202,2018,บางกรวย,960,960,643,670,670
136,TH1202,2020,บางกรวย,900,900,622,691,691
137,TH1203,2012,บางใหญ่,18077,17960,13183,729,734
138,TH1203,2013,บางใหญ่,17023,16921,12674,745,749
139,TH1203,2014,บางใหญ่,14574,14574,10348,710,710
140,TH1203,2015,บางใหญ่,10050,10030,6740,671,672
141,TH1203,2016,บางใหญ่,11691,11614,7805,668,672
142,TH1203,2017,บางใหญ่,11764,11707,8136,692,695
143,TH1203,2018,บางใหญ่,10615,10598,7207,679,680
144,TH1203,2020,บางใหญ,11636,11595,8314,715,717
145,TH1204,2012,บางบัวทอง,20125,20022,14796,735,739
146,TH1204,2013,บางบัวทอง,19021,18909,13974,735,739
147,TH1204,2014,บางบัวทอง,18597,18420,12931,695,702
148,TH1204,2015,บางบัวทอง,11739,11716,8084,689,690
149,TH1204,2016,บางบัวทอง,12489,12345,8358,669,677
150,TH1204,2017,บางบัวทอง,12633,12633,8742,692,692
151,TH1204,2018,บางบัวทอง,9339,9322,6386,684,685
152,TH1204,2020,บางบัวทอง,13069,13043,8987,688,689
153,TH1205,2012,ไทรน้อย,73311,72503,52130,711,719
154,TH1205,2013,ไทรน้อย,70855,70855,51441,726,726
155,TH1205,2014,ไทรน้อย,63969,63969,44650,698,698
156,TH1205,2015,ไทรน้อย,63745,63684,44642,700,701
157,TH1205,2016,ไทรน้อย,59333,58844,40661,685,691
158,TH1205,2017,ไทรน้อย,59914,59879,41077,686,686
159,TH1205,2018,ไทรน้อย,61795,61751,41435,671,671
160,TH1205,2020,ไทรน.อย,60243,60220,40889,679,679
161,TH1206,2012,ปากเกร็ด,6087,6005,4222,694,703
162,TH1206,2013,ปากเกร็ด,5305,5305,3772,711,711
163,TH1206,2014,ปากเกร็ด,3841,3841,2696,702,702
164,TH1206,2015,ปากเกร็ด,3091,3084,2143,693,695
165,TH1206,2016,ปากเกร็ด,3094,3071,2159,698,703
166,TH1206,2017,ปากเกร็ด,2570,2570,1853,721,721
167,TH1206,2018,ปากเกร็ด,2805,2805,1978,705,705
168,TH1206,2020,ปากเกร็ด,2931,2907,2035,694,700
169,TH1301,2012,เมืองปทุมธานี,17347,17297,12350,712,714
170,TH1301,2013,เมืองปทุมธานี,15638,15638,11197,716,716
171,TH1301,2014,เมืองปทุมธานี,18210,18165,12498,686,688
172,TH1301,2015,เมืองปทุมธานี,17302,17186,11686,675,680
173,TH1301,2016,เมืองปทุมธานี,16160,16062,10986,680,684
174,TH1301,2017,เมืองปทุมธานี,19392,19367,13363,689,690
175,TH1301,2018,เมืองปทุมธานี,19192,19177,13347,695,696
176,TH1301,2020,เมืองปทุมธานี,18546,18525,12986,700,701
177,TH1302,2012,คลองหลวง,57153,57153,42922,751,751
178,TH1302,2013,คลองหลวง,54256,54256,40638,749,749
179,TH1302,2014,คลองหลวง,50168,50168,36873,735,735
180,TH1302,2015,คลองหลวง,51539,51082,37647,730,737
181,TH1302,2016,คลองหลวง,50168,49681,36863,735,742
182,TH1302,2017,คลองหลวง,50478,50414,36903,731,732
183,TH1302,2018,คลองหลวง,50511,50465,37193,736,737
184,TH1302,2020,คลองหลวง,51604,51546,37165,720,721
185,TH1303,2012,ธัญบุรี,11193,11193,8227,735,735
186,TH1303,2013,ธัญบุรี,10217,10217,7591,743,743
187,TH1303,2014,ธัญบุรี,8053,8053,5734,712,712
188,TH1303,2015,ธัญบุรี,8233,8187,5796,704,708
189,TH1303,2016,ธัญบุรี,8160,8085,5740,703,710
190,TH1303,2017,ธัญบุรี,9274,9274,6687,721,721
191,TH1303,2018,ธัญบุรี,9562,9562,7028,735,735
192,TH1303,2020,ธัญบุรี,9409,9395,6764,719,720
193,TH1304,2012,หนองเสือ,64485,64485,45397,704,704
194,TH1304,2013,หนองเสือ,65115,65065,46587,715,716
195,TH1304,2014,หนองเสือ,62105,62011,41609,670,671
196,TH1304,2015,หนองเสือ,64499,64415,44446,689,690
197,TH1304,2016,หนองเสือ,65121,65086,44389,682,682
198,TH1304,2017,หนองเสือ,67086,67015,46575,694,695
199,TH1304,2018,หนองเสือ,60560,60545,41413,684,684
200,TH1304,2020,หนองเสือ,60141,60082,41276,686,687
201,TH1305,2012,ลาดหลุมแก้ว,75291,75291,61814,821,821
202,TH1305,2013,ลาดหลุมแก้ว,72403,72364,59266,819,819
203,TH1305,2014,ลาดหลุมแก้ว,68046,68046,49537,728,728
204,TH1305,2015,ลาดหลุมแก้ว,71092,70673,51097,719,723
205,TH1305,2016,ลาดหลุมแก้ว,68616,67962,48661,709,716
206,TH1305,2017,ลาดหลุมแก้ว,72252,72173,53408,739,740
207,TH1305,2018,ลาดหลุมแก้ว,63966,63914,44995,703,704
208,TH1305,2020,ลาดหลุมแก.ว,69350,69280,48496,699,700
209,TH1306,2012,ลําลูกกา,87561,86781,60833,695,701
210,TH1306,2013,ลําลูกกา,87116,86741,62020,712,715
211,TH1306,2014,ลําลูกกา,84201,84125,56784,674,675
212,TH1306,2015,ลําลูกกา,84293,84127,58468,694,695
213,TH1306,2016,ลําลูกกา,82496,81963,56882,690,694
214,TH1306,2017,ลําลูกกา,74411,74037,53307,716,720
215,TH1306,2018,ลําลูกกา,76156,75828,54975,722,725
216,TH1306,2020,ลําลูกกา,76511,76427,53575,700,701
217,TH1307,2012,สามโคก,25276,25276,18982,751,751
218,TH1307,2013,สามโคก,23286,23286,17441,749,749
219,TH1307,2014,สามโคก,22964,22964,16603,723,723
220,TH1307,2015,สามโคก,20502,20234,14447,705,714
221,TH1307,2016,สามโคก,20652,20440,14533,704,711
222,TH1307,2017,สามโคก,18291,18076,12924,707,715
223,TH1307,2018,สามโคก,19847,19788,14287,720,722
224,TH1307,2020,สามโคก,25676,25627,18349,715,716
225,TH1401,2012,พระนครศรีอยุธยา,25263,23772,15476,613,651
226,TH1401,2013,พระนครศรีอยุธยา,21370,21328,14226,666,667
227,TH1401,2014,พระนครศรีอยุธยา,22680,22484,14435,636,642
228,TH1401,2015,พระนครศรีอยุธยา,20846,20768,12772,613,615
229,TH1401,2016,พระนครศรีอยุธยา,21208,21129,13227,624,626
230,TH1401,2017,พระนครศรีอยุธยา,21728,21675,13785,634,636
231,TH1401,2018,พระนครศรีอยุธยา,24190,24135,16219,670,672
232,TH1401,2020,พระนครศรีอยุธยา,17773,17720,11872,668,670
233,TH1402,2012,ท่าเรือ,54368,53861,35279,649,655
234,TH1402,2013,ท่าเรือ,52699,52682,35666,677,677
235,TH1402,2014,ท่าเรือ,49104,49104,32507,662,662
236,TH1402,2015,ท่าเรือ,34795,33703,22278,640,661
237,TH1402,2016,ท่าเรือ,43438,43421,29005,668,668
238,TH1402,2017,ท่าเรือ,42246,41884,27434,649,655
239,TH1402,2018,ท่าเรือ,48446,48361,32595,673,674
240,TH1403,2012,นครหลวง,52143,51827,35450,680,684
241,TH1403,2013,นครหลวง,53076,52775,36520,688,692
242,TH1403,2014,นครหลวง,45124,43083,28866,640,670
243,TH1403,2015,นครหลวง,28937,28300,18140,627,641
244,TH1403,2016,นครหลวง,38279,37060,23755,621,641
245,TH1403,2017,นครหลวง,40246,40110,25430,632,634
246,TH1403,2018,นครหลวง,43333,43111,27117,626,629
247,TH1403,2020,นครหลวง,34185,34071,21465,628,630
248,TH1404,2012,บางไทร,89009,88066,60237,677,684
249,TH1404,2013,บางไทร,87492,87472,61318,701,701
250,TH1404,2014,บางไทร,82464,82464,55498,673,673
251,TH1404,2015,บางไทร,82110,81778,56836,692,695
252,TH1404,2016,บางไทร,81117,80925,53815,663,665
253,TH1404,2017,บางไทร,85580,85091,58798,687,691
254,TH1404,2018,บางไทร,82607,82519,55123,667,668
255,TH1404,2020,บางไทร,82141,82068,55642,677,678
256,TH1405,2012,บางบาล,46607,46000,29072,624,632
257,TH1405,2013,บางบาล,42007,42007,27053,644,644
258,TH1405,2014,บางบาล,37635,37635,23447,623,623
259,TH1405,2015,บางบาล,33053,32899,20332,615,618
260,TH1405,2016,บางบาล,28484,28200,17822,626,632
261,TH1405,2017,บางบาล,29254,29064,18892,646,650
262,TH1405,2018,บางบาล,35372,35332,22895,647,648
263,TH1405,2020,บางบาล,33356,33222,21993,659,662
264,TH1406,2012,บางปะอิน,75047,74129,45737,609,617
265,TH1406,2013,บางปะอิน,69368,69144,42938,619,621
266,TH1406,2014,บางปะอิน,50558,50558,30638,606,606
267,TH1406,2015,บางปะอิน,44929,44422,27986,623,630
268,TH1406,2016,บางปะอิน,47175,46963,29681,629,632
269,TH1406,2017,บางปะอิน,37243,36808,23704,636,644
270,TH1406,2018,บางปะอิน,44243,44145,30328,685,687
271,TH1406,2020,บางปะอิน,42365,42255,26832,633,635
272,TH1407,2012,บางปะหัน,46061,44246,26769,581,605
273,TH1407,2013,บางปะหัน,40362,40148,25012,620,623
274,TH1407,2014,บางปะหัน,30586,28872,17525,573,607
275,TH1407,2015,บางปะหัน,21634,21540,12321,570,572
276,TH1407,2016,บางปะหัน,23544,22997,13269,564,577
277,TH1407,2017,บางปะหัน,24450,24335,14358,587,590
278,TH1407,2018,บางปะหัน,27050,26912,15044,556,559
279,TH1407,2020,บางปะหัน,29655,29476,16772,566,569
280,TH1408,2012,ผักไห่,71047,70241,46429,653,661
281,TH1408,2013,ผักไห่,71281,71163,48462,680,681
282,TH1408,2014,ผักไห่,65499,63185,42587,650,674
283,TH1408,2015,ผักไห่,62964,61911,41976,667,678
284,TH1408,2016,ผักไห่,58454,57484,39204,671,682
285,TH1408,2017,ผักไห่,59124,58610,40617,687,693
286,TH1408,2018,ผักไห่,62124,61686,44044,709,714
287,TH1409,2012,ภาชี,46285,45848,29113,629,635
288,TH1409,2013,ภาชี,48668,48588,31291,643,644
289,TH1409,2014,ภาชี,45486,45486,28975,637,637
290,TH1409,2015,ภาชี,28506,28372,18073,634,637
291,TH1409,2016,ภาชี,37641,37147,23477,624,632
292,TH1409,2017,ภาชี,46728,46694,29137,624,624
293,TH1409,2018,ภาชี,43827,43769,26305,600,601
294,TH1409,2020,ภาชี,39765,39717,24227,609,610
295,TH1410,2012,ลาดบัวหลวง,88795,87747,61511,693,701
296,TH1410,2013,ลาดบัวหลวง,87772,87725,62723,715,715
297,TH1410,2014,ลาดบัวหลวง,82434,82434,58034,704,704
298,TH1410,2015,ลาดบัวหลวง,81668,81482,54348,665,667
299,TH1410,2016,ลาดบัวหลวง,73016,72983,48461,664,664
300,TH1410,2017,ลาดบัวหลวง,75286,75256,48916,650,650
301,TH1410,2018,ลาดบัวหลวง,77443,77407,52714,681,681
302,TH1410,2020,ลาดบัวหลวง,81590,81558,55296,678,678
303,TH1411,2012,วังน้อย,74011,72679,47314,639,651
304,TH1411,2013,วังน้อย,75638,74612,49319,652,661
305,TH1411,2014,วังน้อย,61869,61117,39054,631,639
306,TH1411,2015,วังน้อย,40494,40398,25491,630,631
307,TH1411,2016,วังน้อย,49925,48985,30469,610,622
308,TH1411,2017,วังน้อย,48954,48855,31316,640,641
309,TH1411,2018,วังน้อย,48041,47902,28693,597,599
310,TH1411,2020,วังน.อย,50762,50635,32153,633,635
311,TH1412,2012,เสนา,100932,97318,63062,625,648
312,TH1412,2013,เสนา,100876,100876,68091,675,675
313,TH1412,2014,เสนา,100530,100530,67456,671,671
314,TH1412,2015,เสนา,94799,94612,62349,658,659
315,TH1412,2016,เสนา,82512,81397,52257,633,642
316,TH1412,2017,เสนา,101959,101760,69502,682,683
317,TH1412,2018,เสนา,103047,102789,72466,703,705
318,TH1412,2020,เสนา,99719,99463,70519,707,709
319,TH1413,2012,บางซ้าย,67340,66206,46278,687,699
320,TH1413,2013,บางซ้าย,67345,67345,47882,711,711
321,TH1413,2014,บางซ้าย,59018,59018,41372,701,701
322,TH1413,2015,บางซ้าย,55258,55179,38239,692,693
323,TH1413,2016,บางซ้าย,56028,54916,36684,655,668
324,TH1413,2017,บางซ้าย,61886,61706,41096,664,666
325,TH1413,2018,บางซ้าย,59878,59637,41806,698,701
326,TH1414,2012,อุทัย,65754,64570,40227,612,623
327,TH1414,2013,อุทัย,59952,59952,38429,641,641
328,TH1414,2014,อุทัย,56679,56209,34793,614,619
329,TH1414,2015,อุทัย,32446,32412,19868,612,613
330,TH1414,2016,อุทัย,48743,48132,29361,602,610
331,TH1414,2017,อุทัย,48050,47992,29947,623,624
332,TH1414,2018,อุทัย,49023,48922,30674,626,627
333,TH1414,2020,อุทัย,48444,48323,31652,653,655
334,TH1415,2012,มหาราช,41412,39972,25942,626,649
335,TH1415,2013,มหาราช,28423,25710,16223,571,631
336,TH1415,2014,มหาราช,20633,20421,12293,596,602
337,TH1415,2015,มหาราช,16241,16131,9582,590,594
338,TH1415,2016,มหาราช,18584,18146,10597,570,584
339,TH1415,2017,มหาราช,23874,23755,13802,578,581
340,TH1415,2018,มหาราช,26950,26764,15255,566,570
341,TH1415,2020,มหาราช,31937,31766,16677,522,525
342,TH1416,2012,บ้านแพรก,15684,15166,8872,566,585
343,TH1416,2013,บ้านแพรก,15850,15618,9402,593,602
344,TH1416,2014,บ้านแพรก,11726,11031,6398,546,580
345,TH1416,2015,บ้านแพรก,10684,10532,6329,592,601
346,TH1416,2016,บ้านแพรก,8142,8073,4747,583,588
347,TH1416,2017,บ้านแพรก,9652,9615,5788,600,602
348,TH1416,2018,บ้านแพรก,12701,12642,7497,590,593
349,TH1416,2020,บ.านแพรก,13646,13583,8625,632,635
350,TH1501,2012,เมืองอ่างทอง,32831,32831,22292,679,679
351,TH1501,2013,เมืองอ่างทอง,30797,29097,19670,639,676
352,TH1501,2014,เมืองอ่างทอง,31505,31303,20347,646,650
353,TH1501,2015,เมืองอ่างทอง,19650,19370,12009,611,620
354,TH1501,2016,เมืองอ่างทอง,20747,20193,12701,612,629
355,TH1501,2017,เมืองอ่างทอง,24878,24478,16131,648,659
356,TH1501,2018,เมืองอ่างทอง,25349,25121,16957,669,675
357,TH1502,2012,ไชโย,21928,21928,14165,646,646
358,TH1502,2013,ไชโย,20314,19343,12631,622,653
359,TH1502,2014,ไชโย,24143,23615,13248,549,561
360,TH1502,2015,ไชโย,15803,15244,9009,570,591
361,TH1502,2016,ไชโย,16387,16191,9828,600,607
362,TH1502,2017,ไชโย,18269,18031,11089,607,615
363,TH1502,2018,ไชโย,21070,20877,13674,649,655
364,TH1502,2020,ไชโย,15686,15686,11294,720,720
365,TH1503,2012,ป่าโมก,14502,14502,9194,634,634
366,TH1503,2013,ป่าโมก,13839,13839,8732,631,631
367,TH1503,2014,ป่าโมก,13202,13202,8132,616,616
368,TH1503,2015,ป่าโมก,3227,3165,1880,583,594
369,TH1503,2016,ป่าโมก,4195,3807,2288,545,601
370,TH1503,2017,ป่าโมก,4225,3704,2252,533,608
371,TH1503,2018,ป่าโมก,6479,6422,4104,633,639
372,TH1503,2020,ป#าโมก,6875,6875,4916,715,715
373,TH1504,2020,โพธิ์ทอง,60913,60635,42687,701,704
374,TH1505,2012,แสวงหา,64132,64132,43802,683,683
375,TH1505,2013,แสวงหา,65269,63849,43864,672,687
376,TH1505,2014,แสวงหา,65657,65548,45031,686,687
377,TH1505,2015,แสวงหา,62526,62201,42297,676,680
378,TH1505,2016,แสวงหา,62194,61842,43166,694,698
379,TH1505,2017,แสวงหา,71225,71121,49073,689,690
380,TH1505,2018,แสวงหา,68878,68745,48122,699,700
381,TH1505,2020,แสวงหา,53325,53199,37239,698,700
382,TH1506,2012,วิเศษชัยชาญ,90770,90600,62695,691,692
383,TH1506,2013,วิเศษชัยชาญ,88954,88283,60474,680,685
384,TH1506,2014,วิเศษชัยชาญ,100400,99991,66694,664,667
385,TH1506,2015,วิเศษชัยชาญ,99885,97276,63424,635,652
386,TH1506,2016,วิเศษชัยชาญ,97419,96445,62689,643,650
387,TH1506,2017,วิเศษชัยชาญ,99552,95888,63190,635,659
388,TH1506,2018,วิเศษชัยชาญ,101103,100618,63490,628,631
389,TH1506,2020,วิเศษชัยชาญ,79685,79365,49048,616,618
390,TH1507,2012,สามโก้,38979,38784,25248,648,651
391,TH1507,2013,สามโก้,39537,39104,25848,654,661
392,TH1507,2014,สามโก้,37560,35745,24628,656,689
393,TH1507,2015,สามโก้,35989,35748,24881,691,696
394,TH1507,2016,สามโก้,37383,37383,25234,675,675
395,TH1507,2017,สามโก้,48893,48738,33093,677,679
396,TH1507,2018,สามโก้,49850,49656,34461,691,694
397,TH1507,2020,สามโก.,31482,31482,21943,697,697
398,TH1601,2012,เมืองลพบุรี,140000,137601,95220,680,692
399,TH1601,2013,เมืองลพบุรี,139244,136217,91538,657,672
400,TH1601,2014,เมืองลพบุรี,134866,130047,83880,622,645
401,TH1601,2015,เมืองลพบุรี,110780,110331,67633,611,613
402,TH1601,2016,เมืองลพบุรี,112180,108329,69114,616,638
403,TH1601,2017,เมืองลพบุรี,125048,123772,76986,616,622
404,TH1601,2018,เมืองลพบุรี,132342,131373,80269,607,611
405,TH1601,2020,เมืองลพบุรี,130229,129590,74385,571,574
406,TH1602,2012,พัฒนานิคม,38693,35675,15483,400,434
407,TH1602,2013,พัฒนานิคม,39261,38761,17132,436,442
408,TH1602,2014,พัฒนานิคม,31916,21676,9494,297,438
409,TH1602,2015,พัฒนานิคม,33153,32837,14415,435,439
410,TH1602,2016,พัฒนานิคม,36297,35908,15979,440,445
411,TH1602,2017,พัฒนานิคม,37175,35767,15737,423,440
412,TH1602,2018,พัฒนานิคม,38080,37648,16377,430,435
413,TH1602,2020,พัฒนานิคม,39141,38495,13242,338,344
414,TH1603,2012,โคกสําโรง,135524,132684,49757,367,375
415,TH1603,2013,โคกสําโรง,135480,113244,44392,328,392
416,TH1603,2014,โคกสําโรง,105810,83038,31721,300,382
417,TH1603,2015,โคกสําโรง,122998,118917,40313,328,339
418,TH1603,2016,โคกสําโรง,127046,126445,50831,400,402
419,TH1603,2017,โคกสําโรง,126964,124829,51679,407,414
420,TH1603,2018,โคกสําโรง,122312,119868,48067,393,401
421,TH1603,2020,โคกสําโรง,128715,127165,43109,335,339
422,TH1604,2012,ชัยบาดาล,24837,24315,10431,420,429
423,TH1604,2013,ชัยบาดาล,24963,19946,8477,340,425
424,TH1604,2014,ชัยบาดาล,22994,18857,6694,291,355
425,TH1604,2015,ชัยบาดาล,24210,23827,8864,366,372
426,TH1604,2016,ชัยบาดาล,26397,25627,11122,421,434
427,TH1604,2017,ชัยบาดาล,30641,30168,12550,410,416
428,TH1604,2018,ชัยบาดาล,30417,29704,12179,400,410
429,TH1604,2020,ชัยบาดาล,36884,36285,14405,391,397
430,TH1605,2012,ท่าวุ้ง,118950,118289,75823,637,641
431,TH1605,2013,ท่าวุ้ง,119048,118948,81360,683,684
432,TH1605,2014,ท่าวุ้ง,105150,92872,60831,579,655
433,TH1605,2015,ท่าวุ้ง,78364,77839,51685,660,664
434,TH1605,2016,ท่าวุ้ง,91195,87977,58769,644,668
435,TH1605,2017,ท่าวุ้ง,108912,108912,72100,662,662
436,TH1605,2018,ท่าวุ้ง,116935,115557,75459,645,653
437,TH1606,2012,บ้านหมีคglyphูํภ,194974,193114,124752,640,646
438,TH1606,2013,บ้านหมีคglyphูํภ,200608,195765,128226,639,655
439,TH1606,2014,บ้านหมีคglyphูํภ,187325,186684,120971,646,648
440,TH1606,2015,บ้านหมีคglyphูํภ,160127,154947,99786,623,644
441,TH1606,2016,บ้านหมีคglyphูํภ,220886,216964,140376,636,647
442,TH1606,2017,บ้านหมีคglyphูํภ,221155,217329,136917,619,630
443,TH1606,2018,บ้านหมีคglyphูํภ,220153,218962,137070,623,626
444,TH1606,2020,บ.านหมี่,215637,212644,127799,593,601
445,TH1607,2012,ท่าหลวง,330,327,123,373,376
446,TH1607,2013,ท่าหลวง,337,264,101,300,383
