admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Mueang Tak,TH6301,2012,70.894459716642,54.97593571579615,64.99213364347644,66.68741805878624,192.98094734616203,185.25910340452532,161.80905053922606,110.08134912243607,113.46004969338131
Ban Tak,TH6302,2012,57.828060263653484,35.94090395480226,36.76448210922787,33.959924670433146,112.59807909604521,108.28500941619586,85.12192090395482,43.42154425612053,64.23999058380414
Sam Ngao,TH6303,2012,58.59009364218828,34.983587974371616,26.11508132084771,20.7819122720552,113.60418925579103,109.09088220798424,87.60837851158207,41.17230162641695,61.49330335140464
Mae Ramat,TH6304,2012,76.38605882352941,103.85420588235293,136.13150000000002,136.20650000000003,136.20650000000003,129.64973529411768,100.28220588235295,57.49185294117648,109.52606985294116
Tha Song Yang,TH6305,2012,133.34,162.54545454545453,269.1727272727273,320.42,341.80909090909097,327.00363636363636,294.6018181818182,240.79454545454544,261.21090909090907
Mae Sot,TH6306,2012,135.35096102509343,206.3129871863321,283.9359450080086,285.64042979177793,285.64042979177793,284.86205285638016,254.0621329418046,199.29276561665773,241.88721302722902
Phop Phra,TH6307,2012,165.21327367636093,216.44478001491424,361.01489560029813,376.3565622669649,377.23603653989557,377.23603653989557,347.5945376584638,290.78732289336307,313.9854306487695
Umphang,TH6308,2012,175.29914712153519,215.45906183368868,373.5759061833689,386.5153518123667,400.6880597014926,400.6880597014926,372.95522388059703,315.9368869936034,330.13971215351813
Wang Chao,TH6309,2012,81.19418650019509,74.47877487319549,133.53070620366756,161.1442060085837,232.83991416309016,228.47939914163092,203.983417869684,149.8076082715568,158.1822766289504
Mueang Loei,TH4201,2012,101.56715741789353,98.4466874292186,111.66746885617214,128.3660249150623,191.0154586636467,193.2120045300113,176.32567950169872,138.81367497168742,142.42676953567386
Na Duang,TH4202,2012,77.48758389261745,73.49827420901248,77.01006711409397,90.89904122722916,142.4539309683605,139.58700862895498,123.02722914669224,90.54472674976031,101.81348274209013
Chiang Khan,TH4203,2012,152.2027073485174,149.61989686291363,160.46476149548775,193.45242801890848,254.95857327030512,271.10880962612805,256.33008165019345,215.0468844005157,206.64801783412116
Pak Chom,TH4204,2012,162.5,170.2,204.85000000000002,252.2,306.90000000000003,319.05000000000007,300.75,255.45,246.4875
Dan Sai,TH4205,2012,127.23787705231007,121.79259259259261,166.28052691867128,206.97922871324937,307.82142038946165,289.56865215731204,259.3266132111493,215.8186330660558,211.85319301260023
Na Haeo,TH4206,2012,156.46666666666667,147.82713864306785,184.0519174041298,219.1392330383481,310.79144542772866,292.46725663716813,263.8132743362832,221.22477876106197,224.47271386430677
Phu Ruea,TH4207,2012,111.47950963222418,105.49001751313484,136.21725043782837,166.50788091068304,252.22626970227668,241.429772329247,214.52425569176881,173.40464098073556,175.1599496497373
Tha Li,TH4208,2012,139.4382853787434,140.0725190839695,189.4701702877275,234.22959483264827,315.21597181444514,309.2531415149736,284.97140340575453,239.38755137991782,231.50482971227245
Wang Saphung,TH4209,2012,66.12262353998204,62.04485175202157,76.93491464510335,89.34080862533693,159.9415633423181,151.59159029649598,132.52900269541783,98.93096136567836,104.67953953279427
Phu Kradueng,TH4210,2012,41.886821144098484,35.89804489500362,34.43081100651702,36.59225199131065,111.87483707458365,101.23262128892107,84.63280231716148,61.03808834178131,63.44828475742215
Phu Luang,TH4211,2012,59.29592808038076,55.6074563722898,81.63246959280805,107.26938127974621,196.09619249074566,183.48164992067694,158.42829190904285,120.98064516129034,120.3490018508726
Pha Khao,TH4212,2012,44.356735932757424,38.79815549848238,37.45552183049266,40.298482372169055,102.3882091991595,92.88449684800374,77.95818351622695,57.088279243520915,61.403508055101575
Erawan,TH4213,2012,63.06368421052632,58.21216374269006,60.026140350877206,66.69064327485383,123.65710526315794,116.65011695906433,100.56836257309944,72.61008771929826,82.68478801169591
Nong Hin,TH4214,2012,52.859873474920924,47.862810664256685,55.12223226389516,66.81952101220065,142.5187980117488,132.40460912788072,112.84306371441487,82.73203795752373,86.64536827835518
