system:index,admin2Name,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
00000000000000000025,Mueang Tak,2.159427967593839,2.166567969879918,2.215224581689144,3.453305364823845,3.8759692228316833,4.689654641282907,4.6194626270015995,3.8159778728249147,3.4309415109182098
00000000000000000026,Ban Tak,2.448396201668643,2.474783702864045,2.234912368170358,2.822159940155527,4.069624656254455,5.628141421630951,4.692108018176085,3.7581451237844252,3.601726965833509
00000000000000000027,Sam Ngao,2.5370372875682436,2.9278130564579814,2.7250015986721756,3.226562330302474,4.026387422141431,4.998506970763479,4.373769138087105,3.9940712221424106,3.623726512092779
00000000000000000028,Mae Ramat,1.586126369464446,2.348403879288585,4.023418026116316,3.6822930066844837,3.9176983460936277,5.138878937492489,4.095628404517514,3.410051766966819,3.3484435810370794
00000000000000000029,Tha Song Yang,2.29916634378712,2.992446421740783,3.252172551305439,2.5581197052271576,3.458612396794616,5.861419288299964,5.011578961812713,4.54831321050489,4.322584490092866
0000000000000000002a,Mae Sot,1.4285489811282646,2.328411977928087,4.467147940528644,3.1206857666013694,3.8239247971281816,4.9887592482790994,3.521617381147605,3.1119493447309585,3.139865115964897
0000000000000000002b,Phop Phra,2.095334466609342,2.622839993758988,4.29715716823736,4.682445441698249,3.4848628087813873,4.754555350415893,4.708641975893407,4.226012123996555,3.659280440248423
0000000000000000002c,Umphang,2.0869289538740534,2.69723936522453,1.3684583094172584,5.978950598243649,5.135872364162217,4.674767481087552,4.027323953039532,3.6377244877594124,3.4995111293902887
0000000000000000002d,Wang Chao,2.2377127013301386,2.476311666026017,1.6759245872873978,4.242175075846075,4.66367555541427,4.9364656054797456,4.967667998900249,4.291089747319831,3.88256482368391
000000000000000002c4,Mueang Loei,2.6081713107987983,2.935015621869555,,4.461353754196524,3.778064677092837,5.719888000200208,5.2526495119647985,4.534266921506093,4.217850348195207
000000000000000002c5,Na Duang,2.7524956432350085,3.241255878623143,1.8523123471077454,5.1332708019349065,1.6370409717345182,5.45097891717876,5.262698745171556,4.719426644536258,4.38403133140744
000000000000000002c6,Chiang Khan,2.344450870860777,3.0492486578577602,,3.8358040251220085,3.5193487862478596,5.5629700101607735,4.955846534897801,4.139291133555839,3.984243266489816
000000000000000002c7,Pak Chom,2.614042501763592,3.4638741660679275,,4.857479701169655,3.619033694787762,5.324137421375919,4.960031398187624,4.446870005767876,4.23586970805059
000000000000000002c8,Dan Sai,2.286341524514709,2.3250966130326,4.236099103327321,4.577433046743455,4.150347267806659,5.212243364008468,4.7517033802079265,4.0915146232613875,3.8731679985085847
000000000000000002c9,Na Haeo,2.499547504809338,2.471773485595327,2.9091985849266275,4.127580053822259,3.8470189779679895,5.138858919034739,4.650541665414215,4.217113405348806,3.817939054776415
000000000000000002ca,Phu Ruea,2.359035628466104,2.7331202219988047,,4.92532891468156,3.8817497091576554,5.254065675233351,5.092227993071134,4.535706594957295,4.096345057109613
000000000000000002cb,Tha Li,2.5941533194961544,3.0343294646433954,,4.562964271054121,3.7634562492937604,5.745441266177994,5.15749325357242,4.122002935247916,4.113765201535653
000000000000000002cc,Wang Saphung,2.6965666401030055,2.6754043755091064,,4.56441086280833,3.4052220702634943,5.312667834256814,5.1398749518446865,3.891223695165242,4.045631492196573
000000000000000002cd,Phu Kradueng,3.0447921772001,2.8048827665868092,2.6548510665380065,4.297626034141857,4.572133358720198,5.16347555313763,4.759450896595928,3.441216794934242,3.966927575093244
000000000000000002ce,Phu Luang,2.7250663457547097,2.400720283931206,,4.4551312475479685,4.022611779648808,5.363992989674215,4.876679043623575,3.7188144835090884,3.9453130913444205
000000000000000002cf,Pha Khao,2.50859574551517,3.0045821845486853,2.3069440770928287,4.570904531712078,4.584570160004978,5.223847178224324,4.8566026062702745,3.716025441476668,3.9297954766986836
000000000000000002d0,Erawan,2.6993208192333484,2.7267101542482646,2.5523728878476093,5.014571099306881,5.453222025800812,5.960681454572092,5.425815115987412,4.41031160094922,4.346430406842204
000000000000000002d1,Nong Hin,2.95794534418688,2.755208133291953,,4.723450137820238,3.202587648312057,4.995754583868334,4.799611258375587,3.2131022331344448,3.8964288074443694
000000000000000000ef,Mueang Satun,4.348003656423539,3.997626409656011,4.681208778547018,3.929886872000954,3.4692285500257514,3.8278424587555735,4.967672124092172,5.0953698883894925,4.507400641397379
