system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
00000000000000000025,Mueang Tak,68.76476141872924,55.258888321850804,79.42193161520795,89.43789231946927,178.67113209152004,173.1210512885941,148.85518839840097,97.55182869779706
00000000000000000026,Ban Tak,56.65723988885457,36.7069774621797,39.98589070700834,39.514309972213645,115.31748996603892,110.36980549552332,86.84174127817231,44.34272923741896
00000000000000000027,Sam Ngao,53.21192722175171,33.44650565112,31.643044887707727,31.305978213253127,103.34171315090099,94.10116234923048,70.06852311556322,35.739049677287476
00000000000000000028,Mae Ramat,67.96777528324542,72.16455907690697,112.2190779512348,119.83097687046416,122.65119302459145,115.28365269148435,87.58372056596875,48.224205085365206
00000000000000000029,Tha Song Yang,167.83665954298868,186.488003452244,273.09197764261074,324.73815551537086,382.2165050139733,368.21782426434334,335.81297057373,282.26676804208455
0000000000000000002a,Mae Sot,110.46989816700606,148.07019348268835,236.9436812627291,247.19799898166997,248.80276985743373,247.68619144602846,217.15168024439922,163.6050763747454
0000000000000000002b,Phop Phra,146.1858945140811,179.444733843399,297.87811329969077,326.8488604916165,346.8583998046557,346.8541917629822,318.41272993651313,262.6473302946443
0000000000000000002c,Umphang,218.4735228735229,255.06741546741554,390.03668455097034,417.74676160390464,438.7577562720421,438.7577562720421,414.67482324625183,357.6377442377444
0000000000000000002d,Wang Chao,83.710568383659,77.66384325044406,140.1768983126111,169.38018428063947,242.71529751332156,239.92970692717583,215.21926065719362,161.23865452930727
000000000000000002c4,Mueang Loei,100.11526904702043,97.01010812169976,114.35776967563488,132.83427835051546,199.1203545385969,199.2339011817954,180.55462031682174,142.1438710082977
000000000000000002c5,Na Duang,83.44205504079657,79.85603650947311,85.11182409072052,102.414686765316,152.07669755220581,150.2429677776241,133.0712902779699,99.77949108007192
000000000000000002c6,Chiang Khan,160.8328663385081,159.5514009844756,180.64777546383942,215.77119462324873,277.6167928814842,290.24590117379773,273.8816073457024,231.50517796289287
