system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
00000000000000000025,Mueang Tak,15872.619071719231,7817.618648405636,9979.552703184707,9844.407123800822,15810.900638860816,26573.380423222337,1612.5814246308569,277.7423177784564
00000000000000000026,Ban Tak,9294.05754696902,3683.351149102287,5065.817543698291,4852.442095038471,8265.207850391724,15605.300316195393,742.7288628110699,206.47383945362245
00000000000000000027,Sam Ngao,26475.80879721081,9006.63883563888,12382.553007349783,12721.483748676264,21684.67858948053,44475.38000157113,2373.674170137854,728.6752104824665
00000000000000000028,Mae Ramat,11252.008453782399,9474.973371832979,12185.092735215725,11100.363948680375,11432.330467514896,21460.347035911036,1340.4347906748455,290.4309006823337
00000000000000000029,Tha Song Yang,17044.5074691866,18175.759943081364,17944.96554345429,15322.905123748027,15660.871430627038,20142.287239648787,2854.759311900418,386.2036100827011
0000000000000000002a,Mae Sot,10355.316161872826,10823.611598659028,16402.253480105304,14581.290944803928,10933.717504474229,16071.900028113761,982.8042094211952,50.782038223831094
0000000000000000002b,Phop Phra,7681.6948440088945,7941.50949789496,11838.037482901182,8093.810436201095,7663.326184010037,8884.394218819749,567.1912039228514,81.43291791934593
0000000000000000002c,Umphang,47731.70459214846,44956.31318768333,77156.26420504252,42393.6097144613,37155.229215578,42082.0821707389,4307.171393813252,141.4653004558647
0000000000000000002d,Wang Chao,5813.971090357911,3975.0197276031267,6042.737991313372,4152.718897819052,6132.375839799059,8265.616847481448,879.7270336300719,122.19188007139692
000000000000000002c4,Mueang Loei,11554.224714571823,9303.221296174856,13989.100350000812,9364.396593332292,9676.590524982004,12567.15295902514,184.66087485002535,224.68345551911523
000000000000000002c5,Na Duang,5721.682743197796,4910.646769281461,7858.077961917951,5413.46696008888,4647.303144716749,5653.562385087855,107.57001813731941,81.86560793577455
000000000000000002c6,Chiang Khan,7678.974524519488,6791.464427407585,12599.496361403371,7412.772211387112,8341.950009972443,7924.231993347991,219.42260444491515,214.93055227270318
