system:index,admin2Name,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
00000000000000000025,Mueang Tak,1.0298397125097898,1.129681700472873,1.131081211598128,1.586395978614134,1.769505844610259,1.9248477062757419,1.7581306087926707,1.2596295843616385,1.3961707525973488
00000000000000000026,Ban Tak,1.1841801577272515,1.3708320998190682,1.1370534570367996,1.7448363250194492,1.611432156396754,2.0390802165838955,1.724159954964737,1.2898784928653635,1.4554112892841904
00000000000000000027,Sam Ngao,0.9946958025559259,1.3208710557488825,1.2215107887410075,1.9248854675505809,1.7110808013339727,1.9344143947526324,1.6096172695035262,1.3161965788586174,1.4322798713408618
00000000000000000028,Mae Ramat,0.6613176577556454,0.9186884190675887,1.1960132728011794,,1.8468937668540748,1.8839038027788886,1.5776969676667592,1.191351647834717,1.1997589314420114
00000000000000000029,Tha Song Yang,0.7872258834177895,1.2123326741238896,1.5490376193270428,,2.249881667866244,2.199475718622656,1.8484541292412893,1.5029307151374884,1.4421533075272057
0000000000000000002a,Mae Sot,0.6466598034054091,0.9723215705729724,1.5001960285056848,1.814412681699396,1.7881641768390217,1.8315803217213442,1.6068618840816633,1.2531566370460878,1.320470474679744
0000000000000000002b,Phop Phra,0.8560364012131587,1.2715636539848685,1.7473755368203425,1.887240363194585,1.7289623603289308,2.0265534160948238,1.8028551525869339,1.5457772629218707,1.5375683480027824
0000000000000000002c,Umphang,1.0083461849036994,1.1910966727184025,2.5174598448870658,2.756361620113085,2.137605996103205,2.100033069361766,1.400687949983667,1.150434661129675,1.6489127888527402
0000000000000000002d,Wang Chao,0.8767817164866627,1.0783416099359375,1.2750901071725813,1.7869193270902797,1.9718799079726053,1.8903865984818051,1.8190087015248746,1.5396860833295476,1.4665639454413981
000000000000000002c4,Mueang Loei,1.1012684300720026,1.213423808841156,1.864027938424894,,1.942270094993277,1.8276351551016967,1.7924316058322216,1.3617520209837752,1.5443806962957136
000000000000000002c5,Na Duang,0.9077898522788045,1.0897410350781882,1.7787219654546658,1.674755142703079,1.8581148779092345,1.930828971996777,1.8290172865549101,1.3908267519357327,1.4957000579010216
000000000000000002c6,Chiang Khan,1.13954131573609,1.3284606061369106,1.901324680333676,,1.9200382193640737,1.8355763103273233,1.7748084004051847,1.2763255841859669,1.5317800858271133
000000000000000002c7,Pak Chom,1.2518241842079543,1.7043178376632053,1.9385280085072571,,1.9271650760139332,1.884873602948955,1.717227879721565,1.3140678590038741,1.5451464745786239
000000000000000002c8,Dan Sai,1.0948928830085483,1.2886248567859644,1.7524445529977069,,2.140811943523323,1.72415290147262,1.7861520982314614,1.3352349895997693,1.551256493486143
000000000000000002c9,Na Haeo,1.2324346534955521,1.4759192825842213,1.8908125643101914,,2.190230153299938,1.7598528247021203,1.7389811527821357,1.3715206517662974,1.6175190825527943
000000000000000002ca,Phu Ruea,1.206485808712424,1.2292368365488333,1.7157341123676604,,2.1455410065349114,1.449468946144192,1.746163292487571,1.3041963618524535,1.5893123237421407
000000000000000002cb,Tha Li,1.117601848606227,,1.7255530598058466,,1.9833839778478777,2.1415624421823782,1.8999217196181972,1.2438532967302083,1.5597528800236145
000000000000000002cc,Wang Saphung,0.9823981732948956,1.1506964380242892,1.8433333835911943,1.9913332880976962,1.9177254740895444,2.00157762041322,1.855089453914572,1.439311145739868,1.587925382177255
000000000000000002cd,Phu Kradueng,1.0627881169906421,1.4852491097697078,1.4134001885831422,1.5773507574672314,1.8630346073004247,1.7864191432767025,1.7592200506549902,1.325840703029642,1.534122068436321
000000000000000002ce,Phu Luang,0.9712440161240974,1.1144015002405274,,,1.89017391544894,1.9242547103573084,1.8703935068453121,1.373323953140684,1.5625160549700075
