system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
00000000000000000025,Mueang Tak,9068.16266008545,11059.90216088014,7694.512685349409,6760.543482707997,13836.956673574448,8368.76371936985,3266.9454472298703,165.6657523973315
00000000000000000026,Ban Tak,5217.410362548455,5571.062468720419,3647.7968256627796,3452.4947138253383,7031.09632204841,5165.338101652558,1784.4749181784834,104.72485425542388
00000000000000000027,Sam Ngao,15779.146527521281,10687.722307249143,8235.776359480034,9595.969250838896,17997.002001444496,11667.358840070987,8647.446068196205,206.4641066682105
00000000000000000028,Mae Ramat,7279.875372162051,12230.565851295696,8824.37485260496,8517.02296580988,10103.968452892113,9111.272704319863,4420.288505333545,159.3218223343512
00000000000000000029,Tha Song Yang,9667.563215950424,17306.60927798515,12277.142398007709,13508.315904635076,13085.988813501239,5639.509201566843,12094.379984325049,44.45673979590921
0000000000000000002a,Mae Sot,6133.453988124811,11465.641053786465,13482.552745054281,10519.969319507187,12229.05677945567,7381.921886490841,4312.693685505437,51.045555495117405
0000000000000000002b,Phop Phra,4143.444898199567,5952.544396865134,9762.419446894703,6474.165886257677,8538.866598052604,4355.620592988706,2416.0358507474266,93.5869851501558
0000000000000000002c,Umphang,26947.669498826937,27699.337524262603,59383.08392862432,43193.81799232118,40323.46190281943,28598.7305771566,11760.513413476943,326.9094992800816
0000000000000000002d,Wang Chao,3386.958866087596,3326.8512757993212,4388.767921224295,3248.6866172280966,5961.447731507059,3433.8940360321717,1331.5108962975296,84.30880061598386
000000000000000002c4,Mueang Loei,7160.561332279561,7340.481357422997,7635.046494887857,10837.796792023788,12667.322807526121,3801.827154640123,1233.1921324823415,161.53756893925802
000000000000000002c5,Na Duang,3284.107801594453,4338.47580481604,4638.0019479910525,6204.810973585355,6520.22194643862,1536.066815219206,648.2927049038456,42.85088208773557
000000000000000002c6,Chiang Khan,5626.468568421346,5735.198528212193,7959.3590583427285,8631.807263636118,10685.008493257035,2232.0241516356377,1345.45803029771,8.261033548560798
000000000000000002c7,Pak Chom,6712.394802972381,8045.108205924313,12084.767024455346,12271.135650224307,13536.013525989008,2308.5019969856025,2245.8089806668895,37.457662654624265
000000000000000002c8,Dan Sai,9487.551024047067,7133.550185342397,5255.525446023659,10969.75600905886,14890.657673057858,3481.9198238428885,4310.841711909165,84.15424782505224
000000000000000002c9,Na Haeo,4632.295626625361,3516.5052293132326,2278.2726664201887,4311.73386594735,6692.432492341247,2299.9941988327923,1527.5685069074816,23.003414870243446
000000000000000002ca,Phu Ruea,4584.164027668447,3947.8090264535413,2795.0067464510603,5456.398701823927,7471.953426490111,1710.7189893217646,1351.1200239620957,13.84860542527601
000000000000000002cb,Tha Li,4440.045331115348,4087.9238686823373,3554.543647488425,5243.747432991101,7183.370198775272,2321.3134298904265,584.1300030278225,54.98711682674932
000000000000000002cc,Wang Saphung,6246.797679441116,5979.239044664421,5952.608177811492,9715.295903088996,12996.049464846592,2558.9428607978066,1750.295977649034,136.0920511633596
