system:index,admin2Name,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
0000000000000000003a,Bang Rakam,0.27531955892156934,0.32949443817462687,0.43745601568099773,0.49329130392577714,0.36085859020458705,0.4174236325626357,0.3959167438120055,0.32158360230125405,0.3625330070028456
0000000000000000003b,Bang Krathum,0.2457523394997976,0.2837515437684839,,0.43462607558968375,0.4038795642744162,0.44555003032676516,0.4258312006970597,0.3049278834694429,0.3682761696841655
0000000000000000003c,Phrom Phiram,0.22422539203784275,,,0.5474791447107203,0.3856797862443586,0.4132101788541844,0.35449008738232596,0.26526132141977776,0.3233741627380105
0000000000000000003d,Wat Bot,0.25445181069941464,,,0.4095359629306031,0.5350684300683574,0.5101768081446743,0.4124083140510329,0.31553466599336355,0.3860140373454905
0000000000000000003e,Wang Thong,0.2911204785104961,0.2608616150214649,0.34879797855667455,0.4398450925221749,0.5053786837574131,0.5280483191816977,0.45394688542229505,0.33037728164036295,0.41291979105998194
0000000000000000003f,Noen Maprang,0.3223756040519541,0.3121479058581399,0.34808417477516823,0.19178133111439805,0.49383601376411546,0.5234346001921621,0.4894600722537513,0.33276633122698945,0.421752000519658
00000000000000000085,Mueang Phetchaburi,0.39230549741514537,0.38885618152339513,0.5010802137471652,0.32879452411598387,0.29843040731498693,0.3347567510833825,0.4179261387064453,0.5325885863790899,0.39178233652789113
00000000000000000086,Khao Yoi,0.4209188281344676,0.4597757114663189,0.41255844926795027,0.32210059195684493,0.3719335142515392,0.4962763696191308,0.5610112032070734,0.4983960417823196,0.4564317425590195
00000000000000000087,Nong Ya Plong,0.47699680294098085,0.44536013057085444,0.4907671593503337,0.439286450358298,0.5387701159285022,0.5628273909709146,0.5726800991749523,0.49725556984725766,0.5106860540094601
00000000000000000088,Cha-Am,0.3867873669102816,0.42882568064641163,0.4279249410477853,0.33148529273355126,0.39987759981714105,0.46573784451773853,0.5293240281609705,0.5404741841501682,0.45045426624717716
