system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
00000000000000000025,Mueang Tak,35.68728611403247,33.30255363581733,30.411702347193035,30.851788325383133,31.5836926081731,31.340648892916185,33.21132117012222,31.422825503802432,25.523370294032983,25.004779174804714,24.388081630608998,24.19302112755411,24.295598110101185,23.389964020557915,22.888617348695437,19.528566329748948,29.860636221078753,28.48492404096557,26.863676411946635,26.87968540289466,27.154357265374625,26.704735379732597,27.309331798064427,24.92240531403557
00000000000000000026,Ban Tak,35.07895624396509,33.06330089211913,30.22094405956485,30.501559699697914,31.24957077940754,30.791671630059316,32.375369645593786,30.78661451623368,24.817341788074074,24.56562101957059,24.003493745496684,23.83847075044441,23.9514851773723,23.01009732364271,22.206020683831515,19.033389107753983,29.143017781004055,28.102776436680735,26.52321201853094,26.496626236019086,26.749685383200223,26.223787326312713,26.549772249714735,24.325789858659864
00000000000000000027,Sam Ngao,32.74292558790832,31.307023844655905,29.16876427763939,29.516920851333843,30.13148811143892,29.512398675057177,30.132240921901868,28.78163447220205,23.16385610284456,23.34636814167872,23.089421960755054,22.873761402573475,22.881723824157948,21.56714269522588,20.27802297954522,17.157474286495074,27.21454091028947,26.63099781692072,25.51351574159119,25.480510327811054,25.655369615654376,24.900080796190682,24.576936187425613,22.384198525349273
00000000000000000028,Mae Ramat,31.730615979842575,29.808754155593384,27.80428202194721,28.46714831830286,29.41918962202001,29.50323758307306,30.535030819259546,29.44821941031435,22.84338891415198,22.91804061773171,22.655595570726877,22.57413306005737,22.688500312630474,21.53284859305425,20.272098543201107,17.238423414363123,26.59733526021168,25.64884977656165,24.686441115750625,24.775796920349297,25.171116702247232,24.754900259158706,24.662660533720626,22.71871012091157
00000000000000000029,Tha Song Yang,31.562312663547594,28.85209914162047,27.260660704355416,27.778359245118654,28.8827962118482,29.483832168579124,30.85173413867044,30.347061945811053,23.090018301161532,22.836548853677435,22.70367876840018,22.645513039543534,22.8913014533028,21.861251979404045,20.594303103855697,17.66289092499337,26.5910910969689,25.179284095764174,24.5004057808528,24.543294765835736,25.072936951168025,24.92055188587735,24.955030741010415,23.37422170345191
0000000000000000002a,Mae Sot,32.78050769810568,30.092599886008113,28.131157577197946,28.944148012191555,29.686880208109784,30.19509536500963,32.04372903080944,30.88894431589495,23.666360067477036,23.54241454109315,23.16308632129863,23.166257757203216,23.290297424167385,22.1826603182652,21.170156282790582,18.16422949710611,27.57800885807175,26.19003127101579,25.17655392973999,25.307611061627203,25.697502682118795,25.449989275996376,25.86054847540293,23.839213162212396
0000000000000000002b,Phop Phra,31.759580903894786,29.448214850332242,27.603518311743667,28.374385884602887,28.960111006194495,29.436564414828457,30.829959725772657,29.494920380800266,22.90872619030525,22.77247279746862,22.497759028416077,22.450940686394212,22.5487930477367,21.47688425999064,20.472497082878586,17.77285560159125,26.67167537315222,25.46202181947,24.523952442244013,24.621299866321063,24.92288396199546,24.640512587603425,24.772033296472912,22.84007126171286
0000000000000000002c,Umphang,30.35317098142359,28.366255835583544,26.4872444429226,27.12885193846967,27.737281341954226,28.689261280547,29.262168108830707,27.968641279642892,21.77162678110001,21.564156904376947,21.47206287982374,21.391228516143837,21.426159781614476,20.69821357719332,19.561659283031,17.084434390418057,25.236338128292783,24.24261825675789,23.45835660661531,23.46071600760559,23.743594189265384,23.783004763212766,23.543254575746765,21.792421315069657
0000000000000000002d,Wang Chao,33.409959248860694,31.00001844889325,28.894230712890646,29.52282434488935,29.903789489746117,29.58336395263674,30.462593155924502,28.843842170266566,23.86786857910159,23.507879439290388,23.15285393473309,22.962731302897154,23.029976574707053,21.927733907063825,21.002939184570337,17.93852186494717,27.974018611653666,26.632071223958356,25.480106799316424,25.59096134847007,25.72755018310549,25.02769693603518,24.949235766601582,22.75309544821349
000000000000000002c4,Mueang Loei,35.5545972239518,34.30102777104164,32.57309735303137,32.05728982787452,31.647065442431636,30.899529970127844,32.27108440128929,29.501793654489923,25.387060970161347,25.524616040621673,25.071889680752932,24.613636856022236,24.506703050629078,23.061003066140472,21.936974221499113,18.757716253365754,29.747823693874988,29.352899895880697,28.34412832921519,27.726999495333498,27.396800353685332,26.46222851189282,26.568100854018855,23.730559791497697
