system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
00000000000000000025,Mueang Tak,59.94235567773313,37.69911186297315,87.12036371325861,105.41837597800803,116.98498625502222,119.36694861492919,86.2024529498837,40.98392894903785,167.56269824487208,143.01564812856842,113.9589553816875,120.48411926411508,116.98498625502222,119.36694861492919,105.76652569253544,89.38779868894059
00000000000000000026,Ban Tak,61.61209039548022,31.854274952919024,79.34222222222223,97.17303201506593,116.32150659133711,118.59480225988702,91.03001883239172,47.63348399246705,167.53416195856875,142.22640301318268,112.93702448210925,119.10105461393599,116.32150659133711,118.59480225988702,105.3265536723164,88.32064030131828
00000000000000000027,Sam Ngao,61.81655988171513,25.483587974371613,59.87097092163628,77.93292262198128,117.80492853622475,119.12168555938885,90.33060620995565,38.52893050763924,169.10640709709216,145.01951700344998,114.23302119270578,120.85958600295713,117.80492853622475,119.12168555938885,104.97195662888122,87.38324297683589
00000000000000000028,Mae Ramat,73.58085294117647,55.60861764705883,100.5799117647059,108.33426470588235,109.1338529411765,115.72935294117647,87.92414705882354,52.66182352941178,155.81302941176472,131.23417647058827,100.5799117647059,108.33426470588235,109.1338529411765,115.72935294117647,104.76441176470588,89.99358823529413
00000000000000000029,Tha Song Yang,95.46181818181819,51.623636363636365,100.24363636363638,106.58727272727273,108.43818181818183,115.54909090909092,85.42909090909092,49.02909090909091,156.4309090909091,130.00363636363636,100.24363636363638,106.58727272727273,108.43818181818183,115.54909090909092,106.06727272727274,91.77454545454546
0000000000000000002a,Mae Sot,89.10028029898558,79.16189268553123,98.40201548318208,105.83047250400426,107.54642285104109,115.59479444741058,88.49997330485853,57.59164442071543,153.1594100373732,128.37770955686068,98.40201548318208,105.83047250400426,107.54642285104109,115.59479444741058,106.39455419113723,91.0614121729845
0000000000000000002b,Phop Phra,90.82261372110364,79.63139448173004,97.98691275167785,105.0653057419836,106.03303504847129,114.15570469798656,86.97561521252797,56.62102908277405,150.33823639075314,126.73021998508572,97.98691275167785,105.0653057419836,106.03303504847129,114.15570469798656,105.09752050708425,91.06424310216254
0000000000000000002c,Umphang,88.74221748400853,80.60341151385927,98.64136460554371,106.15202558635396,105.9221748400853,114.71535181236675,85.96844349680171,56.722388059701494,150.66375266524523,126.8850746268657,98.64136460554371,106.15202558635396,105.9221748400853,114.71535181236675,104.81257995735609,91.44328358208955
0000000000000000002d,Wang Chao,63.06917674600078,48.596410456496294,109.79239172844323,116.66710885680844,114.08127194693719,118.32945766679674,89.10351150994929,51.66410456496295,162.7694108466641,138.1755754974639,110.10909090909091,116.66710885680844,114.08127194693719,118.32945766679674,106.19075302380026,90.83554428404214
000000000000000002c4,Mueang Loei,64.72655719139298,76.73924122310306,116.96554360135899,126.58363533408834,115.98635334088333,116.01169309173271,58.09108154020386,34.48646659116648,168.01613816534538,146.50755945639864,116.96554360135899,126.58363533408834,115.98635334088333,116.01169309173271,99.90795583238959,87.62525481313705
000000000000000002c5,Na Duang,61.132550335570485,71.64961649089166,117.19549376797697,126.28926174496647,115.00589645254077,115.67804410354746,57.3745925215724,34.93604985618409,166.4675455417066,147.44961649089166,117.19549376797697,126.28926174496647,115.00589645254077,115.67804410354746,100.67622243528284,89.5151486097795
000000000000000002c6,Chiang Khan,70.26347228190804,82.02896433175763,116.35887408680705,125.54164159862486,115.74250107434466,115.98740868070477,57.31388053287495,33.02827675118178,166.56476149548777,145.6440481306403,116.35887408680705,125.54164159862486,115.74250107434466,115.98740868070477,99.02290502793296,85.2119037387194
000000000000000002c7,Pak Chom,78.45,91.35,113.65,123.9,113.55000000000001,114.25,60.05,38.1,163.25,143.25,113.65,123.9,113.55000000000001,114.25,98.80000000000001,84.85000000000001
