system:index,admin2Name,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
00000000000000000025,Mueang Tak,1.0198933773680119,1.0158360134379483,1.081212991307438,1.4920508771521006,1.711498272781187,1.9118856965716509,1.8297316445353404,1.4596789426018966,1.43972873142776
00000000000000000026,Ban Tak,1.1564815237291672,1.1661967955023573,1.0815217051865567,1.380326660912022,1.7519087459113347,2.068723215754263,1.9234738142414176,1.3378239148173139,1.4945063802274847
00000000000000000027,Sam Ngao,1.153387698588256,1.3010278930603756,1.1826865264778652,1.4868255046052496,1.7678335528359819,1.9076716724342428,1.7384862775350545,1.3898913295148974,1.496589050047811
00000000000000000028,Mae Ramat,0.750808628485612,1.0317669270688667,1.7670670966525026,1.9711535174292805,1.8925549136447404,1.893932877399544,1.612172478051988,1.1438714521412836,1.3064006194657491
00000000000000000029,Tha Song Yang,1.1483638388735042,1.4525775380026655,1.640307267043464,1.6179959285536463,1.8966822358051338,2.0159825673457314,1.899153949419917,1.3815910830073965,1.6059635666054726
0000000000000000002a,Mae Sot,0.6870350631891148,1.0153855428862368,1.8741417361808825,1.712913142948426,1.8059014566053153,1.8201627061151895,1.3839293003918376,1.0409851085328483,1.2224489213449652
0000000000000000002b,Phop Phra,0.7922007446079399,0.9251628048998303,1.9140635426026298,1.950687460534003,1.772003490760945,1.628118963832803,1.5911249906611296,1.3213323698315906,1.2528717767477267
0000000000000000002c,Umphang,0.9215865007800755,1.1129841498984996,1.4805412852425657,2.3026336433208274,2.4060788855397885,1.6709497895423548,1.5017469695662913,1.2717503199449112,1.3290475784263147
0000000000000000002d,Wang Chao,1.0459244283846378,1.1476731327369258,1.2008130513723307,1.6908242570305307,1.9125909650133723,2.0583232349848974,1.823893111785526,1.712667072041911,1.5998078228731205
000000000000000002c4,Mueang Loei,1.2052136518038064,1.3145956322184538,,1.7830149328572569,1.8691875538070095,1.9761285714523678,1.7890925444516972,1.4185916114076296,1.5901850485464195
000000000000000002c5,Na Duang,1.266812741741364,1.3680853299328923,0.8261575370049695,1.793551959900104,1.7345193166558237,1.9924319615972972,1.8123249646319712,1.4858461510269994,1.6080425845602575
000000000000000002c6,Chiang Khan,1.1045491864347963,1.3513932785918377,,1.6649793653892424,1.6111474643559127,1.934648450247411,1.7039334424574064,1.3203123334829026,1.4964013720680052
000000000000000002c7,Pak Chom,1.1923334923235853,1.437191764103206,,1.7372125995983774,1.685411819317818,1.8477384858815025,1.6408222349165642,1.304778307336655,1.5235822819681288
000000000000000002c8,Dan Sai,1.0911619813096618,1.4129462225111062,2.551661077875061,1.8571067537229449,1.8058571662769107,1.8085600970149533,1.6192863280052816,1.3216396472466472,1.5378765130330907
000000000000000002c9,Na Haeo,1.2616270522418704,1.4054175653297425,1.4338478427672288,1.8298020467019411,1.9187674877309444,1.810988550839635,1.6614866679973435,1.3282348197776637,1.5468594249694358
000000000000000002ca,Phu Ruea,1.089280540316562,1.3812037525964842,,1.8633380575445058,1.8313624390666552,1.8509600130142199,1.7012336230651113,1.4302093874126032,1.5703612635964088
000000000000000002cb,Tha Li,1.226674272277227,1.3784760327017367,,1.7529666306707048,1.7259156380865626,1.998493337170069,1.7787077043608261,1.32793346205383,1.5805874044291972
000000000000000002cc,Wang Saphung,1.263395912384533,1.3003708886964236,,1.7756568171037963,1.6194836201802463,1.947714384377349,1.796917963397226,1.408827999787384,1.5861741097253308
000000000000000002cd,Phu Kradueng,1.4046781575947191,1.3475275448869977,1.1927530999245728,1.7525152378232025,1.961380689142244,1.9133035107494916,1.7097723752429614,1.2415407087135215,1.5953345778966892
000000000000000002ce,Phu Luang,1.2617387743437714,1.1357585035114235,,1.7228179586748922,1.7705071330160977,1.9158618114520454,1.7709843029844181,1.3363686581475063,1.5504898456045306
000000000000000002cf,Pha Khao,1.184219385984444,1.3756228831780712,1.109567932321617,1.8283225667036629,2.027223676172222,2.022040547235371,1.8228732192032036,1.452026005061695,1.6141032032343148
000000000000000002d0,Erawan,1.2427784070892662,1.353419657288282,1.2292059486204545,1.8823356112973229,2.145540038692634,2.0905791407327814,1.9295597109144582,1.5965838073947503,1.6754660298063229
000000000000000002d1,Nong Hin,1.344989909512134,1.312722793479636,,1.8224011866236802,1.595697096753195,1.910793295012776,1.7571302285243353,1.2231854489125649,1.563617219271027
