system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
00000000000000000025,Mueang Tak,8035.335794307205,12157.209824472782,9787.356503523564,8541.913177667177,29845.785973638645,6337.426783204549,2764.7278320817377,492.4063484271366
00000000000000000026,Ban Tak,3877.015869577258,6009.241535840314,5065.136722732991,4555.8744068143415,14038.785684662236,3524.381799032174,1050.7444396579965,180.51467786606617
00000000000000000027,Sam Ngao,9084.149470498516,12221.33079615247,12439.169952325728,12291.770716632582,32436.464859654865,12918.19149975964,5118.080832608541,297.5371829000174
00000000000000000028,Mae Ramat,4901.265437350086,15063.77832330255,14345.735403105791,9938.993509240247,20376.76797127444,8181.435524551542,2451.4918280059223,257.08752538970873
00000000000000000029,Tha Song Yang,6778.134904821245,27767.89737506707,15090.006245070816,17773.878879318985,18980.180655490654,10764.43695909089,5508.111418810077,452.29379597364687
0000000000000000002a,Mae Sot,4950.375155167487,15204.160811456979,18611.811015567593,13524.56239772731,22458.24547813453,5034.436812453177,1967.5401962106134,288.3047249216659
0000000000000000002b,Phop Phra,3821.953787780275,10195.265913904414,14035.995171530105,8403.764709973802,15121.539519683987,3322.448670465806,1425.5356127065772,220.46173819619068
0000000000000000002c,Umphang,23067.694327641468,60618.966285745766,68649.64890288186,48953.83623381456,71796.7694759182,12596.539336403677,10359.722248589176,73.26159967067196
0000000000000000002d,Wang Chao,3229.5790869890466,4855.048170651175,6083.473853834937,3974.567734293377,13015.712514213485,1987.828741901996,1543.7607517167635,222.51581215835085
000000000000000002c4,Mueang Loei,8799.330673855426,6500.627541790289,11342.128124347852,10143.776052765284,13950.32446560205,4361.767845697964,1123.1126275286956,31.93861686762641
000000000000000002c5,Na Duang,4721.684677168902,3698.3067803382874,6569.549875429565,6064.966905632673,6964.473805261126,2539.8386579205007,321.26653746904105,19.099653342190912
000000000000000002c6,Chiang Khan,6639.3981584810745,6027.847401000003,9155.698180067773,8361.375790448516,10736.564935282166,2583.320466139737,737.2146010363803,47.64401277794557
000000000000000002c7,Pak Chom,8252.968183508105,8018.541590891634,13361.532025618648,11940.802388409547,12355.968438279395,4203.091907204835,668.6976463126201,105.81054557024264
000000000000000002c8,Dan Sai,8291.909461028907,6412.684115262125,9551.277853840005,8798.366115581992,15417.900393932941,7458.148623894709,808.8374029224995,23.098952800152347
000000000000000002c9,Na Haeo,3457.8623804802987,3913.726438095056,3860.857836699486,3696.9918180914487,6331.894943231692,3279.524869226942,599.2479472805471,25.956113190744436
000000000000000002ca,Phu Ruea,4495.99083535531,3232.0569988012317,5068.932446308697,4721.11777207197,7461.232926436031,3221.736967808593,477.01589232379314,0.0
000000000000000002cb,Tha Li,4628.818491289662,3558.6916241122226,5367.053433987675,4680.647058264413,7377.168344667846,2872.9956874230325,344.3000869208692,0.0
000000000000000002cc,Wang Saphung,7821.692628373354,4934.97388724486,10297.61871031593,9251.371806405456,14238.863715839385,4217.100443725026,701.5324470777136,39.28094654363744
000000000000000002cd,Phu Kradueng,5163.145613955516,2944.4373216159206,8596.540458114943,6014.510140949605,9847.582056356881,2841.7275853680626,451.93169269234517,0.0
000000000000000002ce,Phu Luang,4278.170645582911,2534.365563911083,5941.39685066915,4836.189200666839,7590.245790517098,2062.8743851829977,381.8862590788188,0.4518417302299948
000000000000000002cf,Pha Khao,2249.7949510490193,1559.8358684390196,3609.5699867790822,3158.9249479709893,4998.206364109003,1612.7995146246517,113.54351516821802,0.0434147227044199
000000000000000002d0,Erawan,2313.1584537094714,1709.6233209235995,3291.793740608178,3095.292321281106,4145.33539611779,1349.3587298514792,175.79466633936937,15.674807773851882
000000000000000002d1,Nong Hin,2116.1213857931252,1223.2684971056733,3111.0052832818506,2890.620161595531,4147.375726448321,1271.7453315220625,172.47703078899025,0.0
000000000000000000ef,Mueang Satun,5312.7788262694485,7666.3616588400855,5279.064627416928,10665.963504678131,7228.415367581796,13121.698204036788,8274.081264865163,4454.488351138433
000000000000000000f0,Khuan Don,1557.3064023756513,1821.2837768554687,1223.187520052405,2529.9987019482783,1343.3285460785323,3440.8688293513123,2237.70261889626,1749.6962365477689
000000000000000000f1,Khuan Kalong,3601.7065401264263,4189.388597453108,2882.2950092918727,4846.872295025282,2827.3033522699398,7235.948725337606,5695.998501401788,5315.042472097921
000000000000000000f2,Tha Phae,1193.0009791752875,1680.781667707481,1109.1253845672982,2022.2910981075433,1328.283221832444,2920.422672535392,2222.161155579137,1465.4568814455295
000000000000000000f3,La-Ngu,2380.126521805455,4065.7578859191317,2382.735287347027,3586.8450484182326,2766.7420868462214,5387.274270517687,3726.624983849712,2552.7061097079636
000000000000000000f4,Thung Wa,2977.7525986643395,4623.680712373583,2826.9751256339687,3792.0576600074774,2706.8686531581134,6179.5442722844155,5111.2694869237785,4087.7625164031983
000000000000000000f5,Manang,1264.0530438839223,1835.2581711077223,1138.879966138391,1661.5377161867477,1102.7190734797834,2898.8072725221227,2258.7590934454224,1981.1528518115774
