system:index,admin2Name,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
00000000000000000025,Mueang Tak,4.106247727307468,4.454895648403926,3.2887930263137464,3.6399231118894457,6.801390187703633,7.988068842778335,7.821469911269105,5.203404750007925,6.145853164047615
00000000000000000026,Ban Tak,4.893467548692795,5.249060784316406,2.6769574653096724,,8.287005601150362,9.758030326502356,8.555639206185132,5.636981867339142,7.122608594036424
00000000000000000027,Sam Ngao,4.890053925782924,5.326486519303581,3.622800700038166,,6.657868493915836,8.155214316993044,7.98405370133363,6.746522796501873,6.652834711580156
00000000000000000028,Mae Ramat,2.014144927924054,3.7018756398777137,,,7.134121737628869,8.170671039194634,7.115693263682085,4.287794927733221,6.248906145481625
00000000000000000029,Tha Song Yang,2.7341100362494,4.773700004875376,3.2156206886503056,,9.099407214394077,10.4544807090272,8.590949003058158,5.489431797607169,7.369227380188702
0000000000000000002a,Mae Sot,2.030372253330464,3.0240417895503646,,,6.393454816885066,7.627149501683694,6.6240131777089015,4.1217793759907195,5.559210282027808
0000000000000000002b,Phop Phra,3.2514828286516524,3.703404464227225,,,5.480413981490182,7.068953016967122,8.086481355064823,6.1140921959278405,5.938919315444172
0000000000000000002c,Umphang,3.9752450677704685,3.8469110317151403,,3.916183994792298,9.293134231510374,7.796899757251894,6.649592110371946,5.140789784809085,6.31006815389967
0000000000000000002d,Wang Chao,4.038853232060945,4.374243048607265,,,7.030458886180969,8.124893795401743,8.006269393063802,6.116762694078534,6.436565481741109
000000000000000002c4,Mueang Loei,5.894874458292781,3.1574223321961283,5.573036146736779,7.154676255324873,9.491781668367905,8.536072208031506,7.124055740932911,5.830873930246912,7.1357392052277016
000000000000000002c5,Na Duang,5.877631779492731,3.363165829965773,6.070096934771502,7.684470023402536,10.717051234507336,9.437058753441061,7.392673518829176,5.7724700834511,7.273388751285958
000000000000000002c6,Chiang Khan,5.213133311604959,3.165555442559331,5.251775675696251,7.487043722426852,8.744412998494122,8.181041125374481,6.50382430329288,5.03508890809338,6.472962511183035
000000000000000002c7,Pak Chom,5.925494672730158,2.5609596838720656,6.517701132422552,7.804197639991549,8.906721130527457,8.320865373382688,6.866096119599399,5.605501055257781,7.0745233048378475
000000000000000002c8,Dan Sai,4.921855708777639,3.4744430121041123,5.5147860640996385,6.072233988449379,9.388692411010927,8.933104632895738,7.064937908228641,5.351491737445371,7.018409214616851
000000000000000002c9,Na Haeo,6.594930460997729,5.2558637027830235,,7.738364878584094,10.235721618355196,9.523076367599066,7.1319678428754205,6.103415184972129,7.479388201229651
000000000000000002ca,Phu Ruea,5.465444421587569,3.2467364948404365,5.861140369339684,5.910045948162357,8.907570394862866,8.385524878177245,6.5295275875726535,5.3189531359179485,6.855728519510289
000000000000000002cb,Tha Li,5.999939086653832,3.4660709480481153,5.131394666680451,6.251271557656863,8.412206944068705,8.296900932514333,6.793786279330561,5.290543210540558,6.541860538026062
000000000000000002cc,Wang Saphung,5.800496537002626,3.665972856852384,6.834760750052188,6.828988578191464,9.512906307365858,8.845443115091728,7.545374210219475,5.463154185288532,7.013263724222859
