system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
00000000000000000025,Mueang Tak,71.77908648762953,77.79080143793615,43.78714315923028,111.9925142736308,114.9304292662297,97.11148234299007,74.62668640304506,49.821949672235164,166.60137449777972,142.09687037428634,144.40353140198775,111.9925142736308,114.9304292662297,97.11148234299007,110.76997251004443,104.02983717487842
00000000000000000026,Ban Tak,86.35585687382299,66.9502824858757,36.33088512241054,111.53393596986817,115.25035781544258,98.50523540489642,75.28380414312619,20.59830508474576,166.34806026365348,139.94312617702448,139.79386064030135,111.53393596986817,115.25035781544258,98.50523540489642,111.19807909604519,103.32945386064029
00000000000000000027,Sam Ngao,55.32725480532282,56.610547067520955,32.575948743223265,111.76338097585017,116.44006899950715,99.7486446525382,76.50182355840316,21.448447511089206,166.41936914736323,140.80349926071958,139.74006899950714,111.76338097585017,116.44006899950715,99.7486446525382,111.12641695416461,100.87141448989651
00000000000000000028,Mae Ramat,81.42867647058826,125.40038235294121,106.23726470588237,105.32155882352943,106.68482352941179,99.08623529411764,72.47600000000001,29.649647058823536,158.92997058823534,132.8443823529412,124.4699705882353,105.32155882352943,106.68482352941179,99.08623529411764,108.24820588235295,103.54929411764708
00000000000000000029,Tha Song Yang,81.46181818181819,129.5309090909091,115.43636363636364,102.59818181818181,106.23818181818183,97.38909090909092,72.59272727272727,56.29272727272727,159.87636363636364,130.61272727272728,123.68909090909091,102.59818181818181,106.23818181818183,97.38909090909092,107.40545454545455,102.24181818181818
0000000000000000002a,Mae Sot,101.771636412173,126.84825146823279,119.52152963160705,104.81809930592635,104.15417778964229,98.74311265349708,73.05862253069941,54.344500800854256,156.88753336892682,129.6391884676989,122.6018953550454,104.81809930592635,104.15417778964229,98.74311265349708,110.3979978643887,104.06201281366796
0000000000000000002b,Phop Phra,118.62143922445937,122.39505965697238,120.11370246085009,103.94093959731542,102.03950410141684,96.48639075316927,73.27872856077555,58.479381058911244,153.39774422073077,125.96538031319908,121.56383296047723,103.94093959731542,102.03950410141684,96.48639075316927,109.32516778523487,103.04692393736016
0000000000000000002c,Umphang,138.12132196162048,124.31961620469085,119.96417910447761,103.42537313432837,103.1321961620469,94.38933901918978,73.68038379530917,58.90554371002133,151.3452025586354,124.33773987206823,121.05159914712154,103.42537313432837,103.1321961620469,94.38933901918978,110.04520255863541,102.86972281449894
0000000000000000002d,Wang Chao,101.29586422161532,110.49055793991417,77.32344908310574,110.75793991416309,110.76305111197817,96.24463519313306,74.22024970737418,54.817908700741334,160.40503316426063,135.30557939914164,136.27417089348418,110.75793991416309,110.76305111197817,96.24463519313306,110.75887631681623,105.69960983222785
000000000000000002c4,Mueang Loei,93.59003397508494,139.98720271800678,104.42800113250281,111.631087202718,114.73742921857306,99.74345979614948,68.1597678369196,55.33012457531144,170.5994054360136,139.98720271800678,141.62344280860705,111.631087202718,114.73742921857306,99.74345979614948,104.64232729331825,101.45812570781426
