system:index,admin2Name,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
00000000000000000025,Mueang Tak,0.3453680552327567,0.5712237430818886,0.6530084550906002,0.6740188961576685,0.6927123011517659,0.7835560226660008,0.8108707454885579,0.6757882026870922,0.06584242837417667,0.3490494974087571,0.4842542968300948,0.5035267962214601,0.5415227121666754,0.62192245222487,0.6336848830602426,0.47877803455594886,0.6462142308136845,0.4501785878193388
00000000000000000026,Ban Tak,0.3816568195411358,0.5538099677375604,0.6283931730098083,0.6086702533637174,0.6942010618003913,0.7969000911203074,0.7903490805911875,0.6335468624214429,0.13258991096776815,0.3611861327404407,0.4058779239763329,0.42680318065509243,0.5349285464551707,0.6446641096876088,0.618806112473819,0.4385778728756566,0.645162015510921,0.4518890004760764
00000000000000000027,Sam Ngao,0.41097963740781623,0.5313821548876874,0.6058367686779466,0.6390393314531237,0.6959598428911572,0.7566201117362075,0.7283784861582026,0.6354326310885674,0.15736536526742648,0.378882203307186,0.40299641215368553,0.43909733525386035,0.534557675551954,0.598683726044479,0.5360630186642072,0.41667844683918337,0.6395729880174128,0.4425872134285711
00000000000000000028,Mae Ramat,0.3483990303518563,0.47792462804953517,0.7251119922882935,0.7148783991516618,0.7598705457576757,0.7421102572685621,0.6976607841376072,0.5591949303711957,0.06056671611666585,0.3158795578276928,0.5723543323939206,0.5865397076981397,0.5752662792504533,0.5400983355155204,0.49519185383048886,0.30834509812418875,0.5967397045305929,0.3719587536686266
00000000000000000029,Tha Song Yang,0.4158733487062329,0.49136302573367124,0.5877325354478298,0.7125416401575329,0.8012795858718486,0.7831411882655339,0.7707201399527656,0.6834176734474798,0.12068411703324983,0.34147343694841903,0.5710391491269454,0.5775069895972392,0.6245185115248281,0.6009689070254581,0.5797064435974532,0.4484419920386619,0.6644451628571918,0.45306009036360984
0000000000000000002a,Mae Sot,0.33872374737063765,0.42237723136428623,0.6717202661744113,0.6762149533218985,0.7151235658898694,0.7191601576727591,0.7111075658066246,0.5385386027841841,0.0630744892374149,0.3576373745046875,0.5722446400704827,0.5748552337595897,0.5246377681646078,0.5183270604418032,0.5221388074878215,0.2935769284496459,0.5867981456673401,0.3707503017072437
0000000000000000002b,Phop Phra,0.38232719032015267,0.41987175580001035,0.6341665756970974,0.6791517533833037,0.6815047104187629,0.6771026253886429,0.7422761451751664,0.6479821327607957,0.0705653947131537,0.2537843806123334,0.5112535253643353,0.5496370688026873,0.4668913469573178,0.4475515639477431,0.5288353556800994,0.41441346656655925,0.6179366748300085,0.38377623898098995
0000000000000000002c,Umphang,0.36077988421710105,0.4049765429269278,0.6805742838517538,0.7521709823285396,0.7843815527013067,0.7455540620191966,0.6875784049689911,0.5888462626143602,-0.0010400840364592203,0.25855335336712326,0.5215833518322263,0.6163317345182147,0.617537118013789,0.5707137440216439,0.4562546938266661,0.32978704152387495,0.6268541257549748,0.39232329140758526
0000000000000000002d,Wang Chao,0.37567810474245256,0.5658364188689086,0.6831817423685302,0.682788915652002,0.7353718190043453,0.7575799085719932,0.7938124220504009,0.7381155616084093,0.09892996462961201,0.34810738465728186,0.47767498806343966,0.5388702967216881,0.5767413129753485,0.5660634036042601,0.5749608922482712,0.5080919173332135,0.6591351923110256,0.44046106063705504
000000000000000002c4,Mueang Loei,0.46098938807896883,0.5877772257660286,0.6779554663591845,0.6764619887395152,0.7705107983566126,0.7996949350704087,0.7484510082180476,0.6937769770793485,0.1649040134968292,0.340253872143186,0.5155541739175553,0.5468459144707939,0.6064553813596825,0.6167187578176051,0.5656849012671901,0.4772482215220486,0.6730010353003655,0.4718230414885097
000000000000000002c5,Na Duang,0.4151316979765522,0.5965262826292673,0.6978029284042573,0.6930918929281451,0.7745562765781923,0.797366561858464,0.7652624022170821,0.7142390966788555,0.10645070874206207,0.3286882769880894,0.5065409879736978,0.5445506428398416,0.602623741237139,0.6287446325734469,0.589982954810582,0.5085517730075008,0.6865694562543108,0.4827205310823213
