system:index,admin2Name,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
00000000000000000025,Mueang Tak,1.230425204335778,1.44543593297719,1.6664775188108538,1.7791688949305375,1.6713726366167083,1.7975963013493677,1.7346909298878879,1.3226987121250358,1.5468198584559478
00000000000000000026,Ban Tak,1.4683719232914845,1.636098978092052,1.3154992638947234,,1.7306813494390878,1.9018152002507631,1.816627683588465,1.3700766644715605,1.6573843002776654
00000000000000000027,Sam Ngao,1.4388318040876638,1.6486322545886998,1.763635423013499,,1.593782131849714,1.737099617597507,1.7421471290314465,1.5476455519100476,1.6195791619024302
00000000000000000028,Mae Ramat,0.696751934439179,1.1332686784992225,,,1.644479839606598,1.788258628074243,1.6079621609320838,1.130587460563198,1.4698386406671804
00000000000000000029,Tha Song Yang,1.0064508560676517,1.3489074403946444,1.7977377521864102,,1.9480967708151848,2.053838085538627,1.7789757979995042,1.329506044818086,1.6429847123558259
0000000000000000002a,Mae Sot,1.181208335412696,0.9740217703566316,,,1.5080297588905827,1.665401191680957,1.6006431379903172,1.1166448735354093,1.4191186065143422
0000000000000000002b,Phop Phra,0.8944958456858338,1.1150064804004116,,,1.4084573316722708,1.643561249736268,1.7409066063889844,1.4505095888432695,1.4223391167844237
0000000000000000002c,Umphang,1.093824883698685,1.1734957896684228,,3.04884934101844,1.916681941695561,1.785024489882313,1.5321027449522422,1.316759139602039,1.4940550253708167
0000000000000000002d,Wang Chao,1.1995466600744296,1.414941764184395,,,1.7086037303219785,1.8668388298991916,1.8207203691327478,1.5398068898925577,1.6125158238268387
000000000000000002c4,Mueang Loei,1.3922906138218274,1.4457148967608648,1.607831719270877,1.681172522962003,1.8117377355962836,1.8316193873056272,1.5755473782176197,1.3357081898424088,1.5931116714989035
000000000000000002c5,Na Duang,1.3758763331800787,1.4675165645044834,1.6318905909946746,1.7329061498676623,1.902240145574871,1.876162004515215,1.6444312929173366,1.338471921568135,1.6213512055777006
