system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
00000000000000000025,Mueang Tak,35.32690068954079,31.785328408265748,30.230760443271755,29.46621332726115,30.34847122114135,30.00435403833636,30.135747707269157,26.88248534880075,24.794652077699343,24.41455312093101,23.983756353916288,23.633660361265548,23.76947072503508,22.57618478002306,21.800440252842073,15.93238336485438,29.21726007393081,27.419555161696234,26.524435390374624,26.01021542749652,26.353927490234398,25.762861911871514,25.486220294658978,20.82661344778486
00000000000000000026,Ban Tak,34.553413985463145,31.536378093248032,30.25924073694353,29.237048608444184,29.99292918287415,29.459251263793508,29.590310383200222,26.353970467012154,24.13216296992501,24.032517819636794,23.687053480398365,23.30570986172682,23.485228986418672,22.209936220547704,21.39604737642555,15.574272658000798,28.492557819952253,27.039945306670827,26.297354703181714,25.6592881163408,26.013153576225854,25.330550347374643,25.03555272705995,20.497424936137
00000000000000000027,Sam Ngao,32.49506690676379,30.314721106288356,29.11801152664006,28.34941525071053,29.13805771776598,28.35929895665138,28.28739546933107,25.039549006335985,22.681920229301923,22.87376988888121,22.68728052934345,22.341460781323075,22.424354535171222,20.832665624864102,19.80410854204216,14.107354795354532,26.810216874220202,25.815073208420685,25.223051477059297,24.658401794008874,24.982529763239683,24.026713173374528,23.575129654047494,19.07231361869806
00000000000000000028,Mae Ramat,31.3229924791642,29.120941732857993,27.68483445844579,27.45917597375148,28.55053351404711,28.948301209505594,29.147993869150582,26.14650174891624,22.406946643314914,22.546798113951567,22.14962277206151,22.073819198802546,22.301974949339286,20.993774433475735,19.99653387288103,14.133701992163402,26.132731059610713,25.028307175575648,24.244445453284676,24.134701860345373,24.588131205240906,24.233055118628755,23.959137155081496,19.356778682782416
00000000000000000029,Tha Song Yang,30.774530167049853,28.538253301287476,26.90236326702059,26.898865957108768,28.255326218075243,29.290586980183935,30.121896023220508,27.772822459405234,22.25180797425529,22.601772203899582,22.15075108210248,22.114426646156936,22.506683470710897,21.428654407319588,20.55738161177864,15.25396841968143,25.870645076509522,24.789469420720682,23.960339251018727,23.934976618630564,24.580906044490774,24.626535683586507,24.596871123238234,20.58302887400995
0000000000000000002a,Mae Sot,32.479939025953456,29.604750966501786,27.947078344324154,27.791501221522914,28.915273144248083,29.7833917284769,30.761377610799325,27.704510461223276,23.296991896483803,23.226389555878715,22.671489776126943,22.685534500289773,22.881160696027358,21.752136560237474,20.91489185524222,14.985186403944864,27.15648498162539,25.645422557043677,24.70755987481759,24.661370734097197,25.16925577762219,25.07048107887801,25.142601737929517,20.424483021968577
0000000000000000002b,Phop Phra,31.63762084362556,28.931651365990756,27.286718444824245,27.092804179472108,28.292157733393676,29.04018946030563,29.682169847675418,26.67267059273376,22.470717821308234,22.49450057085825,21.94303769279931,21.916479842242097,22.140147935455946,21.159670024198665,20.178807295256995,14.271252803076534,26.271191439161136,24.89158086140953,23.975131360222335,23.916523802514195,24.40631291408167,24.35685488532574,24.160056738759984,19.488914333990312
0000000000000000002c,Umphang,30.27228028961968,27.731363558619666,26.205648241041185,26.27771192873764,27.201133000756606,28.104222807028226,28.375499788495485,25.682351433881276,21.466061170369954,21.5149135420521,20.89841951556691,20.90185960693609,21.118124014741156,20.503049455251677,19.27510597770985,13.327736943908908,25.00607266452145,23.760020287117502,22.8737473235201,22.93223628909019,23.30993304921415,23.53929958409132,23.13456174460195,18.631120877150316
0000000000000000002d,Wang Chao,32.3629524129232,29.77459469401044,28.484054707845072,27.98876269938153,28.996396024576843,28.70776656901043,28.540556001790385,25.197699434168225,23.012520060221377,22.95122195231122,22.648598974609396,22.40791118570966,22.584453816731795,21.331401660156274,20.41618159993492,14.295345110724973,26.923386063639338,25.63459683024091,24.94147801920575,24.69768332112632,25.05562788492841,24.45437548421226,23.917793111165388,19.008255259794367
000000000000000002c4,Mueang Loei,33.7192015509211,31.906617041580034,31.139130473865873,31.051177311725915,30.887293388486203,29.833374387554787,29.7656227219914,24.976036722168445,24.32280053146558,24.755877853951134,24.490746788121648,24.312887707510452,24.017215036368057,22.11252271636579,20.97418197643217,14.342914644852042,28.509161260890775,27.880263107948416,27.375425013599806,27.177561253171486,26.81508901711281,25.649342349605032,25.155859104187808,19.370758740163723
