system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
00000000000000000025,Mueang Tak,178.67177000935624,178.67177000935624,178.32906353661664,178.64345071021532,178.67177000935624,178.67177000935624,128.5267542740496,94.84639363783285
00000000000000000026,Ban Tak,115.31748996603892,115.31748996603892,113.14433467119484,114.40553411546776,115.31748996603892,115.31748996603892,65.62590305649893,41.2444272923742
00000000000000000027,Sam Ngao,103.34171315090099,103.34171315090099,100.35647031336704,100.92081422855644,103.34171315090099,103.34171315090099,54.04282001109782,32.368639934581346
00000000000000000028,Mae Ramat,122.65119302459145,122.65119302459145,122.65119302459145,122.65119302459145,122.65119302459145,122.65119302459145,73.06963922100977,45.96766041873334
00000000000000000029,Tha Song Yang,358.57898240999515,382.5523261548577,382.5523261548577,382.5523261548577,382.5523261548577,382.5523261548577,331.55206312674665,289.60260151241164
0000000000000000002a,Mae Sot,248.80276985743373,248.80276985743373,248.80276985743373,248.80276985743373,248.80276985743373,248.80276985743373,197.783365580448,158.57357942973522
0000000000000000002b,Phop Phra,346.8583998046557,346.8583998046557,346.8583998046557,346.8583998046557,346.8583998046557,346.8583998046557,297.54676054045257,256.1137717727495
0000000000000000002c,Umphang,438.7577562720421,438.7577562720421,438.7577562720421,438.7577562720421,438.7577562720421,438.7577562720421,392.39981279981276,349.4299821156966
0000000000000000002d,Wang Chao,242.13970914742458,242.71529751332156,242.71529751332156,242.71529751332156,242.71529751332156,242.71529751332156,193.4104573712256,156.10324156305506
000000000000000002c4,Mueang Loei,199.61037842594914,289.27161176766407,295.590897661554,295.590897661554,295.590897661554,295.590897661554,236.49782499371383,194.86288659793806
000000000000000002c5,Na Duang,155.48872908311438,235.76086295118245,271.0435347808049,271.0435347808049,271.0435347808049,271.0435347808049,212.30381689946066,169.37896556492882
000000000000000002c6,Chiang Khan,276.6331124574023,359.6616338508141,373.97777357061716,373.97777357061716,373.97777357061716,373.97777357061716,315.1344282468761,275.8263063233623
000000000000000002c7,Pak Chom,266.8992112398322,360.18448771670353,375.9218305808889,375.9218305808889,375.9218305808889,375.9218305808889,317.53316079204654,276.4908388793031
000000000000000002c8,Dan Sai,234.9411533957845,323.08532201405154,338.0826580796253,339.1376170960187,339.1376170960187,339.1376170960187,279.8095608899298,234.98816159250583
000000000000000002c9,Na Haeo,279.54348327566316,348.5035114699474,361.02937331795465,361.07407407407413,361.07407407407413,361.07407407407413,302.4204152249135,262.1036396257849
000000000000000002ca,Phu Ruea,222.5155776515151,295.06155303030306,312.35370501893937,312.35370501893937,312.35370501893937,312.35370501893937,253.3087831439394,209.739902935606
000000000000000002cb,Tha Li,245.15184964910202,333.6894016890686,336.5152373022481,336.5152373022481,336.5152373022481,336.5152373022481,277.4327584156061,236.39012727488995
000000000000000002cc,Wang Saphung,160.49232836905196,247.8764765710134,276.75201598256444,276.75201598256444,276.75201598256444,276.75201598256444,217.47973846712674,172.370003632401
000000000000000002cd,Phu Kradueng,104.20607012035582,154.6345578231293,231.68632129774988,256.4155520669807,256.4155520669807,256.4155520669807,196.06181057038202,148.3938566195709
000000000000000002ce,Phu Luang,146.22604405034326,224.1952517162472,284.9418621281464,285.20766590389013,285.20766590389013,285.20766590389013,224.73422482837532,176.4033323798627
000000000000000002cf,Pha Khao,102.35653549535299,166.7024915958078,247.96909234724149,251.06495946213172,251.06495946213172,251.06495946213172,190.81263595016807,144.20239272295828
000000000000000002d0,Erawan,126.88089995213022,204.98240785064633,255.669459071326,255.669459071326,255.669459071326,255.669459071326,196.2834370512207,151.63298228817618
000000000000000002d1,Nong Hin,121.65514780835883,190.340749235474,263.9392711518858,266.7485983690112,266.7485983690112,266.7485983690112,206.53509174311927,159.3132772680938
000000000000000000ef,Mueang Satun,239.22017578905323,231.93755493407917,239.22017578905323,239.22017578905323,239.22017578905323,239.22017578905323,239.22017578905323,238.35406512185384
000000000000000000f0,Khuan Don,232.55833333333334,216.6226027397261,232.55833333333334,232.55833333333334,232.55833333333334,232.55833333333334,232.55833333333334,232.55833333333334
000000000000000000f1,Khuan Kalong,223.82502737369006,206.6265915845456,224.2023463162835,224.2023463162835,224.2023463162835,224.2023463162835,224.2023463162835,224.2023463162835
000000000000000000f2,Tha Phae,234.4670703125001,226.13355468750004,234.4670703125001,234.4670703125001,234.4670703125001,234.4670703125001,234.4670703125001,234.4670703125001
000000000000000000f3,La-Ngu,246.33562186978298,240.91999165275462,246.55692821368945,246.55692821368945,246.55692821368945,246.55692821368945,246.55692821368945,246.55692821368945
000000000000000000f4,Thung Wa,232.9275058275057,221.3049309664694,235.4207817823201,235.6377980993364,235.6377980993364,235.6377980993364,235.6377980993364,235.6377980993364
000000000000000000f5,Manang,222.5202526648244,208.44583497828668,226.15400710619826,226.15400710619826,226.15400710619826,226.15400710619826,226.15400710619826,226.15400710619826
000000000000000000f6,Mueang Trang,212.9885357548241,208.90597805524035,213.26645856980707,213.26645856980707,213.26645856980707,213.26645856980707,213.26645856980707,213.26645856980707
000000000000000000f7,Kantang,243.46727462219923,243.17737102657645,244.13716779572704,244.13716779572704,244.13716779572704,244.13716779572704,244.13716779572704,244.13716779572704
000000000000000000f8,Yan Ta Khao,205.6800902425269,198.01410039481115,213.68635081782293,213.68635081782293,213.68635081782293,213.68635081782293,213.68635081782293,213.68635081782293
000000000000000000f9,Palian,220.1804062247373,210.48156831042843,227.585367825384,227.585367825384,227.585367825384,227.585367825384,227.585367825384,227.585367825384
000000000000000000fa,Sikao,243.98653568853643,243.98653568853643,243.98653568853643,243.98653568853643,243.98653568853643,243.98653568853643,243.98653568853643,243.98653568853643
000000000000000000fb,Huai Yot,206.4193078324225,201.97635272688305,206.42734383370825,206.42734383370825,206.42734383370825,206.42734383370825,206.42734383370825,206.42734383370825
000000000000000000fc,Wang Wiset,223.08960823373187,223.08009628154062,223.08960823373187,223.08960823373187,223.08960823373187,223.08960823373187,223.08960823373187,223.08960823373187
000000000000000000fd,Na Yong,201.52163978494627,191.47923387096782,205.19956317204307,205.19956317204307,205.19956317204307,205.19956317204307,205.19956317204307,205.19956317204307
000000000000000000fe,Ratsada,201.79341850561366,194.65106465350374,201.79341850561366,201.79341850561366,201.79341850561366,201.79341850561366,201.79341850561366,201.79341850561366
000000000000000000ff,Hat Samran,247.5369963369963,243.3981161695447,251.5417059131345,251.5417059131345,251.5417059131345,251.5417059131345,251.5417059131345,251.5417059131345
00000000000000000117,Mueang Yala,166.31908237747663,132.4259906152242,159.62849322210639,193.4835505735141,228.2888686131388,228.92778936392085,229.86014077163722,229.86014077163722
00000000000000000118,Betong,154.96398934145407,120.2175802563126,154.96722497145026,154.96722497145026,154.96722497145026,154.96722497145026,154.96722497145026,154.96722497145026
00000000000000000119,Bannang Sata,185.64343949044587,147.2794585987261,184.4599044585988,198.829219745223,198.84515923566883,198.84515923566883,198.84515923566883,198.84515923566883
0000000000000000011a,Than To,179.3043399638336,142.27366636528026,179.15492766726942,179.89284584086795,179.89284584086795,179.89284584086795,179.89284584086795,179.89284584086795
0000000000000000011b,Yaha,207.33726011219366,170.53110422202545,203.62918511957486,227.12184824328315,231.87546501328612,231.87546501328612,231.87546501328612,231.87546501328612
0000000000000000011c,Raman,143.37332311882878,108.20760980592445,136.96293837248896,172.20512427647256,204.07173987061628,204.08389513108614,204.08389513108614,204.08389513108614
0000000000000000011d,Kabang,229.24981378026072,192.47735102420856,227.6187616387337,237.38319366852883,237.38319366852883,237.38319366852883,237.38319366852883,237.38319366852883
0000000000000000011e,Krong Pinang,178.9152928978746,141.78750648004143,175.40093312597202,211.43929497148784,217.85396578538106,217.85396578538106,217.85396578538106,217.85396578538106
000000000000000001cb,Mueang Trat,316.6693078717704,316.6693078717704,316.6693078717704,316.6693078717704,316.6693078717704,316.6693078717704,300.74361876782166,239.97833750972072
000000000000000001cc,Khlong Yai,340.2325991189428,340.2325991189428,340.2325991189428,340.2325991189428,340.2325991189428,340.2325991189428,335.0678414096916,277.2694933920705
000000000000000001cd,Khao Saming,319.16764891867956,319.16764891867956,319.16764891867956,319.16764891867956,319.16764891867956,319.16764891867956,295.78840268116846,233.800746174276
000000000000000001ce,Bo Rai,298.00932172651426,298.00932172651426,298.00932172651426,298.00932172651426,298.00932172651426,298.00932172651426,276.62137589166986,217.31887317132146
000000000000000001cf,Laem Ngop,327.75272817460313,327.75272817460313,327.75272817460313,327.75272817460313,327.75272817460313,327.75272817460313,308.3910218253969,244.88809523809522
000000000000000001d0,Ko Kut,324.0540025412961,324.0540025412961,324.0540025412961,324.0540025412961,324.0540025412961,324.0540025412961,321.56874205844986,262.9683608640407
000000000000000001d1,Ko Chang,329.6534534534535,329.6534534534535,329.6534534534535,329.6534534534535,329.6534534534535,329.6534534534535,316.86873123123115,254.89001501501497
0000000000000000036a,Mueang Phrae,189.77331057335076,214.3697057937545,243.06237574053628,257.62414901094496,258.9644241389699,258.9644241389699,202.17801988151425,170.06956521739133
0000000000000000036b,Rong Kwang,196.78776938662728,220.31783938110146,282.4397955424571,315.97772149567135,320.5127095229323,320.6162092466384,264.174452016946,230.90217351261734
0000000000000000036c,Long,114.33557547642928,114.41473169508527,114.41473169508527,114.41473169508527,114.41473169508527,114.41473169508527,58.605673269809444,36.414581243731206
0000000000000000036d,Sung Men,170.71099184199232,183.62161872048097,188.59424645770724,188.8722627737227,188.8722627737227,188.8722627737227,132.22904680120226,102.29705882352941
0000000000000000036e,Den Chai,171.4187592101385,175.6331270262305,175.99062776304157,175.99062776304157,175.99062776304157,175.99062776304157,119.90807544945476,89.3311229000884
0000000000000000036f,Song,166.30320273468305,184.20454904023134,240.05239547725472,248.8997212726794,248.8997212726794,248.8997212726794,192.75115961083358,162.03535629765966
00000000000000000370,Wang Chin,134.38914059980647,134.39349403418248,134.3099564656562,134.39349403418248,134.39349403418248,134.39349403418248,80.35768300548207,53.31168977749111
00000000000000000371,Nong Muang Khai,158.31809133489466,187.53196721311477,200.60825526932084,200.60825526932084,200.60825526932084,200.60825526932084,143.35117096018737,113.94502341920375
00000000000000000372,Mueang Nan,254.70081179712523,280.80742533700766,403.4712445073361,407.7328666120505,407.7328666120505,407.7328666120505,352.11330155656503,320.41783719371426
00000000000000000373,Mae Charim,298.04782375478914,331.9130344827585,435.52996168582376,436.2151800766283,436.2151800766283,436.2151800766283,380.0062068965516,346.2971800766284
00000000000000000374,Ban Luang,243.96137312186983,258.67813021702847,366.462458263773,380.813814691152,380.813814691152,380.813814691152,325.994803839733,294.48724958263773
00000000000000000375,Na Noi,251.21058336618043,282.54703061358566,359.9216003153332,408.2136972802521,415.6718762317698,416.15662199448155,359.5296150308763,323.84151885428975
00000000000000000376,Pua,256.197238658777,288.3115483234714,404.4136094674556,404.4136094674556,404.4136094674556,404.4136094674556,349.069654832347,319.4473471400394
00000000000000000377,Tha Wang Pha,258.9739764896634,290.25743818402896,411.18728212403704,411.1884677746248,411.1884677746248,411.1884677746248,356.4105391163355,327.7281617349005
00000000000000000378,Wiang Sa,252.44472903029387,282.3795136246003,379.8622050540415,405.87259476328205,406.40627949459576,406.40627949459576,349.9818465519866,315.8366722484395
00000000000000000379,Thung Chang,250.15235169254822,282.5788626969053,397.1626075298848,397.1626075298848,397.1626075298848,397.1626075298848,342.9171042341637,315.3395039660372
0000000000000000037a,Chiang Klang,250.2073998986315,285.0199949315763,403.0539026862647,403.0539026862647,403.0539026862647,403.0539026862647,348.3547389761784,319.22767359351246
0000000000000000037b,Na Muen,257.69880233961555,297.8355770123478,363.98419831027763,402.83352520657326,408.641630303593,408.71828056819237,351.1186333673753,315.6038436542568
0000000000000000037c,Santi Suk,264.08593278325634,301.8928557053734,417.2808210907629,417.2808210907629,417.2808210907629,417.2808210907629,361.47468303481594,329.4488428255183
0000000000000000037d,Bo Kluea,261.1664949338829,291.76873604671124,401.08919800789965,401.08919800789965,401.08919800789965,401.08919800789965,344.8013137557961,313.91912244547484
0000000000000000037e,Song Khwae,271.77815181518156,298.5312871287129,415.4071683168318,415.4071683168318,415.4071683168318,415.4071683168318,361.59820462046207,334.5738745874589
0000000000000000037f,Phu Phiang,266.45375380756144,304.7269485755242,421.25751657409063,421.25751657409063,421.25751657409063,421.25751657409063,365.1276473750224,332.04904139043185
00000000000000000380,Chaloem Phra Kiat,242.17141061452517,274.93277932960905,388.97002793296105,388.97002793296105,388.97002793296105,388.97002793296105,333.56328212290504,305.0433240223464
000000000000000000b4,Mueang Phangnga,315.4565938995215,315.4565938995215,315.4565938995215,315.4565938995215,315.4565938995215,315.4565938995215,315.4565938995215,313.30372308612436
000000000000000000b5,Ko Yao,303.2852708460134,303.2852708460134,303.2852708460134,303.2852708460134,303.2852708460134,303.2852708460134,303.2852708460134,291.9163116250761
000000000000000000b6,Kapong,333.88692139139965,333.88692139139965,333.88692139139965,333.88692139139965,333.88692139139965,333.88692139139965,333.88692139139965,333.8485620377979
000000000000000000b7,Takua Thung,316.6284114052954,316.6284114052954,316.6284114052954,316.6284114052954,316.6284114052954,316.6284114052954,316.6284114052954,312.43272233536993
000000000000000000b8,Takua Pa,343.3369994196169,343.3369994196169,343.3369994196169,343.3369994196169,343.3369994196169,343.3369994196169,343.3369994196169,343.3208937899013
