system:index,admin2Name,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
00000000000000000025,Mueang Tak,2.296059596722177,3.899893163032579,4.696819100285747,4.19575674479146,6.5484101185269665,7.26827966034633,5.944860626659004,3.6291331169955923,4.846620911969429
00000000000000000026,Ban Tak,2.4662245325529737,2.6558820858843384,4.170211200637507,4.022101689380829,5.564141067290709,7.417939475661214,6.4638421008791385,4.12883025305535,5.058595568728841
00000000000000000027,Sam Ngao,2.4069280935640553,2.9667941682502197,3.67049753207077,3.495797189382539,4.9533013622384985,7.048995023783706,6.454461753353311,4.070110250914311,4.944596429464336
00000000000000000028,Mae Ramat,2.4656972519533147,,3.4074178098404206,,5.340878953450745,7.099906769700004,5.819220240666202,7.821311780520564,6.723085698476796
00000000000000000029,Tha Song Yang,,,3.561481330386081,,8.394919706644764,8.544403575029149,8.309635105973424,6.882774657867851,8.380463743841092
0000000000000000002a,Mae Sot,2.2057836363294125,,4.1969132240797915,3.941510902719173,4.356706309399255,5.845175941427607,5.181595257330068,4.220588801369048,5.151272563779575
0000000000000000002b,Phop Phra,2.4699297219881693,,5.303683544100503,4.035606145724183,4.711491473206628,5.986991785890949,5.793118946265281,4.173244281045974,4.589211509508316
0000000000000000002c,Umphang,2.9601311973475988,,7.642216191786635,5.4275156964667595,5.89893037732942,6.598456103615957,5.3715425830903865,5.1537636917133725,5.306589223937727
0000000000000000002d,Wang Chao,2.848673075604696,,4.6081654108911785,5.283459766223016,6.92260443631889,6.574452555650664,6.412433909871725,5.719202609676075,5.43941750475413
000000000000000002c4,Mueang Loei,3.934383855351126,3.7734979111440907,,,,6.590731993292298,,3.729384006607239,4.509229967209646
000000000000000002c5,Na Duang,3.0774744986892695,2.94588023603496,,,,5.725869416771366,10.019713300883913,3.1334088989690456,3.827720815280425
000000000000000002c6,Chiang Khan,3.5339444257923627,2.9714955779422243,,,,6.642238665010933,,3.5834989230586047,4.826870579172655
000000000000000002c7,Pak Chom,3.242616669661276,3.4215858592237716,,,4.506799186858034,6.514575955306925,,3.7847636847015442,4.631566691123301
000000000000000002c8,Dan Sai,2.992062922872613,2.02163595843161,,,,5.6839252598038055,,4.512155515733139,3.7410490751995433
000000000000000002c9,Na Haeo,3.4705463271839867,2.238656664249719,,,,5.683315437029854,,4.98417139163873,3.9982130304012804
000000000000000002ca,Phu Ruea,3.5927763502005714,2.9252677016469026,,,,6.381875374608597,,4.566326712359717,4.28970703024489
000000000000000002cb,Tha Li,4.14149474884882,3.8351205026849544,,,,7.001615663350334,,3.6545682415678535,4.9121424576858095
000000000000000002cc,Wang Saphung,3.5817434069191676,3.4348079547708266,,,,6.331024913893756,,3.752074307850107,4.292806792644445
000000000000000002cd,Phu Kradueng,4.151783087015648,3.9045881979700043,,,,6.9323269898885735,6.604076920043572,3.808413341127956,4.870906346617366
000000000000000002ce,Phu Luang,3.397338942226498,3.299623584605764,,,,7.010740393920014,,3.1727440813884673,4.674909739934009
000000000000000002cf,Pha Khao,3.3484682708145868,3.3086063305615414,,,,6.929119058772549,5.944362974925664,3.8753844528313754,4.543424493334219
000000000000000002d0,Erawan,3.064801554997924,3.3243258670090143,,,,6.711659184682998,6.646661446285942,4.493791448487541,4.3842520996859475
000000000000000002d1,Nong Hin,3.595502993027423,3.405363567675919,,,,6.782842667062793,,3.5961975215585937,4.648510283115095
000000000000000000ef,Mueang Satun,,,,,,9.521729674395212,8.117885481846582,,8.86058843747448
000000000000000000f0,Khuan Don,,,,,,8.595686939904315,7.547284644137685,,8.160256191753271
000000000000000000f1,Khuan Kalong,,,,,,11.723514714044148,9.72499111879962,,10.930222383625606
000000000000000000f2,Tha Phae,,,,,,11.792689190250146,9.624627152792327,,10.915343959862879
000000000000000000f3,La-Ngu,,,,,,8.377422038014942,8.15275886721643,,8.144306999803208
000000000000000000f4,Thung Wa,,,,,,8.22647846622994,10.51350046147726,,8.132931050856653
000000000000000000f5,Manang,,,,,,12.302598687402785,10.526314390834818,,11.71171386415101
000000000000000000f6,Mueang Trang,,,,,,7.411397988309306,,,7.411397988309306
000000000000000000f7,Kantang,,,,,,7.564436752769988,,,7.564436752769988
000000000000000000f8,Yan Ta Khao,,,,,,9.574612766980138,,,9.574612766980138
000000000000000000f9,Palian,,,,,,8.39394523468076,8.900423711175966,,8.39713551424562
