system:index,admin2Name,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
00000000000000000025,Mueang Tak,0.31450894896849774,0.3133875106240865,0.3314574326444002,0.4450112982731077,0.5056656364790467,0.5610518785438555,0.5383448437079377,0.43606383156492656,0.4305496770115438
00000000000000000026,Ban Tak,0.35226133878639454,0.3549465990885436,0.33154275986361287,0.41413119428193124,0.5168349214790885,0.6044011099376023,0.5642547855835852,0.4023836138245769,0.4456899890070441
00000000000000000027,Sam Ngao,0.35140621851527254,0.3922133479989965,0.3595042914532533,0.44356702725407454,0.5212364712094976,0.5598871399762997,0.5131250076105688,0.41677482850053094,0.4462656301956369
00000000000000000028,Mae Ramat,0.24013505486059022,0.3177907482224617,0.5210246259404363,0.5774332552319706,0.5557089313556486,0.5560897947483503,0.4782124041050267,0.34877596797713795,0.3936983470054565
00000000000000000029,Tha Song Yang,0.3500176447964368,0.4341010331682305,0.4859887415819431,0.4798219813581113,0.5568497058610097,0.5898238162923556,0.5575328771199307,0.4144806752369789,0.4764962870661929
0000000000000000002a,Mae Sot,0.22250830933916646,0.3132630024561151,0.5506196064623775,0.5060567006490971,0.5317582798798556,0.5357000293297844,0.4151269486986798,0.3203386148515331,0.3704944503441082
0000000000000000002b,Phop Phra,0.25157566185957597,0.288325816721895,0.5616538260372123,0.5717765230884483,0.5223890245331531,0.4826199457802059,0.47239496701523986,0.3978254200750649,0.37890319976444364
0000000000000000002c,Umphang,0.2873373412880255,0.3402388474014642,0.4418300954235945,0.6690529694087392,0.6976447997622418,0.494458206064777,0.44769125748100896,0.3841211497912947,0.3999578713173889
0000000000000000002d,Wang Chao,0.3217038221074152,0.34982673652209473,0.36451438678063397,0.4999514253815796,0.5612468117781682,0.601526598945525,0.5367310977848334,0.5059886876843355,0.4747948653601737
000000000000000002c4,Mueang Loei,0.36573069425200827,0.3959634141012906,,0.5254325408671188,0.5492502912678335,0.5788083392626829,0.5271123671784623,0.4247074658395968,0.47213517096363466
000000000000000002c5,Na Duang,0.3827564239196663,0.41074774182777524,0.26096117661828905,0.5283449308734363,0.5120285562896119,0.5833145278046646,0.5335337105118787,0.44329633803953,0.4770709188944919
000000000000000002c6,Chiang Khan,0.3379074589372042,0.4061341289640258,,0.49280800591189355,0.4779290946257288,0.5673434080285885,0.5035747491590378,0.3975434863136816,0.44621375679049313
000000000000000002c7,Pak Chom,0.36217067228402255,0.42984846990138414,,0.5127729683798685,0.49845545033660393,0.5433218590053926,0.4861310765385704,0.3932499467486588,0.45372644609401175
000000000000000002c8,Dan Sai,0.3342072916831567,0.4231471040660895,0.737883106101454,0.5459112088786489,0.5317460382191536,0.5324931169195571,0.48017864234529134,0.3979103502616483,0.45767731150720586
000000000000000002c9,Na Haeo,0.3813231211282138,0.42106621485067736,0.4289242240926551,0.5383643025710172,0.5629539767083883,0.5331643313542349,0.49184263902634967,0.3997332282414781,0.4601601506272614
000000000000000002ca,Phu Ruea,0.3336872692970024,0.4143736187386649,,0.5476335150758758,0.5387955884650777,0.5442122755705446,0.5028285304215339,0.42791857031857405,0.4666559600874562
000000000000000002cb,Tha Li,0.37166231959016377,0.41361968841950414,,0.5171273163821698,0.5096505356789895,0.5849898665478288,0.5242420410063134,0.39964993423267264,0.4694824224514116
000000000000000002cc,Wang Saphung,0.3818120266402848,0.3920317547530268,,0.5233987885858987,0.4802331730735888,0.5709547773292887,0.5292752800987471,0.4220088446067932,0.47102656432429646
000000000000000002cd,Phu Kradueng,0.4208618456591326,0.4050656564087855,0.36228665006206856,0.5170025532955328,0.5747320865512009,0.5614437564260605,0.5051886056503447,0.37577134016404395,0.4735584792417626
000000000000000002ce,Phu Luang,0.3813540006478156,0.3465335830600977,,0.5087943501036236,0.521975437539006,0.5621508599922708,0.5221073253135536,0.4019813869948933,0.4611635836386234
000000000000000002cf,Pha Khao,0.3599279673809976,0.41283108987784883,0.33929461921548393,0.5379553805151073,0.5929308115456642,0.5914982164829553,0.5364492037598653,0.43394859178046624,0.4787460484340365
000000000000000002d0,Erawan,0.3761134347952604,0.4066942115224679,0.3723620642953127,0.5528843591203307,0.6256329570737003,0.61044199578021,0.5659369018558442,0.4739037610267406,0.49570647590002914
