system:index,admin2Name,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7
00000000000000000025,Mueang Tak,0.9547895732286037,1.9240086079886787,2.4167888373225166,2.055398244286981,1.263664097574883,0.2666069856016689,0.4458490590798395,0.4963943420630689
00000000000000000026,Ban Tak,0.9309975245573431,1.7596711406397225,1.944885970080542,1.8007842953937288,1.040769735455142,0.1747045342586333,0.543441169632399,0.5129071174501781
00000000000000000027,Sam Ngao,0.9200671537419327,1.6062211005379292,1.8155661603580613,1.6627603631453187,0.928062107205055,0.1961767054645111,0.5079936130772142,0.4268189016740315
00000000000000000028,Mae Ramat,0.9504458854165097,1.609663495225974,1.820532749379454,1.6666355169746705,0.9463121356280989,0.3827537188743763,0.7807018541486228,0.7571940460186455
00000000000000000029,Tha Song Yang,0.888039218296015,1.462113852648179,1.4794051192515074,1.4200452342107563,0.769831160617464,0.3830849068517968,0.6515853496000074,0.6439482085343206
0000000000000000002a,Mae Sot,1.0717183660378589,1.8437210503402788,2.188275374514707,1.9382070524729582,1.1348340755200739,0.5081260103372669,1.0149417185433367,1.0466147512962607
0000000000000000002b,Phop Phra,0.9438111248562775,1.80756580885525,2.2191216904708084,1.975739883274681,1.1278204350087815,0.5813638452577612,1.0175900108135598,1.0504740286770764
0000000000000000002c,Umphang,0.4822551845167325,1.5278432236685944,1.9841640964255243,1.8051916928733618,0.8663504399508897,0.7212106969958345,1.0999058448286172,1.0914619673611072
0000000000000000002d,Wang Chao,0.8855010318361246,2.0455444364696405,2.911307647583617,2.3974100081780776,1.4991134468349874,0.5648210730816837,0.6920556137949943,0.8480922890007507
000000000000000002c4,Mueang Loei,0.5008988212852671,1.159052613825437,2.223907828713073,1.720095873856508,0.4749644795538637,0.8986879278119315,0.7243187716964004,0.9508376741120914
000000000000000002c5,Na Duang,0.406272628031698,0.8898484927605237,2.021512473465556,1.4124562355618455,0.3211009168673165,1.064541482548252,0.8099323464666728,1.0547658361615524
000000000000000002c6,Chiang Khan,0.32519586917632093,0.9805485344199599,2.215079499529289,1.6072378599274215,0.38584985850588005,0.7843341421984806,0.6346767059741281,0.8433818725679593
000000000000000002c7,Pak Chom,0.3283145965801512,0.8477884122174081,2.084423240450326,1.419526825258052,0.32020116255582676,0.8293046247382923,0.6480799160910342,0.8193879345555919
000000000000000002c8,Dan Sai,0.9612614038586722,1.76516322464414,2.411083382045829,2.1297745887091306,0.7170108876107468,0.7766268592933785,1.10157689410704,1.0774101588954115
000000000000000002c9,Na Haeo,0.9250472427604222,1.8226647325146925,2.4490868978663247,2.158827481526187,0.7423238578255389,0.7538594758534393,1.0465001453870075,1.0717871950888658
000000000000000002ca,Phu Ruea,1.0214774070362342,1.8985458647160227,2.717133351436993,2.3898130602689087,0.770526180263375,0.8038083070320675,0.9311613493683059,0.9680587306863283
000000000000000002cb,Tha Li,0.6176816902693059,1.4757149698085932,2.5196165208270846,2.0851137763741865,0.5692558114922383,0.8109895649822809,0.7675692901700587,0.8987550467423006
000000000000000002cc,Wang Saphung,0.6792942201860713,1.3400970911351993,2.1168181058572695,1.7719207499476033,0.5531491973370708,0.8747360320390034,0.8100036480483909,0.9346836249872292
000000000000000002cd,Phu Kradueng,0.7015123039465978,1.4833534583118075,2.0948619242672635,1.867322460430032,0.5281624736463328,0.9344042247380553,1.1698460454591875,1.1641459126238913
000000000000000002ce,Phu Luang,0.9095706134858924,1.6237555732175302,2.1415563695230615,1.9425493200072115,0.6351471590415855,0.8641619608675508,1.030809543250003,1.010263027534016
000000000000000002cf,Pha Khao,0.5585312868088973,1.1176932253081544,1.665401255490317,1.4051214259835032,0.43948731251718415,0.7504097684825816,0.7476452436763015,0.8619027571241231
000000000000000002d0,Erawan,0.5073069135402766,1.0310688147223568,1.8246264386457067,1.4223776427239565,0.42758267882129997,0.9188895520912789,0.7503973668016962,0.9406349401629054
000000000000000002d1,Nong Hin,0.6096733006021384,1.2148903157243707,1.8036726308031816,1.533382840726084,0.485131344837835,0.7722490867893945,0.7068627346378245,0.8211844491250794
000000000000000000ef,Mueang Satun,0.18851156082104747,1.5452856753825464,2.175003372746641,2.393118067931333,1.9718589543871212,0.7032078553415388,1.9257301352745255,2.5579736005913616
000000000000000000f0,Khuan Don,0.10122610480198428,1.3152132240809653,1.9244459410304888,1.9399927344616332,1.3988408864725876,0.2736799853796752,1.4644966234812853,1.8936552041967492
000000000000000000f1,Khuan Kalong,0.10385782425888307,1.367865388538947,2.05551761001149,2.0753945669723177,1.4624806784239448,0.2503935167602044,1.4748766546651242,1.904887766059049
000000000000000000f2,Tha Phae,0.17254233150042478,1.53432970409892,2.2814628278681384,2.488876953078386,1.9279816993341965,0.5462823113474948,1.7913832539821286,2.348177800855529
000000000000000000f3,La-Ngu,0.21538756355175162,1.692873326001576,2.5282573651938387,2.774150091869987,2.151468592811581,0.6257114167841782,1.8859590456108595,2.4749407829296706
000000000000000000f4,Thung Wa,0.16109330615593864,1.499463515199673,2.318290047397663,2.392763774232469,1.6932282483428645,0.3330322290693536,1.5608305828966524,1.9517844799166597
000000000000000000f5,Manang,0.13923755963122955,1.4502269649466901,2.2089034574105266,2.306102661855373,1.6726688598868085,0.366517973514605,1.616975173754455,2.058149333315679
000000000000000000f6,Mueang Trang,0.09671330071045366,1.6473816721266152,2.730089176277375,2.523375453623356,1.5632176701067668,0.04191114949465283,1.919527122308359,2.2628613168463825
