system:index,admin2Name,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
00000000000000000025,Mueang Tak,4.541385191850454,6.039633598934716,7.197301318262285,9.518972295179436,8.905198627169467,10.863288207886422,7.880838617442537,5.607020730010593,7.473615486189412
00000000000000000026,Ban Tak,4.98819588737335,5.886707815141465,6.282955694275634,7.788201511589821,8.31226251087124,11.691501141767727,8.336498429801553,5.533581738329092,7.506051589231364
00000000000000000027,Sam Ngao,5.783733992083837,6.584847002421503,8.73689563539922,8.910747960165235,7.830452826072346,10.173182935165647,7.5135470785565355,5.736273612779902,7.644265947579649
00000000000000000028,Mae Ramat,2.4048767809124714,4.547441437167743,,11.543130823103738,7.292653175834198,7.604812943449604,7.241975849374813,4.309263594374703,6.046465857783313
00000000000000000029,Tha Song Yang,2.789483405223272,,,5.576712793138212,12.13044981877136,11.151765851196995,8.428575101536596,6.862078969543693,8.07762894928753
0000000000000000002a,Mae Sot,3.060100978934392,5.15604723657328,,10.523892022426553,7.081559447687679,8.494163209915776,6.793941184292681,4.116147639608795,6.0552083143223365
0000000000000000002b,Phop Phra,3.8483601599294124,4.146011899434176,,7.548130870761146,5.482277272850118,6.8610512646613655,7.644894273207065,5.268327520051738,5.923611221578727
0000000000000000002c,Umphang,3.9962909200931476,3.990491445887275,,10.776920744198327,9.014305107534392,7.396807845933652,6.837852387931358,4.535041106238443,6.719986159341456
0000000000000000002d,Wang Chao,4.683170843941189,5.7174345572498035,9.019148762238487,9.705839612346075,8.355033672208977,9.94096026633087,7.1283735925638965,5.753920685553739,7.292596408809426
000000000000000002c4,Mueang Loei,4.359026350917038,5.326724402749321,,9.517691335718377,7.967883688052292,8.755440006370595,6.809063390095578,5.390719977068994,6.261750360933862
000000000000000002c5,Na Duang,3.8240065653787076,5.530940616684474,,9.907780414854887,8.36469477198088,7.220396015649662,7.4524412786433505,5.5579855785158125,6.351374266460775
000000000000000002c6,Chiang Khan,3.9731789431613875,4.396131376571466,,-11.91332959504562,8.926003585550557,9.657874742265074,7.136976599765552,4.9398614891214985,6.57516058444247
000000000000000002c7,Pak Chom,4.937845634781208,5.127147349477,,15.656799224006123,8.554247476804774,9.397097818565028,7.460344743178801,5.133481365181382,6.747639549881341
000000000000000002c8,Dan Sai,3.925874898776831,4.344812034409765,,9.423975392628662,7.275725385033373,7.001293001473451,6.408263952544312,5.128039023421183,5.889303022651827
000000000000000002c9,Na Haeo,3.9622122793139423,4.963452276880181,,15.866050153079337,7.708882452640752,8.916104830886507,7.429249911252363,5.891792817355936,6.71074150696622
000000000000000002ca,Phu Ruea,4.2120849740132265,5.688300794875269,,10.75013515544975,6.475773433488996,7.818026973580793,6.603545387624599,5.199009197365933,5.96835628094344
000000000000000002cb,Tha Li,4.027067699377078,5.207692067262086,,9.853550042940057,7.222737455626414,11.267418110793939,7.218151348659587,5.04616638996075,6.5289138562816875
000000000000000002cc,Wang Saphung,3.9710873545308583,5.489123361482431,,10.075776101290042,6.519540739192169,7.4797043357995046,7.154578617808219,5.825068397929923,5.985142647658968
000000000000000002cd,Phu Kradueng,4.379036420997248,4.678171783610577,,9.654130170953058,8.787970160919553,8.941049033636487,6.663504847938436,4.9023548156601064,6.523035994041212
000000000000000002ce,Phu Luang,3.959026517038747,4.954672047327284,,8.994703244125995,6.759016008361322,8.626330121366049,7.061389507429124,5.532423811013313,5.854965072744579
000000000000000002cf,Pha Khao,3.585100415603222,4.495149784509006,,9.052489347784036,10.050518703250308,8.694315388455575,7.46537905212381,5.44018095381169,6.590989382844123
000000000000000002d0,Erawan,3.746791914918833,5.774318583928672,6.634536571096566,10.227514914329165,7.594946417292699,7.517816555338711,8.187333993100813,6.3166385046699896,6.60088804348724
000000000000000002d1,Nong Hin,3.7424176315582742,4.848682652098197,,9.179249570345657,7.349996879867288,7.3781047550809955,6.924668426746284,5.49759026944514,5.664229166541989
000000000000000000ef,Mueang Satun,8.753182486846544,11.423561679155405,8.014667072024219,4.828132055629532,7.875246390599466,7.9017104847168635,9.212715822558783,6.1712815236496485,8.596488687437327
000000000000000000f0,Khuan Don,,10.816942678959165,7.4520317130836755,4.745135574517748,5.653927338879515,6.832053353974812,7.454253684287703,7.926735692682191,7.858955095228193
000000000000000000f1,Khuan Kalong,10.315637479236582,15.858656681359122,11.601356515403062,6.2098171827275515,7.927868644769112,10.87724449934492,10.380247438158092,10.342559411980949,10.821431582818462
000000000000000000f2,Tha Phae,7.955426413336338,14.51578316020114,12.72683680773425,6.654078396032928,6.718953603399717,10.300665676441595,10.272094505637789,10.99917571461209,10.310679188491118
000000000000000000f3,La-Ngu,8.242335024039992,11.59462878485066,9.181115382262579,7.148302688354816,6.640524316913746,8.96293465287337,8.931115977954647,9.428845808574527,8.806654443552517
000000000000000000f4,Thung Wa,8.946637201040458,10.12521755147466,6.334335891295318,8.307357460514659,3.727238159071804,8.2224323574305,8.395470596949885,10.063544149187754,7.920665794200932
000000000000000000f5,Manang,13.121256394699937,14.48165612670164,10.203221621311664,7.999041915023967,8.481108549190584,13.94691813981043,13.295876209345643,13.1009280422006,12.163672684030614
000000000000000000f6,Mueang Trang,8.943210014586626,10.905528217773398,6.95853902182964,9.400021097497397,6.705483115034351,11.100944840058926,9.878239749400912,8.469592183220886,8.927058720333873
000000000000000000f7,Kantang,9.167585334080014,10.154851740076422,9.630740822807482,9.971990696930884,5.125633614797573,9.10631941596986,9.706331875481295,10.232261397178593,8.969556206586459
