system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
00000000000000000025,Mueang Tak,114.92321843941636,120.75739056883066,104.25316134489324,114.38672023683657,100.91089025163886,117.17680270670336,78.11040389088603,58.80249524212308,158.15808839078036,122.21363924719817,104.25316134489324,114.38672023683657,100.91089025163886,117.17680270670336,101.48177204482977,95.24002960456761
00000000000000000026,Ban Tak,109.66342749529191,117.6946516007533,103.48580037664783,112.9618079096045,100.60135593220342,116.01295668549906,78.47570621468927,48.577514124293785,157.03016949152544,121.52640301318269,103.55303201506592,112.9618079096045,100.60135593220342,116.01295668549906,100.43043314500942,93.42576271186441
00000000000000000027,Sam Ngao,107.00014785608674,99.53745687530804,104.6639231148349,114.42843765401676,102.37378018728438,115.9258748151799,79.27560374568753,53.994726466239534,157.62552981764418,124.21113849186791,105.41444061113849,114.42843765401676,102.37378018728438,115.9258748151799,99.74499753573188,92.20418925579104
00000000000000000028,Mae Ramat,114.2848529411765,111.31497058823531,90.58135294117648,102.87711764705885,93.5474411764706,113.54235294117649,76.10335294117648,48.88302941176471,145.3809411764706,111.31497058823531,90.58135294117648,102.87711764705885,93.5474411764706,113.54235294117649,99.45467647058824,93.70352941176472
00000000000000000029,Tha Song Yang,115.22727272727273,110.58909090909091,90.42181818181818,101.83272727272728,93.40909090909092,112.32545454545455,77.76545454545455,59.61454545454546,143.03636363636366,110.58909090909091,90.42181818181818,101.83272727272728,93.40909090909092,112.32545454545455,99.04363636363638,92.11272727272728
0000000000000000002a,Mae Sot,131.68291510945014,108.58606513614522,88.02839028296849,100.73422317138281,91.62936465563267,114.07768286171915,76.80014682327818,58.1013614522157,144.3928723972237,108.58606513614522,88.02839028296849,100.73422317138281,91.62936465563267,114.07768286171915,101.55982381206623,95.22935130806195
0000000000000000002b,Phop Phra,133.02143922445933,107.08508575689781,87.55136092468304,99.90665548098434,89.99185309470543,113.38842281879192,75.68007084265473,58.39794929157345,143.6005779269202,107.08508575689781,87.55136092468304,99.90665548098434,89.99185309470543,113.38842281879192,101.1191275167785,96.25009321401936
0000000000000000002c,Umphang,133.72878464818763,107.21876332622604,87.69936034115139,101.17590618336887,89.72835820895523,114.19786780383795,75.59232409381664,58.767164179104476,145.28038379530918,107.21876332622604,87.69936034115139,101.17590618336887,89.72835820895523,114.19786780383795,101.14946695095949,97.29765458422175
0000000000000000002d,Wang Chao,119.76804525946159,117.5522044479126,99.5689426453375,110.9258291065158,97.54631291455328,117.05025360905192,77.98884120171675,59.63429574717129,154.81790870074133,117.5522044479126,99.5689426453375,110.9258291065158,97.54631291455328,117.05025360905192,102.2123683183769,96.75731564572766
000000000000000002c4,Mueang Loei,140.3905152887882,128.94920724801813,114.28717440543602,123.48355039637599,103.46160815402038,111.2355322763307,63.41534541336354,54.69082672706681,158.39065685164218,128.94920724801813,114.28717440543602,123.48355039637599,103.46160815402038,117.72267836919592,98.28473952434881,89.89207248018121
000000000000000002c5,Na Duang,134.93926174496644,129.97483221476514,115.48264621284757,124.2159156279962,102.17138063279005,109.90254074784276,63.03595397890702,52.97967401725792,157.31510067114095,129.97483221476514,115.48264621284757,124.2159156279962,102.17138063279005,118.21035474592524,99.75608820709493,90.89204218600193
000000000000000002c6,Chiang Khan,144.67993124194243,128.83429308122047,113.44331757627847,122.12879243661368,104.35143962183069,112.48929952728838,63.43420713364849,57.29144821658789,156.5614954877525,128.83429308122047,113.44331757627847,122.12879243661368,104.35143962183069,117.3790717662226,96.78036097980234,87.33846153846156
