system:index,admin2Name,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
00000000000000000025,Mueang Tak,0.3563393799393349,0.5671424071658848,0.6129234391576858,0.5768384291262787,0.6984817658060075,0.7252723876793409,0.670347894789934,0.5114222740260219,0.15490702456536418,0.49568873658283047,0.4780520267545846,0.3949389748372429,0.5626789784539996,0.5607231491307203,0.4933306609968155,0.26447514235153285,0.5870176530345164,0.4012640827345707
00000000000000000026,Ban Tak,0.38557754761804647,0.43809107085546445,0.5574070955745317,0.5511527550993198,0.6576690833092811,0.7207977004445738,0.6681443884172877,0.5429571277020554,0.1837759611597983,0.48987075135580055,0.41972735878651385,0.3850052275282304,0.5597682886420334,0.6104247751165608,0.5125840231154365,0.34674093749885904,0.5886057358281837,0.43104727247889946
00000000000000000027,Sam Ngao,0.3695899166165888,0.48858959675835434,0.5346187728001387,0.5038287766189783,0.5898284317173019,0.6833617941983818,0.6569825950753183,0.5394948241595964,0.14646092106083003,0.4987183328242038,0.4748165907245369,0.323608669168369,0.4807118520212345,0.5570527839503312,0.48958446765697444,0.32171581337833277,0.5681381244478589,0.39703474431961866
00000000000000000028,Mae Ramat,0.380120342468339,,0.542190843158298,,0.6301152731747455,0.7240986047328999,0.6664753134916708,0.736942180053295,0.15966189649523238,,0.5366528431574503,,0.5131016295672817,0.5597474410776384,0.5097653704317215,0.4775212855811333,0.7037986698595426,0.5422586935987832
00000000000000000029,Tha Song Yang,,,0.5297196724326838,,0.7219370545246885,0.7629989293145661,0.7465557544804077,0.7401416642325265,,,0.49616358103875374,,0.5887384250270857,0.575641427984217,0.5468338892561222,0.49590502253600527,0.7513792295887773,0.5671170015211257
0000000000000000002a,Mae Sot,0.33033160868149625,,0.5908851025207098,0.5848513254195968,0.5661895764381654,0.6695588625100353,0.6441008405903621,0.5623279011681354,0.13849872313453476,,0.5335602704431317,0.5182451280210748,0.4207836049260096,0.5099131617988746,0.48353472531871206,0.2886916137927424,0.6220677794644365,0.4637300084278855
0000000000000000002b,Phop Phra,0.36527657717027734,,0.6390419371875976,0.5770107768488651,0.5845483548443973,0.6729841253319385,0.6704370732904468,0.5743812276125475,0.1420159101525213,,0.524812123762606,0.4596205740571704,0.4187492099002891,0.4750934199919641,0.4943615016773852,0.3239966584459402,0.5689404329375808,0.37619367740095044
0000000000000000002c,Umphang,0.43641242928374974,,0.7329716643234547,0.677034157975859,0.6643244719128435,0.694413870933111,0.6436835322485284,0.6261148505571009,0.1566041358179926,,0.6041274267305299,0.5634338377801955,0.5351007028683418,0.5043040589473555,0.43235243665326906,0.42155457859832085,0.6198469442301722,0.4158579993909348
0000000000000000002d,Wang Chao,0.4401425713666712,,0.613709945090308,0.6513291160217285,0.7145947791859718,0.6991844863341248,0.6913424866943015,0.6571321274561626,0.279975500412836,,0.459038219811737,0.46975619080002123,0.5344983221823111,0.5006000466951791,0.477855329307162,0.44866384920463925,0.6325705889715296,0.4433424156907312
000000000000000002c4,Mueang Loei,0.5306155755622639,0.518807573750012,,,,0.7154488472222443,,0.5345516166945431,0.2951711120357345,0.4139110868116501,,,,0.5411803278136348,,0.37206809921879286,0.5737784019618744,0.4022868198302762
