admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Mueang Tak,TH6301,2014,2.2033744060679616,2.545485586912331,2.9880839518288687,2.84077547694518,4.142662015514791,4.237977780480474,4.609375244572538,3.4531420052076567,3.7937036939302673
Ban Tak,TH6302,2014,2.3417687029845498,2.4614415576420297,3.389711936952359,2.03169587738714,4.213452210005547,4.945461591387357,5.1289594620166215,3.5799858902085595,4.049687934906217
Sam Ngao,TH6303,2014,2.721441918359123,2.594701526858627,3.4546068314685896,2.7531062830185165,3.7251328012342673,4.859616472435817,4.879446011178348,3.9206174950940635,3.8933567513443537
Mae Ramat,TH6304,2014,1.6107332813834776,,,,4.4404382759014975,4.597675699174005,4.210115664840939,2.966481532628786,3.4375086281390677
Tha Song Yang,TH6305,2014,1.9578226553466347,,,,5.484101667987249,5.45987199851098,4.9438685929341,4.5487695836257505,4.442776796546322
Mae Sot,TH6306,2014,1.5523412015330251,,,4.509517709213952,3.515243186501033,4.499935984358765,4.306286809362207,3.025526060883221,3.4110352767674574
Phop Phra,TH6307,2014,2.2411282768361254,,,4.960678263217051,3.0248180068532355,4.462082419715355,5.388873203470848,4.346700068641972,4.188584604353914
Umphang,TH6308,2014,2.39543776706566,2.459100353655651,2.8774714406790975,5.479313359750828,4.216747848799622,4.977808948079989,4.592368570266171,3.9302330739955407,3.970270185702089
Wang Chao,TH6309,2014,2.072364950327277,,3.183834087397434,3.495244682677832,4.963311286518625,4.223615001811013,5.1792830953710345,3.817655475301023,4.0460307012403085
Mueang Loei,TH4201,2014,2.8489255256785158,,,,4.406580082020183,5.283763264456552,4.5690996664703345,3.617727827064901,4.104750896261754
Na Duang,TH4202,2014,2.757415497893639,4.911814407287365,,,4.127841935285646,4.6190890935163695,4.84617364190841,3.740001099442936,3.993120216889088
Chiang Khan,TH4203,2014,2.639816718809298,,,,4.516241686325053,5.433965445723561,4.138880352073711,3.477856678500634,3.9856819563722286
Pak Chom,TH4204,2014,2.936706268844001,,,,4.655685390414236,4.910454629374191,4.496602499550588,3.828895523853887,4.158375572808272
Dan Sai,TH4205,2014,2.520856983794473,,,,4.707745450622761,4.9414780514374135,4.353808510420691,3.6058969354414283,3.9659174891166167
Na Haeo,TH4206,2014,3.1113349246561697,,,,4.595536495485566,5.197241130871384,4.516265826820589,3.6757970653265706,4.145379214096555
Phu Ruea,TH4207,2014,3.0323692438204706,,,,4.3100396158878445,5.334173957170525,4.44963137577771,3.814494803545004,4.169342057214834
Tha Li,TH4208,2014,3.3455073396769945,,,,4.579306684109385,5.772822068231953,4.815320200529261,3.533648996255509,4.397296230879018
Wang Saphung,TH4209,2014,2.8779058918041582,,,,4.108961361419085,4.631482427018128,4.72968322337467,3.721520139431898,4.006980286876949
Phu Kradueng,TH4210,2014,3.056167265059141,3.69287849366128,2.330117136403794,,5.009805048187113,4.426282093416663,4.64478017210091,3.2530836450054412,3.8264985872388046
Phu Luang,TH4211,2014,2.654056915489405,,,,4.329822082084395,4.656120365299679,4.896402210163842,3.6262568512447055,4.011601560992441
Pha Khao,TH4212,2014,2.9025941112104205,2.9765309607953014,2.3640233734169795,,4.475755405878958,4.7346184941113405,4.8732184671514425,3.2967833337290933,3.7801143497760816
Erawan,TH4213,2014,2.9380427801647966,3.216394995474976,2.406092673775283,,3.9716896360965737,4.971356782419298,5.313713501432511,3.8475727915877114,4.202016547862053
Nong Hin,TH4214,2014,3.0510390370197853,,,,4.242598941137358,4.574099827092072,4.6697378315262075,3.4659221628981967,3.963106147311525
Mueang Satun,TH9101,2014,2.8374588432198036,4.389766711016306,4.631096446488046,4.4266082411992755,3.6808245256840753,4.563118802220689,5.457473272142218,4.579780973293823,4.4227092353573205
Khuan Don,TH9102,2014,4.222415289688905,4.5781174236464715,4.391484794781171,4.375389005239,5.063290344378912,4.348603950003671,5.372138231816667,4.7042424864443655,4.672924906320871
Khuan Kalong,TH9103,2014,6.570579455418411,5.414991541621974,6.102647418689611,5.2200068445532715,4.107931029728719,7.0595175031949005,5.7845543415285485,5.853554752120491,5.953601709128634
Tha Phae,TH9104,2014,5.433028811474192,5.876974117533088,5.664462494341714,4.80713778214976,4.25791732629264,6.198298356537389,5.869499030237056,6.893756040008278,5.821223891753654
La-Ngu,TH9105,2014,5.159949504272248,4.982599767727361,4.623306267501041,4.029678368901594,3.499362893384249,5.551603877905163,5.147649242877206,6.513243943756835,5.188534125013009
Thung Wa,TH9106,2014,5.516321984773341,4.567145427764284,4.967454274488533,4.92304821900715,3.2208399127773855,6.376067324362883,5.632211239405281,6.231254264361937,5.527799976299633
Manang,TH9107,2014,6.861198363167709,6.439203390544204,5.326175683423864,4.2305623022090755,3.843857209504221,6.913650820630469,5.768460476575483,6.070013327963384,6.009072834854477
Mueang Trang,TH9201,2014,5.918594428364464,5.357311608227857,5.648622011389528,,3.3873148032023073,6.622330553945954,5.402044199996349,6.580923071645756,5.744587230828027
Kantang,TH9202,2014,5.935549251110384,5.005990988799232,6.259798846173838,3.4504728907207984,3.3029347142876286,6.326502183368616,,7.3914554793959235,5.798222591989737
Yan Ta Khao,TH9203,2014,7.309464383447547,6.2183019671798565,5.787744616748211,3.70990708853477,3.734995113169028,7.62814512475558,4.436661302004499,7.424042462850315,6.722422524615663
Palian,TH9204,2014,6.960975079949656,6.035510105900507,5.709435245354317,3.889920190545826,4.2670994289464685,6.76162125059622,4.109548823989682,6.921080204180197,6.324953466133828
Sikao,TH9205,2014,6.5320403144053705,5.991259457289699,5.957974379162163,4.475459416310204,3.9458791717495307,6.286539018509874,5.2935857139892555,7.882567945280263,6.173243727206707
Huai Yot,TH9206,2014,6.089957342221269,6.324943256604311,6.817286054747177,4.179054024471311,3.8999510743385177,6.851692567492789,5.877670851946835,7.550099824256178,6.199869188176766
Wang Wiset,TH9207,2014,6.711917148647949,6.412049050835279,6.84626814735096,4.547841416530553,3.825524769615166,6.961248867033288,5.909141481592592,7.802435171466628,6.387109938621954
Na Yong,TH9208,2014,6.36615971445973,5.076380865648825,4.965625768775628,,3.6126564220527473,6.916723544344525,4.4299486313796645,6.620152810848828,5.868622704932895
Ratsada,TH9209,2014,6.350464673335016,6.186079540700597,6.567708946102143,4.039823588455085,5.202590519120001,6.544676509488544,5.842071994872626,6.389463800797634,6.082588493392625
Hat Samran,TH9210,2014,5.735784753305754,6.107894069279505,5.251047537278728,3.258954934710367,3.774987518922637,7.021184053004214,4.6255533060015,7.8216017539855835,6.344589216759833
Mueang Yala,TH9501,2014,3.399641378225365,4.037146596728657,3.8599366235881125,4.190127638314657,3.7044077878946147,4.485457674359074,5.204261667051293,4.6868796068168885,4.269089445291065
Betong,TH9502,2014,6.438517113412311,6.763488939482186,6.336414109653841,7.527901712769521,5.2475980946843865,8.69046559690483,7.370323986984265,6.408717009346813,6.889772730455162
Bannang Sata,TH9503,2014,5.989117178704733,6.02931438000159,4.99384506099289,6.227107187919282,5.935119228591406,6.816024835697653,6.909668265816752,6.008646253356741,6.125907979322825
Than To,TH9504,2014,4.652059342656751,3.2100769100685427,4.018440269123742,3.977999945644223,2.4768229768477372,5.441083692509777,5.075402381781243,3.4369135086661955,4.443236357281455
Yaha,TH9505,2014,5.161205166469688,5.859926982983334,4.6184249355714675,,,6.076817314988038,6.604543233649325,5.44880276819658,5.684745889655394
Raman,TH9506,2014,3.610112426188015,3.7048522928575496,3.430643774077687,4.430249158081887,4.552115192147871,5.299041840506654,4.957553875936208,4.104028444381351,4.275589641155012
Kabang,TH9507,2014,6.489607395827241,6.213933198972833,5.452604747385276,,,6.5180147309459056,7.283601900496645,6.287277002006561,6.396274279289824
Krong Pinang,TH9508,2014,4.929061627395268,5.773795260116622,5.512299717872622,5.88904781898671,5.2121967513648455,7.13319643942858,7.295684863675008,5.775978844066668,5.999631104900483
Mueang Trat,TH2301,2014,4.617235787320372,4.418316949117725,5.97717523446388,5.4895305164426915,5.980263346695704,5.744309691453097,5.696871518627049,5.783164303064353,5.4605188013748585
Khlong Yai,TH2302,2014,3.6632655422966636,3.6667758141753266,,4.462238496820249,4.4584402495838535,4.466779880093207,4.787675512581831,3.963729588075426,4.234186235591466
Khao Saming,TH2303,2014,5.059293146790683,5.507152545651757,5.386235273025897,5.468905305648024,6.18475215015831,5.971858696272309,6.189210905992691,6.269755330769099,5.8263346731966505
Bo Rai,TH2304,2014,5.063129544594588,6.202968362928492,2.2829457696937343,5.888259281629738,6.2361812858754835,5.978382372373597,5.94943153885182,6.264178650264249,5.902899251915056
Laem Ngop,TH2305,2014,4.460185529128626,5.025259771952266,4.148169056681874,7.001239249326305,5.872542893263121,6.7421573155617045,6.282820701913726,6.936713518875809,6.2345333648821954
Ko Kut,TH2306,2014,5.731141408426546,5.5597303352013645,,4.494995058664939,5.323108069513915,7.283636927790212,6.760579790268618,6.911733918639198,6.348643429587338
Ko Chang,TH2307,2014,5.407473090851434,2.1084256347922063,,6.9942461260597035,5.223024271058706,6.180261809866199,6.5675548698160675,6.793825312071491,5.711726754073332
Mueang Phrae,TH5401,2014,2.4674385921859603,2.7584929356341723,2.3931746711477904,2.5835624332074993,3.25933676877892,4.307608121867022,3.7963876418267066,2.3135587813716763,3.127070739136399
Rong Kwang,TH5402,2014,2.5123728537584022,2.855149796210344,2.401737044869138,3.267020940321043,2.8787040171189475,3.9892403775617913,3.8760033183799267,2.814265774975043,3.0730882347338393
Long,TH5403,2014,2.7884163317544073,3.3943708046193106,3.2780132675570166,3.625643582841839,3.8226162137885336,4.194089285121806,4.897402906255939,3.0915768732746827,3.6411738560863003
Sung Men,TH5404,2014,2.0266170518182944,2.169967920532625,2.237002097855837,3.0292695504265406,4.061617493827695,4.066764207548105,3.3037094798089637,2.0940772277522064,2.867169162357544
Den Chai,TH5405,2014,2.3065082583587855,2.7537958631633543,3.8219531143077763,3.353832100236624,4.777367558374229,4.188587403371482,3.597134365120363,2.580424058884891,3.1195296879931678
Song,TH5406,2014,2.392285360334341,2.978382330793112,2.677714384378031,3.4502967194148484,3.310067749623809,3.5364026156900707,3.9492292613161903,2.9025038075942398,3.1792357863346803
Wang Chin,TH5407,2014,3.2419143689900665,3.49674909662146,2.94205100770607,3.473144670249824,4.033918706806736,5.256830348338027,5.0025445812277045,3.2695463199176813,3.9055264834996777
Nong Muang Khai,TH5408,2014,2.1556497190320307,2.4209905393865756,2.3292122596915386,3.1387874296637763,2.5700646132457186,3.8227396842320513,3.296356488873955,2.4187581221355745,2.8006345624640243
Mueang Nan,TH5501,2014,2.978861322757074,3.320623594138598,3.6945133825276373,3.8727101599315628,,4.7556817517798216,4.340862601815216,2.639546390749834,3.679983487163473
Mae Charim,TH5502,2014,3.3042725880242703,3.242520630753069,2.548872764115052,3.976890129863562,2.695995249899786,5.310806045511159,4.526370142378946,3.1354024659655515,3.9867470615774336
Ban Luang,TH5503,2014,3.2220333515264836,3.452389438115307,,3.3893776575013606,3.8401194869359614,4.642763693161125,4.2782776775584015,2.976167911604127,3.735097585679832
Na Noi,TH5504,2014,2.7176880101230814,3.0453232162378447,2.4901030950107788,3.8278338084725307,3.4567461019188306,4.1093682533873,3.6248300983496966,2.683374504528879,3.2275706975365432
Pua,TH5505,2014,3.0383220914431326,2.8081341047683996,2.3381951636939338,3.5902521767245585,3.5844575829634406,4.41557917964424,3.7148827371701367,2.780237879848434,3.312007046712994
Tha Wang Pha,TH5506,2014,2.779748935768807,3.031320871908112,2.5588033846170273,3.8446851361863392,4.252668034803545,4.2652814042758855,3.905198134973738,2.571248006546473,3.3572545210861917
Wiang Sa,TH5507,2014,2.7292128974769563,2.863171955917919,2.363179511751721,3.7082686131854117,2.9137583068731154,4.28062935647642,4.094659031854121,2.8607953042827523,3.462454502513456
Thung Chang,TH5508,2014,2.9530689860180788,3.3677548826048382,,3.863377031612178,3.8038652012502907,4.451006690090161,4.103442586112055,3.2492046766526483,3.68720711146075
Chiang Klang,TH5509,2014,3.069939595451711,2.790881593092523,2.2839647819092384,3.8935099280456895,2.8177170010040586,4.208197920456478,3.63000217247356,3.036378498440452,3.447083016945593
