admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2013,142.1189310328736,189.3133818423256,140.06968513916053,139.21151145616736,488.666956096141,107.33980290164962,38.28432014526027,6.619149182019559,1251.6237377955974
Ban Tak,TH6302,2013,113.66195233741074,157.97227069613794,126.10137679329797,136.13666216972734,417.33080265164915,86.80210697091835,29.62569364098305,4.808490364751729,1072.4393556248763
Sam Ngao,TH6303,2013,104.01499294911035,112.03590764611015,122.89224161389726,142.84713636534246,402.650026186559,78.52692639558025,32.70862286878387,1.303266554936025,996.9791205803193
Mae Ramat,TH6304,2013,91.29390669722184,347.8720354166685,344.8717728273541,251.22361764639032,417.8628988782565,131.48055039293627,38.78679498901554,4.495295035722209,1627.8868718835652
Tha Song Yang,TH6305,2013,83.22803163528442,398.9623372554779,266.40066719055176,284.41668462753296,414.79037952423096,161.4592170715332,44.22877311706543,5.8652114272117615,1659.3513018488884
Mae Sot,TH6306,2013,86.73916024103033,303.5598069624484,397.4332930559685,299.08843547649764,396.9488671487072,90.634488485091,38.277925327022984,4.439596336931541,1617.1215730336976
Phop Phra,TH6307,2013,111.22190592436719,311.4989468955283,447.27545575953485,295.4319126451375,441.2487263091734,77.11393069994881,42.84470045627113,5.669133969405688,1732.3047126593672
Umphang,TH6308,2013,132.33827672554898,407.30604446484494,486.24040214465225,346.3108707565528,426.4712697872749,67.1010082611671,52.83642327510394,2.551202155993535,1921.1554975711385
Wang Chao,TH6309,2013,122.59753938638433,167.9537984296887,198.02652759805588,152.84979225923243,521.9345892980606,77.86303378052077,58.104038385463284,8.827550191824765,1308.1568693292309
Mueang Loei,TH4201,2013,204.7426319114132,155.44567441720403,279.01697081539675,239.20263154222346,325.798996878509,96.47405301107968,29.227000637762234,1.5379690714835712,1331.445928285072
Na Duang,TH4202,2013,231.4101760235825,176.7512939892752,307.8868619100207,296.30113579444804,343.38903356838773,123.21832163485487,25.426445139970394,3.2697673836195396,1507.6530354441588
Chiang Khan,TH4203,2013,225.8757186970407,193.43285437383392,286.75521159671126,265.67523807803303,350.7065200311133,79.38014033972708,28.504558725656505,1.2640413716222763,1431.594283213738
Pak Chom,TH4204,2013,,,,,,,,,
Dan Sai,TH4205,2013,174.7886752425633,139.13726155308393,191.91438465693528,184.3176322359034,330.7792447523357,155.86313964390715,13.231800844400517,1.1499188580927262,1191.182057787222
Na Haeo,TH4206,2013,,,,,,,,,
Phu Ruea,TH4207,2013,182.94223526545935,134.81885983262745,181.47365311213903,202.36834265504567,297.619693347386,132.05701814379012,17.910377877099172,0.0,1149.1901802335467
Tha Li,TH4208,2013,196.65897422683835,164.53447704085892,247.9624438535009,208.49410715889297,330.7133976357959,133.5670186324489,12.676185594807663,0.0,1294.6066041431436
Wang Saphung,TH4209,2013,199.5095390521024,128.1392070386877,270.7898042263856,251.95043947243116,369.6912705654896,111.1063038132536,15.827673655654559,2.1119305550519676,1349.1261683790567
Phu Kradueng,TH4210,2013,183.28865330511803,107.9393690146917,279.7747818851032,228.38866147709768,356.80786015124403,104.05529483271523,21.3334397661174,0.0,1281.5880604320876
Phu Luang,TH4211,2013,207.17066128363462,124.91215339743209,282.2889763944984,260.296566719554,402.0688428599085,91.27156778713001,26.089247460752834,0.08142730827466339,1394.1794432111851
Pha Khao,TH4212,2013,165.94983604087778,115.53563409012388,261.4569051988151,229.8502878336152,362.4608343969067,118.1426230439501,8.1763623064357,0.004694976373887647,1261.5771778870983
Erawan,TH4213,2013,202.01281775868168,150.73301626415272,284.7578593683796,269.55111959014584,358.96682555918073,119.55385285492669,13.720177795691766,1.4990562112790877,1400.794725402438
Nong Hin,TH4214,2013,192.62161548620014,115.83452735588041,285.0932834824386,273.4424521345279,392.5768620722555,120.86493967461449,16.283370967131816,0.0,1396.717051173049
Mueang Satun,TH9101,2013,200.303777217865,268.70483016967773,198.1225345134735,420.97241973876953,232.1010708808899,517.588344335556,300.57598638534546,174.467320561409,2312.836283802986
Khuan Don,TH9102,2013,176.48633551597595,225.56619906425476,149.25417280197144,278.9075574874878,165.54935503005981,405.6586799621582,318.0721049308777,238.8110990524292,1958.3055038452148
Khuan Kalong,TH9103,2013,192.26891886509887,236.27964518092097,160.84903001216574,274.99324633090873,177.6222052329177,424.9701557220669,304.2426697853508,248.62897586822513,2019.854846997655
Tha Phae,TH9104,2013,171.48408388936673,237.08019363795714,157.5562930684163,277.08878804097634,187.23464787780466,404.83241344427137,321.7849087022694,216.76825189280822,1973.8295805538703
La-Ngu,TH9105,2013,189.52605131893006,308.1914835646551,181.31815858102289,270.79462068719636,214.2858394615214,434.4669544032777,274.9796854950073,210.21973148012034,2083.782524991731
Thung Wa,TH9106,2013,,,,,,,,,
Manang,TH9107,2013,172.74935746192932,258.565242767334,166.91100668907166,239.79098081588745,161.9537627696991,403.96926498413086,322.47052478790283,262.31311893463135,1988.7232592105865
Mueang Trang,TH9201,2013,221.69641180506233,257.7642232617245,238.2790399050411,249.24836302708977,200.88452287716203,322.71070073073423,307.21563629409934,241.64345855199838,2039.4423564529116
Kantang,TH9202,2013,,,,,,,,,
Yan Ta Khao,TH9203,2013,208.23722288012502,266.2059270445038,253.85311333992894,292.8201391290215,183.09906295327576,415.7234576113084,407.91928016788813,267.42171532546774,2295.2799184515193
Palian,TH9204,2013,211.71876960202874,288.75798833334306,228.8795801314963,267.9019358057573,172.72308350183877,407.334623392806,371.28547598367714,261.1679396593427,2209.76939641029
Sikao,TH9205,2013,,,,,,,,,
Huai Yot,TH9206,2013,,,,,,,,,
Wang Wiset,TH9207,2013,,,,,,,,,
Na Yong,TH9208,2013,237.50169818645338,286.9575353344918,252.23828526901397,270.03880909250637,190.68776274726952,411.8871370755347,348.3765728458964,270.5772911958424,2268.2650917470087
Ratsada,TH9209,2013,244.6801278591156,217.4658432006836,221.05755019187927,124.17672824859619,208.8273365497589,250.02582550048828,440.21782207489014,324.7294178009033,2031.1806514263153
Hat Samran,TH9210,2013,,,,,,,,,
Mueang Yala,TH9501,2013,,,,,,,,,
Betong,TH9502,2013,,,,,,,,,
Bannang Sata,TH9503,2013,,,,,,,,,
Than To,TH9504,2013,,,,,,,,,
Yaha,TH9505,2013,,,,,,,,,
Raman,TH9506,2013,165.05277371406555,112.76211482286453,135.8612409234047,202.34513986110687,140.16849780082703,367.60517621040344,383.54651641845703,437.26040840148926,1944.6018681526184
Kabang,TH9507,2013,,,,,,,,,
Krong Pinang,TH9508,2013,,,,,,,,,
Mueang Trat,TH2301,2013,215.78545265236937,693.281233233839,954.4727806412012,561.0393160685577,591.8368832156269,444.4718019582529,168.04814594162698,12.302253079625357,3641.2378667910993
Khlong Yai,TH2302,2013,,,,,,,,,
Khao Saming,TH2303,2013,213.9749300913564,642.1963854747396,812.4346995393561,528.7612780816756,554.1931992296048,414.3068430549509,171.27581255234568,16.94645075964357,3354.0895987836734
Bo Rai,TH2304,2013,181.24203598299334,551.6584115957446,696.3101436258132,482.6076143412436,482.86978999814687,397.94937731035293,201.20785587679953,19.831639696551907,3013.676868427646
Laem Ngop,TH2305,2013,202.3966794013977,699.8109130859375,1007.3285646438599,569.9016237258911,652.6218185424805,426.9623279571533,151.65367937088013,12.748605251312256,3723.4242119789124
Ko Kut,TH2306,2013,,,,,,,,,
Ko Chang,TH2307,2013,,,,,,,,,
Mueang Phrae,TH5401,2013,130.1735440214314,124.22303079690045,155.0545884243712,285.9788143066903,205.5254356111431,116.89742829378154,11.923767865267198,3.402095005097177,1033.1787043246825
Rong Kwang,TH5402,2013,116.37704388642167,138.91476914800998,175.66842981102164,305.2212790909672,229.38503921936632,132.54163861707042,13.259950355686062,8.278018908824114,1119.6461690373674
