admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Mueang Tak,TH6301,2013,2.3767048543654727,3.0904959900001825,3.3127369595114744,3.8350724465423034,4.178317615714084,4.8838270844631495,4.868100876116404,3.5653773638484383,3.8954670202755315
Ban Tak,TH6302,2013,2.37541001058898,3.735965624211989,3.8652631505695885,3.933948075619054,4.906325490198306,4.83575780711331,5.464911476235528,3.527686615676741,4.201239385165097
Sam Ngao,TH6303,2013,2.3412141774013735,3.7209196552428283,3.12424667584625,4.213909396066554,4.59223563852488,4.414284328509082,4.204684446357848,3.515611463968096,3.7960565873954146
Mae Ramat,TH6304,2013,1.5598642015289932,,,,4.771617542858629,3.8864221399034475,3.818730572153661,2.951921850921576,3.3638766768647432
Tha Song Yang,TH6305,2013,1.886234395723695,,2.2616247933499425,,5.026437950482042,4.755755146663522,4.644500117496483,4.022823130138886,4.054240217008202
Mae Sot,TH6306,2013,1.567922958003208,,,,4.177656814463111,3.606907481133983,3.7517884468654223,2.7667867504427797,3.1211269421990315
Phop Phra,TH6307,2013,2.2555119703145174,,,3.4624818673401108,3.9204405979221795,4.076105186808378,4.341230621993562,3.9298218906846483,3.7046706989787936
Umphang,TH6308,2013,2.3071364351431876,3.395846008477772,,,5.46091777270797,4.3345765555954285,4.090464002700653,3.281954268309579,3.729323982174534
Wang Chao,TH6309,2013,2.643397912128648,3.2985447986691816,3.554232658730007,4.32647312139837,4.204413033570305,4.638466795034091,4.640727955826909,3.49441531311711,3.8761765102010646
Mueang Loei,TH4201,2013,2.5608851895382325,3.3011326406929897,,3.8684254154153632,5.03357302913833,4.640115840329894,3.0416554123990474,3.8102200942318056,3.581759290023492
Na Duang,TH4202,2013,2.0975670104322353,3.1114034737025706,,9.253823243425948,4.9098039141695,4.673511183004468,3.919750428591003,4.154753768485545,3.7250345713961703
Chiang Khan,TH4203,2013,2.6670823504452605,3.2731628254473435,,3.286650856249448,4.8651623784219975,4.685520102868602,2.669247436336698,3.5679856105200614,3.5426534756721004
Pak Chom,TH4204,2013,2.5016493471527617,3.2513177359107654,,3.837016724476891,2.9893796408135955,4.377691666109022,2.7325880726593565,3.7557671923762754,3.3672066449094733
Dan Sai,TH4205,2013,2.380741764506667,2.829747582823684,,4.100530448328842,4.6625676023376466,4.264727446438296,3.617262599249029,3.726749833080044,3.5032008241810892
Na Haeo,TH4206,2013,2.5642181469339054,3.0856173228324626,,3.8424314335919147,5.09676748804623,4.689399557408159,3.7936027342669414,3.7028025080147007,3.7237256645691987
Phu Ruea,TH4207,2013,2.675186597535257,3.7771537785256872,,3.9655456430980602,4.45191576169564,4.408114523728691,3.577101200151456,3.858056168804323,3.7607045283029725
Tha Li,TH4208,2013,2.990910398836255,3.900031866383474,,4.11903707613787,4.8088083054483555,5.115582102553646,4.1181907885661495,3.8389145230060993,4.063602202310978
Wang Saphung,TH4209,2013,2.0927084307672823,3.1851584577757723,,3.9383704169599025,5.332310557171345,4.398924282454134,3.596251321171304,3.8144495553317723,3.5177308150496582
Phu Kradueng,TH4210,2013,2.191155726981723,3.5207982501146717,,4.276223414079251,,4.6557697514877185,3.959750709056804,3.4607595508685103,3.6571502948056254
Phu Luang,TH4211,2013,2.020754611985948,3.017790525797752,,3.778797954954846,4.924101789164316,4.703609792468987,3.068669924313805,3.7164498815057754,3.428545599108804
Pha Khao,TH4212,2013,2.0844457531925524,3.3795134199263814,,4.320284535894823,,4.723497366762122,4.107679717628324,3.5624266025676556,3.7181090453050922
Erawan,TH4213,2013,1.9097223365617302,3.144072989732113,,4.229184348688097,4.379408766355293,4.791280659252556,3.7597319142563066,4.100406116181258,3.6387568273806887
Nong Hin,TH4214,2013,1.989054009609211,3.250968582565269,,3.83407950178599,,4.5334093414469745,3.3613908227643265,3.836983331800664,3.497775964742572
