admin2Name,admin2Pcod,Year,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,F_WS
Mueang Tak,TH6301,2012,1.3634200096064306,1.3954027790888388,1.3427571063303692,1.6881128003579575,0.6734774439432241,0.2314427345199629,0.3344066261396563,0.4220097074108579,0.931378650924662
Ban Tak,TH6302,2012,1.405038555810236,1.634677289050655,1.5728343394369306,1.6960654858180275,0.7347893134151955,0.0933855307157001,0.1350674984225846,0.2508855978995794,0.9403429513211136
Sam Ngao,TH6303,2012,1.0581294810745234,1.4903972911168673,1.4416378646319143,1.404497780555445,0.5465965276309763,0.0580015683232299,0.0384053253019252,0.1783016197032358,0.7769959322922647
Mae Ramat,TH6304,2012,1.382951430516102,1.6104903163026048,1.4897265116835685,1.6077104856335316,0.7385816439130195,0.302005813457811,0.3830674791413919,0.4029543272901319,0.98968600099227
Tha Song Yang,TH6305,2012,0.8244590022275817,1.044718428168492,0.9795015596410284,1.10613150904034,0.4294428111050795,0.2713183817123489,0.3025147529565515,0.3108995651294747,0.6586232512476121
Mae Sot,TH6306,2012,1.362517248560474,1.598002095459136,1.4651311050380174,1.6381836472970108,0.7050422416425446,0.3893638274022654,0.5313539127779908,0.5654858023505063,1.0318849850659932
Phop Phra,TH6307,2012,1.2255290150026266,1.542583869870151,1.3993430284944206,1.5590013362653492,0.6222882394839695,0.4590480540141226,0.5788870990873315,0.6035070166792872,0.9987734573621572
Umphang,TH6308,2012,0.8668782896921647,1.3181837151601958,1.1902401892110015,1.2403881603141491,0.4766734670640892,0.4171064405981469,0.5093998539623953,0.53455705442243,0.8191783963030718
Wang Chao,TH6309,2012,1.2505563381934406,1.0343073120592068,1.0216213906093266,1.4037294952727035,0.6218384246591367,0.3217299746056778,0.5123691354563427,0.6042085989330441,0.8462950837236098
Mueang Loei,TH4201,2012,0.3286140986054409,1.520237788543662,1.1772404487307273,1.6377964036292751,0.3710139539295284,0.7112636318518476,0.7267615763989115,0.8749829482544461,0.9184888562429796
Na Duang,TH4202,2012,0.3175947013976823,1.4768770840874277,1.110153606565316,1.5870150931794438,0.3936779014925816,0.7052234909884458,0.7269399313330556,0.8954156593090041,0.9016121835441196
Chiang Khan,TH4203,2012,0.3415260411334672,1.6983210267232292,1.304725860721739,1.8590098051513224,0.3895191433139815,0.7771865186751666,0.8226754052838939,0.9733685660844528,1.0207915458859065
Pak Chom,TH4204,2012,,,,,,,,,
Dan Sai,TH4205,2012,1.0848629311223852,1.8739050638204284,1.7583581857151471,1.7691851954011482,0.2726940364155174,0.5623777595359819,0.443634044082954,0.4999192156350737,1.0331170539660794
Na Haeo,TH4206,2012,,,,,,,,,
Phu Ruea,TH4207,2012,1.1028554108605753,2.0479583769982,1.923481436253299,2.008844419385046,0.3065708730615852,0.5348771525058912,0.4038221032422793,0.4711968274976383,1.099950824975564
Tha Li,TH4208,2012,0.5586627452684623,1.847533999215451,1.630424697543368,1.9364610131438629,0.2498297906579813,0.629720755931125,0.6313905086597054,0.7126104453970032,1.0245792444771198
Wang Saphung,TH4209,2012,0.4234845078790972,1.337217424806233,1.1380677863487452,1.2968883454412226,0.2600321203772825,0.4328427275221051,0.4346040657363191,0.5592145330273902,0.7352939388922994
Phu Kradueng,TH4210,2012,0.7043209148209276,1.493323372773626,1.4769144405871375,1.5235670892594666,0.0869316505064955,0.2716385300010585,0.2133525625975557,0.4382718901215837,0.7760400563334813
Phu Luang,TH4211,2012,0.6115289381358873,1.4698193686386885,1.3465328454968415,1.4263858796487232,0.182699305222659,0.424491096737937,0.3681571139658813,0.5031063376928636,0.7915901106924351
Pha Khao,TH4212,2012,0.6794589479875327,1.339850039531079,1.219043173165992,1.190095294997822,0.2317402583081064,0.201033636195835,0.2672212298206869,0.5888888392737119,0.7146664274100958
Erawan,TH4213,2012,0.4824115059604393,1.3667145174754425,1.115899337915721,1.229941910500696,0.3251766404634779,0.4007393774942779,0.471276637759256,0.706154042393155,0.7622892462453081
