admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Tak,TH6301,2016,36.95683106784775,30.217387728237522,29.908632822766958,29.491548284189903,29.572865075910205,30.331882033086277,29.514324075532187,29.11643454526728,30.638738204104765,26.691779211843812,24.486746451841828,24.324332604994655,24.191049522995886,23.931210644007308,23.602106497072036,21.82724437374345,19.61261154291132,23.583385106176287,31.590618944390663,26.92646512510731,26.869684782517474,26.429762718572444,26.328358081543282,26.610802738566374,25.57716125189323,24.442537224204536,26.846923858349413
Ban Tak,TH6302,2016,36.6834657697039,29.626219317556824,29.43772284262941,28.62701267520132,29.099974194523043,30.116906323195444,29.470189301355614,29.509231527294066,30.321340243932454,25.8541416030624,23.90947253347816,23.676830049127478,23.419472033036648,23.403276839566896,23.252119504263597,22.320424573174865,20.812565725542665,23.331037857656586,30.86268137239974,26.197873609306583,26.107531875425238,25.544857032454356,25.67587497024246,26.309114057899002,25.852777512746474,25.121126345721656,26.45897959702444
Sam Ngao,TH6303,2016,35.6365290148505,28.874788411458358,28.818474324544294,28.15051930745445,28.358940633138044,29.099329630533877,28.097594197591167,27.99252144949779,29.37858712113356,25.168618248248944,23.189871724446636,23.097072855631534,22.844439188639345,22.78552856445315,22.467698160807313,21.03190867106122,18.595826503208727,22.397620489562108,30.058786514983797,25.470757505628814,25.468257755703423,24.99168629116485,24.964162487453905,25.335561222500292,24.369866265190996,23.377353468395437,25.50455393887769
Mae Ramat,TH6304,2016,33.43923966146426,27.238982165955683,26.851878225226177,26.01468432081794,26.468837452671004,28.09212049731876,28.321893074972614,28.320265305598006,28.093487588003057,23.24851346163051,22.227412897478093,21.98139738812365,21.867122800592814,21.708380865799775,21.584222267552448,19.59974686364962,17.731464012203386,21.243532569628787,27.81673826228038,23.94099457616975,23.769245894181125,23.246951550667767,23.439353739509823,24.237342244064624,23.87074305270013,22.97160495649068,24.16162178450804
Tha Song Yang,TH6305,2016,32.73982785981279,26.790528361002625,26.443127950032576,25.68347574869794,26.357825215657574,27.8515324910482,28.296542867024762,28.110428292410738,27.7841610982109,23.258603010506487,21.847353108723983,21.718324788411483,21.622083536783876,21.43321940104169,21.378487141927106,19.599708048502627,17.651644025530157,21.063677882678427,27.366577687756795,23.46699502733021,23.347777069939532,22.887676959567624,23.094031736585862,23.843813175625293,23.77740749782988,22.852041898454964,23.829540131636268
Mae Sot,TH6306,2016,33.381764685173415,27.1380720826877,26.796729529274614,25.90144482116822,26.402181533639354,27.987047587413127,28.26985566590727,28.085288317663174,27.995298027865857,23.27092060166299,22.177715152288624,21.983759049344677,21.826405819078854,21.69084904538232,21.489724475030428,19.389314518027422,17.522021470992378,21.168838766475965,27.788355593412223,23.906878529047876,23.742962814099887,23.20154029744109,23.39697026349455,24.112655803660925,23.664436222833572,22.691481961993293,24.063160185747925
Phop Phra,TH6307,2016,31.455704103440386,25.87062284864231,25.65049529404478,24.843494165902875,25.07971891534742,26.2975661338061,26.16932022434544,25.436195720710213,26.35038967577994,21.59291089712229,20.59913011528982,20.513075274434605,20.34537220768547,20.21460152165645,19.87776967410386,18.099722193027386,16.148570918097306,19.67389410017715,25.92785789786094,22.498644819296203,22.391936148720248,21.887123243836175,21.95981716433706,22.392920235381748,21.799765295269868,20.564099441177564,22.427770530734975
Umphang,TH6308,2016,30.293203769666704,25.12573938120969,24.90692377947381,23.995050619374176,24.54880002450254,26.13750020787338,26.734312649049645,26.347785437921583,26.01116448363394,21.283988286923456,20.155858399764377,20.108211510699753,19.875302729952185,19.844223121974803,19.6512280184981,18.39277799965681,16.862533379785784,19.521765430906907,25.08401956496272,21.935776105134412,21.80292137238141,21.203393848437642,21.42829923215122,22.00753770008182,22.08351574294235,21.197931419514745,22.092924373200788
Wang Chao,TH6309,2016,36.50180125233344,29.87859154863925,29.73176776306024,29.390085071942217,29.358205890315187,30.043586258272224,29.282087494048987,28.879251900547786,30.383172147394916,26.168247397594,24.219700573547517,24.06683752807358,23.935492504264204,23.705412742293476,23.21220914417299,21.422475511222824,19.79344643271639,23.31547772923562,31.003216127154687,26.672921051617177,26.647818091140902,26.246239865248835,26.141342872930053,26.328736623627467,25.28257469378739,24.32162825497964,26.58055969756077
Mueang Loei,TH4201,2016,33.62678046260353,30.61977518287042,29.936145079953924,29.238368170055125,28.83423076243723,29.02794057930394,27.497079232704507,26.10572183838035,29.360755163538624,25.209616577443008,24.25660002428828,23.67813358498294,23.656194960343562,23.28914339848255,22.628583433287325,20.44775893209039,17.1520469065144,22.53975972717906,28.93766142626269,26.95106421255871,26.350360468871447,26.03062733225234,25.57204063459674,25.596465978388803,23.963863387770466,21.639554922315344,25.63020479537707
