admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2018,143.9653626559527,112.51892577711993,97.92990061323749,103.71738211038276,113.12068090505394,119.74743074645805,72.02144216536266,49.720511736096434,101.59270458870797,143.9653626559527,114.13019665891312,100.42992175935719,103.71738211038276,113.12068090505394,119.74743074645805,102.35098329456547,83.54216536265596,110.12551543666741
Ban Tak,TH6302,2018,144.3332956685499,111.14354048964216,96.68915254237288,102.50241054613936,112.37295668549905,118.5261770244821,71.65250470809794,40.821732580037676,99.75522128060264,144.3332956685499,113.83457627118644,100.79830508474576,102.50241054613936,112.37295668549905,118.5261770244821,100.66094161958569,81.40387947269303,109.30406779661016
Sam Ngao,TH6303,2018,144.19344504682113,103.80744208969936,86.24386397240019,101.77126663380977,113.36993592902907,117.84682109413505,71.98851651059636,44.33311976343026,97.94430137999015,144.19344504682113,114.9481025135535,101.82336126170527,103.53992114342041,113.36993592902907,117.84682109413505,99.51513060620996,79.09122720551997,109.29099310004928
Mae Ramat,TH6304,2018,138.7975,106.22382352941179,90.73400000000002,93.68638235294121,106.49685294117648,116.84423529411767,71.61126470588238,43.60688235294118,96.00011764705883,138.7975,106.22382352941179,90.73400000000002,93.68638235294121,106.49685294117648,116.84423529411767,100.92829411764706,83.90691176470591,104.70225
Tha Song Yang,TH6305,2018,140.58363636363634,105.09272727272727,90.88363636363636,92.44181818181818,106.44363636363636,116.8709090909091,72.61818181818182,56.789090909090916,97.71545454545453,140.58363636363634,105.09272727272727,90.88363636363636,92.44181818181818,106.44363636363636,116.8709090909091,102.37636363636365,86.26545454545456,105.11977272727273
Mae Sot,TH6306,2018,137.7690069407368,104.77146289375335,88.05970368392956,91.69674319273894,105.6657768286172,117.65946342765618,73.53813400961023,54.29081687132942,96.68138848104647,137.7690069407368,104.77146289375335,88.05970368392956,91.69674319273894,105.6657768286172,117.65946342765618,103.68041911372131,86.2009476775227,104.4379404698345
Phop Phra,TH6307,2018,136.3326621923937,103.930182699478,87.0314317673378,91.17052572706935,104.59116331096197,116.73737882177477,73.32356450410141,56.21526845637583,96.16652218493661,136.3326621923937,103.930182699478,87.0314317673378,91.17052572706935,104.59116331096197,116.73737882177477,103.17932513049962,87.18290454884414,103.76944677479493
Umphang,TH6308,2018,135.6712153518124,105.34541577825159,86.65522388059703,91.64754797441365,105.20213219616205,117.5857142857143,73.56055437100215,55.7861407249467,96.43174307036247,135.6712153518124,105.34541577825159,86.65522388059703,91.64754797441365,105.20213219616205,117.5857142857143,102.62814498933902,87.0948827292111,103.97878464818764
Wang Chao,TH6309,2018,142.22949668357393,112.00975419430357,97.44849785407727,101.24994147483416,111.18439328911434,120.11338275458449,74.39317206398752,53.39625438938743,101.50311158798283,142.22949668357393,112.00975419430357,97.44849785407727,101.24994147483416,111.18439328911434,120.11338275458449,103.82161529457667,85.696176355833,109.21915723761218
Mueang Loei,TH4201,2018,141.3809456398641,118.57780294450738,106.02675537938846,113.02140430351078,113.85979614949038,101.85433182332957,60.42276330690828,50.565543601359,100.71366789354475,141.3809456398641,118.57780294450738,106.02675537938846,113.02140430351078,113.85979614949038,117.07766138165348,93.02205549263871,86.58909966024915,111.1944401189128
Na Duang,TH4202,2018,140.6502396931927,119.63317353787154,106.12569511025889,112.2553691275168,113.60321188878237,98.89242569511026,58.227468839884956,48.14410354745926,99.69146093000961,140.6502396931927,119.63317353787154,106.12569511025889,112.2553691275168,113.60321188878237,117.09372003835092,92.92651006711412,88.16303930968361,111.30636984659638
Chiang Khan,TH4203,2018,140.65801461108725,117.0418134937688,105.97971637301247,112.72307692307693,113.92595616673829,105.4732703051139,61.971895143962186,54.20266437473142,101.49705092393641,140.65801461108725,117.0418134937688,105.97971637301247,112.72307692307693,113.92595616673829,117.18087666523422,92.16935969058876,85.58199398366997,110.65760098839708
Pak Chom,TH4204,2018,138.7,115.15,103.75,111.75,112.80000000000001,101.95,60.85000000000001,52.35,99.66250000000001,138.7,115.15,103.75,111.75,112.80000000000001,116.30000000000001,91.95,84.55000000000001,109.36875
Dan Sai,TH4205,2018,139.29915998472703,116.71970217640323,104.1966017563956,112.36880488736162,112.88690339824362,98.78537609774726,60.85715922107675,48.08823978617794,99.15024341351663,139.29915998472703,116.71970217640323,104.1966017563956,112.36880488736162,112.88690339824362,117.00504009163805,95.5323024054983,84.71099656357391,110.33993890798018
Na Haeo,TH4206,2018,139.45162241887908,116.97787610619469,106.07669616519173,112.50176991150444,112.49882005899705,100.8448377581121,61.15103244837758,50.6787610619469,100.02267699115046,139.45162241887908,116.97787610619469,106.07669616519173,112.50176991150444,112.49882005899705,117.64277286135693,94.97050147492627,84.50265486725665,110.57783923303836
Phu Ruea,TH4207,2018,138.01584938704028,116.33248686514887,104.79071803852891,112.06943957968475,111.18511383537654,98.60691768826621,60.11322241681262,48.527408056042034,98.70514448336252,138.01584938704028,116.33248686514887,104.79071803852891,112.06943957968475,111.18511383537654,115.0478108581436,94.08957968476358,85.07162872154117,109.57532837127846
Tha Li,TH4208,2018,141.57798003523195,117.58995889606577,106.8273047563124,112.86147974163242,114.04797416324135,102.92877275396359,61.581796829125075,51.48643570170288,101.11271285965944,141.57798003523195,117.58995889606577,106.8273047563124,112.86147974163242,114.04797416324135,117.78772753963592,94.00986494421609,85.22889019377568,111.24139753376396
Wang Saphung,TH4209,2018,142.87725067385446,120.26454627133876,104.9365318957772,113.59725067385448,115.33083557951487,97.71074573225518,57.228607367475306,46.19103324348608,99.76710017969455,142.87725067385446,120.26454627133876,104.9365318957772,113.59725067385448,115.33083557951487,118.05890386343218,94.35214734950587,88.99306379155438,112.30131626235404
Phu Kradueng,TH4210,2018,144.54601737871107,122.67632150615495,106.52251991310645,114.2250905141202,116.24989138305578,89.53327299058654,43.550108616944236,33.075633598841414,96.29735698769007,144.6616944243302,125.0041998551774,106.52251991310645,114.2250905141202,116.24989138305578,121.54779145546705,95.98533671252716,92.94594496741492,114.64280865314988
Phu Luang,TH4211,2018,143.24019037546273,120.84304600740349,105.18767847699631,113.82020095187733,115.41586462189319,98.35938656795348,59.23484928609202,46.70449497620307,100.35071390798521,143.24019037546273,120.84304600740349,105.18767847699631,113.82020095187733,115.41586462189319,119.05891062929668,96.12390269698574,89.1021681649921,112.84899524061346
Pha Khao,TH4212,2018,143.63915479803876,123.83051599346256,105.44006537473736,113.28846602848472,116.2962876488443,91.30943264067244,46.75825356058838,36.81772122344151,97.17248715853376,143.63915479803876,123.83051599346256,105.44006537473736,113.28846602848472,116.2962876488443,120.13028251225778,95.13894466495451,92.8893065608219,113.83162794770021
Erawan,TH4213,2018,142.3503216374269,120.62029239766082,105.41529239766085,113.20152046783629,114.91801169590644,95.56456140350879,54.07312865497078,43.953625730994155,98.76209429824561,142.3503216374269,120.62029239766082,105.41529239766085,113.20152046783629,114.91801169590644,117.67751461988307,93.95821637426903,89.94283625730995,112.26050073099418
Nong Hin,TH4214,2018,143.46479891549936,122.47460460912792,105.3075915047447,113.36168097605061,115.30316312697698,95.14690465431542,53.42887483054677,41.7385449615906,98.77827044735655,143.46479891549936,122.47573429733399,105.3075915047447,113.36168097605061,115.30316312697698,119.14044283777682,95.44902846814281,90.09701762313601,113.07493221870763
Mueang Satun,TH9101,2018,123.46491458607098,119.56281208935611,127.43298291721419,125.00315374507228,109.29789750328516,110.96596583442839,99.70210249671486,99.96859395532195,114.42480289093298,123.46491458607098,119.56281208935611,127.43298291721419,127.59947437582129,109.29789750328516,110.96596583442839,99.70210249671486,99.96859395532195,114.74934296977662
