admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2020,71.77908648762953,77.79080143793615,43.78714315923028,111.9925142736308,114.9304292662297,97.11148234299007,74.62668640304506,49.821949672235164,80.23001163036582,166.60137449777972,142.09687037428634,144.40353140198775,111.9925142736308,114.9304292662297,97.11148234299007,110.76997251004443,104.02983717487842,123.9920014802284
Ban Tak,TH6302,2020,86.35585687382299,66.9502824858757,36.33088512241054,111.53393596986817,115.25035781544258,98.50523540489642,75.28380414312619,20.59830508474576,76.35108286252355,166.34806026365348,139.94312617702448,139.79386064030135,111.53393596986817,115.25035781544258,98.50523540489642,111.19807909604519,103.32945386064029,123.237763653484
Sam Ngao,TH6303,2020,55.32725480532282,56.610547067520955,32.575948743223265,111.76338097585017,116.44006899950715,99.7486446525382,76.50182355840316,21.448447511089206,71.30201453918187,166.41936914736323,140.80349926071958,139.74006899950714,111.76338097585017,116.44006899950715,99.7486446525382,111.12641695416461,100.87141448989651,123.36410793494332
Mae Ramat,TH6304,2020,81.42867647058826,125.40038235294121,106.23726470588237,105.32155882352943,106.68482352941179,99.08623529411764,72.47600000000001,29.649647058823536,90.7855735294118,158.92997058823534,132.8443823529412,124.4699705882353,105.32155882352943,106.68482352941179,99.08623529411764,108.24820588235295,103.54929411764708,117.39180514705885
Tha Song Yang,TH6305,2020,81.46181818181819,129.5309090909091,115.43636363636364,102.59818181818181,106.23818181818183,97.38909090909092,72.59272727272727,56.29272727272727,95.19250000000001,159.87636363636364,130.61272727272728,123.68909090909091,102.59818181818181,106.23818181818183,97.38909090909092,107.40545454545455,102.24181818181818,116.25636363636363
Mae Sot,TH6306,2020,101.771636412173,126.84825146823279,119.52152963160705,104.81809930592635,104.15417778964229,98.74311265349708,73.05862253069941,54.344500800854256,97.90749132407903,156.88753336892682,129.6391884676989,122.6018953550454,104.81809930592635,104.15417778964229,98.74311265349708,110.3979978643887,104.06201281366796,116.41300220234915
Phop Phra,TH6307,2020,118.62143922445937,122.39505965697238,120.11370246085009,103.94093959731542,102.03950410141684,96.48639075316927,73.27872856077555,58.479381058911244,99.41939317673375,153.39774422073077,125.96538031319908,121.56383296047723,103.94093959731542,102.03950410141684,96.48639075316927,109.32516778523487,103.04692393736016,114.47073545861298
Umphang,TH6308,2020,138.12132196162048,124.31961620469085,119.96417910447761,103.42537313432837,103.1321961620469,94.38933901918978,73.68038379530917,58.90554371002133,101.99224413646057,151.3452025586354,124.33773987206823,121.05159914712154,103.42537313432837,103.1321961620469,94.38933901918978,110.04520255863541,102.86972281449894,113.8245469083156
Wang Chao,TH6309,2020,101.29586422161532,110.49055793991417,77.32344908310574,110.75793991416309,110.76305111197817,96.24463519313306,74.22024970737418,54.817908700741334,91.98920698400313,160.40503316426063,135.30557939914164,136.27417089348418,110.75793991416309,110.76305111197817,96.24463519313306,110.75887631681623,105.69960983222785,120.77611197815065
Mueang Loei,TH4201,2020,93.59003397508494,139.98720271800678,104.42800113250281,111.631087202718,114.73742921857306,99.74345979614948,68.1597678369196,55.33012457531144,98.45088830690827,170.5994054360136,139.98720271800678,141.62344280860705,111.631087202718,114.73742921857306,99.74345979614948,104.64232729331825,101.45812570781426,123.05281002265005
Na Duang,TH4202,2020,91.5588686481304,136.6084851390221,95.89477468839885,113.52171620325984,115.3749280920422,99.19918504314478,68.42804410354748,54.17468839884948,96.84508628954939,167.7729146692234,142.956184084372,143.86994247363376,113.52171620325984,115.3749280920422,99.19918504314478,105.35172579098756,101.95249280920423,123.74988614573348
Chiang Khan,TH4203,2020,86.58654920498498,137.80833691448217,95.24847443059735,108.02595616673828,114.68225182638591,100.26837129351098,67.89187795444779,56.71761925225613,95.90367963042544,171.2239793725827,137.80833691448217,139.77232488182213,108.02595616673828,114.68225182638591,100.26837129351098,103.97511817791148,100.6327460249248,122.04863558229479
Pak Chom,TH4204,2020,89.10000000000001,137.0,113.4,108.5,113.45000000000002,99.80000000000001,66.9,55.85000000000001,98.0,168.35000000000002,137.0,137.60000000000002,108.5,113.45000000000002,99.80000000000001,103.85000000000001,100.05000000000001,121.075
Dan Sai,TH4205,2020,72.66689576174113,138.7471554028255,96.99308896525393,113.15857197403592,113.45964108438336,99.25559373806799,64.6105765559374,53.31725849560902,94.02609774723179,167.1938144329897,138.7471554028255,140.19064528445975,113.15857197403592,113.45964108438336,99.25559373806799,104.74329896907217,101.02042764413899,122.22114356624668
Na Haeo,TH4206,2020,93.04188790560471,137.4834808259587,114.52359882005901,110.2047197640118,112.8014749262537,100.99410029498526,57.44542772861357,46.349557522123895,96.60553097345132,167.87522123893808,138.59852507374632,137.20206489675516,110.2047197640118,112.8014749262537,100.99410029498526,105.32123893805311,101.80235988200592,121.84996312684366
Phu Ruea,TH4207,2020,71.11033274956218,137.00253940455343,98.98336252189142,110.23712784588442,112.32311733800351,99.1391418563923,67.20070052539405,55.016987740805604,93.87666374781087,165.23590192644485,137.00253940455343,137.56112084063048,110.23712784588442,112.32311733800351,99.1391418563923,104.31182136602452,100.39290718038531,120.77545971978986
Tha Li,TH4208,2020,76.32113916617733,137.5330593071051,105.93088667058133,108.4726952436876,114.46065766294775,100.68003523194363,67.34650616559013,55.13957721667645,95.73556958308866,171.21867293012335,137.5330593071051,138.9763358778626,108.4726952436876,114.46065766294775,100.68003523194363,104.33605402231358,99.1139166177334,121.84892836171461
Wang Saphung,TH4209,2020,81.06761904761908,142.5162084456424,101.3635579514825,116.91236298292904,117.19626235399824,100.22373764600182,69.65960467205753,54.72316262353998,97.95781446540884,169.63705300988323,142.5162084456424,142.72592991913749,116.91236298292904,117.19626235399824,100.22373764600182,108.05259658580417,103.11626235399822,125.04755166217434
Phu Kradueng,TH4210,2020,72.74225199131065,143.53077480086895,89.70217233888488,121.20253439536569,118.50054308472123,99.61307023895728,70.82244750181029,55.73175235336713,96.48069333816076,169.4534033309196,143.53077480086895,143.8272628530051,121.20253439536569,118.50054308472123,99.61307023895728,108.70264301230992,105.59681390296888,126.30338070238959
Phu Luang,TH4211,2020,74.83511369645692,141.72147012162878,112.3328397673189,117.47477525118987,117.0051295610788,100.12876784769965,70.39820200951878,55.04331041776838,98.61745108408252,169.68328926493922,141.72147012162878,141.08900052882075,117.47477525118987,117.0051295610788,100.12876784769965,109.23696456901114,103.1498677948176,124.93615811739824
Pha Khao,TH4212,2020,72.18487041793136,142.72785430772828,82.83712351155734,120.08442680364234,119.02682699042732,100.11905206630867,70.76303992528602,55.460705113238404,95.40048739201494,168.52178379640443,144.74261031986933,145.33135652579966,120.08442680364234,119.02682699042732,100.11905206630867,108.93962176044832,105.87828624795709,126.58049556385718
