admin2Name,admin2Pcod,Year,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,F_WS
Mueang Tak,TH6301,2015,1.8060735852676812,1.9763388863122326,1.5272687305940578,1.228627850699538,1.1330454820669864,0.07192517937053942,0.20411630773095815,0.3213011510273553,1.0335871466336686
Ban Tak,TH6302,2015,1.8735846043090272,1.8729275971792934,1.6496472630561358,1.446048393012121,1.1253273987477448,0.07449429408778786,0.39538147233782267,0.35156030896684404,1.098621416462097
Sam Ngao,TH6303,2015,1.6100573462597718,1.6076718460269326,1.5186793070127418,1.2669119450257806,0.8347049683884625,0.0781026332555268,0.41062483192307236,0.2701868855219866,0.9496174704267842
Mae Ramat,TH6304,2015,1.6913117626730383,1.627800061639682,1.576919641310011,1.4377392172446382,1.0824737228598496,0.1419446714389011,0.8488682604529815,0.6057897006032141,1.1266058797777894
Tha Song Yang,TH6305,2015,1.0005265417721854,1.006817671848703,1.0504556682233517,0.9008254643713115,0.6691156450295535,0.1927184655006063,0.6347741483513993,0.41777062029025586,0.7341255281734207
Mae Sot,TH6306,2015,1.6562085529996968,1.5809908093916245,1.5565891870886244,1.4017886537115336,1.0466264271819357,0.23617244838601137,0.9565275246099281,0.7643914598836234,1.1499118829066222
Phop Phra,TH6307,2015,1.4456942336641396,1.4457813322523434,1.4878959654902635,1.3111658685543266,0.9822468852852642,0.28440374213126035,0.9317315145989445,0.7665947924095718,1.0819392917982642
Umphang,TH6308,2015,1.0536836201741404,1.0562308653076358,1.26041197574129,1.0902918954339615,0.7612883991158977,0.2896172125312201,0.8553331874553399,0.6952218267369186,0.8827598728120506
Wang Chao,TH6309,2015,1.497642893402729,1.65939733395409,1.2498590418268671,0.9704171309164994,1.0460391277350796,0.18805104529762628,0.38780663537679155,0.6006939749535886,0.949988397932909
Mueang Loei,TH4201,2015,0.9682753108427917,1.0869823219831438,1.2577673474737394,0.673955669745027,0.2692722480340622,0.3743572872240912,0.9015473901383657,0.9483770700430124,0.8100668306855291
Na Duang,TH4202,2015,0.8958065821809114,1.03384709650238,1.2114877789747114,0.6224045402766676,0.2249308663167283,0.40429122032209425,0.934427212684199,0.9806354051545375,0.7884788378015287
Chiang Khan,TH4203,2015,0.9297517174194716,1.1266953322880486,1.3562237396336907,0.7294247791391835,0.250383843352848,0.4597460619987386,0.9754240836560018,1.0152363238410782,0.8553607351661326
Pak Chom,TH4204,2015,,,,,,,,,
