admin2Name,admin2Pcod,Year,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,F_WS
Mueang Tak,TH6301,2013,1.6241823981190193,0.8346372670374677,1.416487724040258,1.4164912719136409,0.6441669414322402,0.3117597312520056,0.24152620189027021,0.24039302832331444,0.8412055705010268
Ban Tak,TH6302,2013,1.6560732169344845,1.0281708551772115,1.6355996311892376,1.4399629042208157,0.7775147435567877,0.2142152475606014,0.3603560020334501,0.4171401539842658,0.9411290943321069
Sam Ngao,TH6303,2013,1.4358110834605033,1.0188790231276632,1.5198917138430563,1.1990256259576408,0.64062296371338,0.32550223323199434,0.38318856423779263,0.4274299852039052,0.868793899096992
Mae Ramat,TH6304,2013,1.4863573759325417,1.015453425916644,1.530360475152982,1.395844372573632,0.7694265042589052,0.5400869467335416,1.1465520059725405,1.366136803516886,1.1562772387572091
Tha Song Yang,TH6305,2013,0.8676484395026226,0.6183457891022263,0.9591874989603926,0.9183906266452376,0.4330300888838931,0.5033168490085248,0.8353702174975405,0.970219202847441,0.7631885890559849
Mae Sot,TH6306,2013,1.4128224292861733,0.9480055668531076,1.4640167068428749,1.3702487726378525,0.7539532952538512,0.5719468215790856,1.250565522420257,1.4829949517647594,1.1568192583297454
Phop Phra,TH6307,2013,1.211061812311419,0.8675721532846994,1.3550416587260534,1.3155913646672432,0.7178118081837447,0.5720768351221142,1.1564877607848782,1.3130604564348973,1.0635879811893811
Umphang,TH6308,2013,0.806346293757525,0.8013663648402002,1.115711003808785,1.0178666492723512,0.6281770526708236,0.515677302428099,1.0513194159096257,1.184316904267992,0.8900976233694251
Wang Chao,TH6309,2013,1.3952757144737005,0.5854206024730328,1.0678594821487113,1.2196869682109315,0.5478213546744061,0.13164295705462134,0.19706958677679295,0.24587245433055527,0.6738311400178439
Mueang Loei,TH4201,2013,0.290814842752739,0.6144012031337903,0.731439363554436,1.3025921876050446,0.05533692933693872,0.5778312919857013,0.7776761323428439,1.3589603120368299,0.7136315328435404
Na Duang,TH4202,2013,0.24159334138975028,0.584607235303038,0.6571556983665506,1.2570607215821372,0.04712657843352184,0.5991443244327708,0.8010944338736778,1.3874810696534516,0.6969079253793623
Chiang Khan,TH4203,2013,0.2626352967822137,0.6638905649814837,0.811567991818661,1.4242459189157957,0.039198486629922896,0.6680625003386649,0.8551040516497618,1.4894162020047186,0.7767651266401528
Pak Chom,TH4204,2013,,,,,,,,,
Dan Sai,TH4205,2013,1.253368185823385,1.0959790094497357,1.512117043154229,1.596694466625454,0.4978874754034261,0.7610387940356986,1.0149625373264408,1.2090443118732381,1.1176364779614512
Na Haeo,TH4206,2013,,,,,,,,,
Phu Ruea,TH4207,2013,1.2686670217061973,1.1681574559371353,1.6424055313332493,1.7704909191131288,0.5164824573038307,0.7584210243937441,0.9521438501068568,1.1463869899068035,1.1528944062251183
Tha Li,TH4208,2013,0.6372381322973864,0.852487093994369,1.1840293249831604,1.5552271406794755,0.19192463651114364,0.5381034002654311,0.6696767273328166,1.136360192947784,0.8456308311264458
Wang Saphung,TH4209,2013,0.5098959876608867,0.6364322022718969,0.7734765287029454,1.1624473735760452,0.14726772541952357,0.39630314011608325,0.5311966619556128,0.9357327480541531,0.6365940459696433
Phu Kradueng,TH4210,2013,0.9229579885268795,0.7915251254227033,1.0688538463850594,1.3482788903402005,0.28538126087952503,0.5389821753692289,0.6726334628137646,0.9338297046635291,0.8203053068001114
Phu Luang,TH4211,2013,0.7683180899379326,0.7337352435946547,1.0309710817223032,1.3152504089638577,0.27786759266203376,0.5098606464144638,0.6202271578425208,0.8893367207212113,0.7681958677323724
Pha Khao,TH4212,2013,0.7315138302971251,0.7998973502248937,0.8319645736776023,1.1091024810394992,0.08864938407639344,0.5298842877813357,0.6443411877481754,1.0503888139392608,0.7232177385980357
Erawan,TH4213,2013,0.4654759222234182,0.7083243104888155,0.6938937881417516,1.1007788581965199,0.035488364254479314,0.5089256039154166,0.6514862034936817,1.147788545969195,0.6640201995854098
Nong Hin,TH4214,2013,0.6490529772220417,0.6739309766376803,0.84638023537393,1.1647952295362047,0.19083879630015657,0.40929148130633247,0.4971789493779073,0.83024564328536,0.6577142861299516
Mueang Satun,TH9101,2013,0.7503262923395153,1.4092173377558297,1.1771630014667638,1.2943561817008677,1.344872678762753,0.9223901163733195,0.9837574961374107,2.409187134887125,1.2864087799279482
Khuan Don,TH9102,2013,0.7503262923395153,1.4092173377558297,1.1771630014667638,1.2943561817008677,1.344872678762753,0.9223901163733195,0.9837574961374107,2.409187134887125,1.2864087799279482
Khuan Kalong,TH9103,2013,0.7159161710277349,1.4710387423900044,1.1792887331084811,1.2994895158236963,1.3622211861131,0.9417955093682787,0.9571838380028266,2.3099499298745774,1.2796104532135877
Tha Phae,TH9104,2013,0.7058323855811893,1.4814714945257954,1.1515468001681457,1.271161511899495,1.3498767198962167,0.9800780148749945,0.9746300347976038,2.3696526092897137,1.2855311963791443
La-Ngu,TH9105,2013,,,,,,,,,
Thung Wa,TH9106,2013,,,,,,,,,
Manang,TH9107,2013,0.7270202900658578,1.4591867558615716,1.2084955546911043,1.329272272659445,1.3749900416082748,0.9011817647820715,0.9391663608001707,2.2484073553711204,1.273465049479952
Mueang Trang,TH9201,2013,0.8692192575795281,1.7693186790461044,1.4095234179092762,1.6008249195758817,1.5970846322950274,0.8018480087586096,1.0956596189408796,2.1990274897783624,1.4178132529854588
Kantang,TH9202,2013,,,,,,,,,
Yan Ta Khao,TH9203,2013,0.7227346112021752,1.4289373347081888,1.2145972656980748,1.3305236540969625,1.3693109536247856,0.7163397838561211,0.8901101524236044,1.8036774248116174,1.1845288975526913
Palian,TH9204,2013,0.6943685534438033,1.4839647409803507,1.1795612311489425,1.305052950167255,1.3527871572093966,0.8222585053927698,0.8528025537424636,1.9104326847748285,1.2001535471074762
Sikao,TH9205,2013,,,,,,,,,
Huai Yot,TH9206,2013,,,,,,,,,
Wang Wiset,TH9207,2013,,,,,,,,,
